RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,08793,Tiger Woods,3.443,127.375,110.333,17.042,37
2,0,10809,Jim Furyk,2.548,173.269,122.729,50.539,68
3,0,24502,Adam Scott,2.101,107.141,113.747,-6.607,51
4,0,23983,Luke Donald,2.046,87.961,65.088,22.873,43
5,0,01810,Phil Mickelson,1.955,91.897,79.325,12.573,47
6,0,06567,Vijay Singh,1.725,144.929,140.290,4.638,84
7,0,22378,Trevor Immelman,1.704,124.380,120.136,4.243,73
8,0,06527,Steve Stricker,1.489,77.427,45.508,31.920,52
9,0,20098,Stuart Appleby,1.363,87.237,73.136,14.101,64
9,0,06522,Ernie Els,1.363,64.076,64.408,-.332,47
11,0,20229,Stewart Cink,1.346,98.237,40.647,57.589,73
12,0,25900,Lucas Glover,1.263,108.633,96.790,11.844,86
13,0,02206,David Toms,1.249,77.448,56.481,20.968,62
14,0,07749,Brett Quigley,1.248,117.316,56.951,60.365,94
15,0,06373,José María Olazábal,1.213,47.289,32.650,14.640,39
16,0,06004,Stephen Ames,1.207,53.089,32.782,20.307,44
17,0,24138,Ian Poulter,1.203,50.521,42.359,8.161,42
18,0,24925,Jonathan Byrd,1.163,62.824,50.899,11.924,54
19,0,20157,Retief Goosen,1.144,52.640,46.728,5.912,46
20,0,20628,Arron Oberholser,1.095,67.882,57.502,10.381,62
21,0,10885,Robert Allenby,1.091,65.438,54.165,11.272,60
22,0,23325,Vaughn Taylor,1.058,81.461,53.311,28.148,77
23,0,12660,Jesper Parnevik,1.050,76.627,25.619,51.007,73
24,0,21209,Sergio Garcia,.999,38.966,43.769,-4.802,39
25,0,20766,Padraig Harrington,.958,36.422,39.926,-3.503,38
26,0,01941,Tom Pernice Jr.,.947,82.371,35.308,47.062,87
27,0,22046,Geoff Ogilvy,.924,48.072,23.469,24.601,52
28,0,20572,Rod Pampling,.923,59.983,10.651,49.332,65
29,0,24507,Jason Bohn,.902,80.291,86.852,-6.558,89
30,0,20645,John Senden,.885,69.890,74.068,-4.179,79
31,0,24357,K.J. Choi,.879,69.445,49.288,20.157,79
32,0,01706,Davis Love III,.853,48.611,33.428,15.181,57
33,0,20691,Greg Owen,.845,52.384,73.979,-21.597,62
34,0,11032,Frank Lickliter II,.830,70.547,58.684,11.865,85
35,0,23353,J.J. Henry,.828,63.788,48.676,15.112,77
36,0,24024,Zach Johnson,.806,62.035,58.588,3.450,77
37,0,25345,Carl Pettersson,.789,59.144,32.052,27.089,75
38,0,23135,Tim Clark,.771,44.713,31.955,12.758,58
39,0,10423,Mike Weir,.765,48.166,50.347,-2.181,63
40,0,23621,Rory Sabbatini,.749,47.931,57.169,-9.237,64
41,0,23623,Bo Van Pelt,.730,65.660,61.414,4.247,90
42,0,22405,Justin Rose,.725,62.389,64.191,-1.802,86
43,0,20608,David Howell,.711,21.325,2.230,19.096,30
44,0,01381,Fred Funk,.702,59.679,51.544,8.135,85
45,0,12716,Charley Hoffman,.689,61.292,50.333,10.959,89
46,0,06515,Shaun Micheel,.674,52.578,42.177,10.399,78
47,0,20498,Briny Baird,.663,46.415,46.783,-.368,70
48,0,02239,Scott Verplank,.654,44.450,38.946,5.505,68
49,0,21961,Charles Howell III,.651,51.458,42.743,8.713,79
50,0,27770,Camilo Villegas,.644,52.843,75.630,-22.788,82
51,0,23322,Brett Wetterich,.628,45.813,57.563,-11.749,73
52,0,19846,Brian Gay,.613,61.277,6.427,54.848,100
53,0,26420,Richard Johnson,.608,51.644,-9.951,61.593,85
54,0,06621,Joe Durant,.590,56.645,95.145,-38.499,96
55,0,01945,Kenny Perry,.588,35.271,55.059,-19.786,60
56,0,25804,Bubba Watson,.579,41.659,60.923,-19.262,72
57,0,23349,Charles Warren,.573,46.434,71.588,-25.154,81
58,0,01677,Tom Lehman,.571,26.818,31.954,-5.136,47
59,0,21959,Ted Purdy,.557,44.557,32.935,11.622,80
60,0,20382,Stephen Leaney,.522,40.218,13.472,26.747,77
61,0,02104,Jeff Sluman,.520,43.137,31.710,11.427,83
62,0,12602,Dean Wilson,.492,45.753,-15.734,61.488,93
63,0,23541,Ben Crane,.480,29.251,-22.528,51.778,61
64,0,08075,Jerry Kelly,.478,40.156,39.314,.839,84
65,0,20850,Daniel Chopra,.476,42.806,-9.830,52.636,90
66,0,01766,Billy Mayfair,.473,36.411,28.506,7.905,77
