RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,06567,Vijay Singh,37.31,50,134,-49,-3.00
2,0,01706,Davis Love III,35.00,35,100,-33,+5.00
3,0,30946,Alex Prugh,34.85,46,132,-46,+4.00
4,0,25444,Justin Hicks,34.55,19,55,-15,+5.00
5,0,26289,Boo Weekley,34.27,49,143,-46,+4.00
6,0,31323,Gary Woodland,33.15,60,181,-61,+24.00
7,0,29518,Brendan Steele,33.11,50,151,-52,-13.00
8,0,27064,Jhonattan Vegas,32.07,59,184,-56,+5.00
9,0,06573,Brandt Jobe,31.97,47,147,-44,-7.00
10,0,20157,Retief Goosen,31.88,22,69,-22,+10.00
11,0,30692,Scott Stallings,31.20,39,125,-36,-12.00
12,0,31401,Zack Miller,31.13,47,151,-48,+22.00
13,0,27141,J.B. Holmes,30.60,41,134,-44,-8.00
14,0,25686,Jason Dufner,30.39,31,102,-31,-18.00
15,0,20229,Stewart Cink,30.21,29,96,-29,-18.00
16,0,20098,Stuart Appleby,30.11,28,93,-27,-8.00
17,0,25804,Bubba Watson,29.41,55,187,-62,+2.00
18,0,20645,John Senden,29.19,54,185,-59,+2.00
19,0,19970,Robert Karlsson,29.17,28,96,-29,-4.00
20,0,01577,Lee Janzen,29.11,23,79,-24,-1.00
21,0,24980,Scott Gutschewski,28.97,31,107,-29,+8.00
22,0,24358,Robert Garrigus,28.92,59,204,-59,+3.00
23,0,12716,Charley Hoffman,28.91,61,211,-61,+14.00
24,0,20848,Ángel Cabrera,28.41,25,88,-29,-4.00
25,0,24925,Jonathan Byrd,28.30,45,159,-48,-11.00
26,0,01810,Phil Mickelson,28.19,42,149,-40,E
27,0,20498,Briny Baird,28.17,20,71,-17,-3.00
28,0,12510,Chad Campbell,27.89,41,147,-38,-9.00
29,0,29221,Webb Simpson,27.87,51,183,-59,-22.00
30,0,28158,Steve Marino,27.78,35,126,-38,-3.00
31,0,30925,Dustin Johnson,27.74,43,155,-45,+11.00
32,0,25240,D.A. Points,27.70,41,148,-46,-4.00
33,0,06527,Steve Stricker,27.66,26,94,-28,-30.00
34,0,22913,John Rollins,27.45,42,153,-42,-1.00
35,0,27214,Kevin Streelman,27.40,40,146,-42,-14.00
36,0,11123,Chris Couch,27.33,47,172,-47,-4.00
37,0,32640,Troy Merritt,27.18,28,103,-23,+1.00
38,0,23409,James Driscoll,27.01,37,137,-35,+4.00
39,0,22046,Geoff Ogilvy,26.97,24,89,-25,-9.00
40,0,23673,Michael Connell,26.88,25,93,-24,-6.00
41,0,26331,Charl Schwartzel,26.74,23,86,-22,+3.00
42,0,28087,Kris Blanks,26.47,36,136,-33,-16.00
42,0,31193,Jim Renner,26.47,27,102,-25,+4.00
44,0,24663,Y.E. Yang,26.25,21,80,-22,+2.00
45,0,26881,Jarrod Lyle,26.02,32,123,-35,-3.00
46,0,22293,Heath Slocum,26.00,26,100,-28,-11.00
47,0,27936,Martin Laird,25.95,41,158,-44,-3.00
48,0,27933,John Merrick,25.93,28,108,-28,-9.00
48,0,24502,Adam Scott,25.93,28,108,-28,+2.00
50,0,24140,Sean O'Hair,25.71,27,105,-30,+4.00
51,0,30750,Tommy Gainey,25.54,47,184,-43,-1.00
52,0,06621,Joe Durant,25.53,24,94,-21,-16.00
53,0,23788,D.J. Trahan,25.38,50,197,-48,+4.00
54,0,27963,Chris Stroud,25.34,37,146,-33,-4.00
55,0,21805,Harrison Frazar,25.32,20,79,-20,-4.00
56,0,24490,George McNeill,25.22,29,115,-31,+6.00
57,0,27466,Spencer Levin,25.00,40,160,-40,-23.00
57,0,27120,Troy Matteson,25.00,43,172,-40,+4.00
59,0,27095,Nick Watney,24.84,38,153,-43,-4.00
60,0,22378,Trevor Immelman,24.76,26,105,-24,+3.00
61,0,34072,Will Strickler,24.72,22,89,-25,+9.00
62,0,25345,Carl Pettersson,24.71,42,170,-46,-22.00
63,0,23548,Bill Lunde,24.68,39,158,-40,-13.00
63,0,25457,Alexandre Rocha,24.68,19,77,-20,-1.00
65,0,25900,Lucas Glover,24.58,29,118,-35,-15.00
66,0,25834,Daniel Summerhays,24.53,26,106,-31,+17.00
67,0,23800,Bryce Molder,24.47,23,94,-22,-23.00
68,0,12602,Dean Wilson,24.32,18,74,-14,-20.00
69,0,24138,Ian Poulter,24.19,15,62,-16,-5.00
70,0,23497,Tag Ridings,24.14,42,174,-48,+9.00
71,0,23353,J.J. Henry,24.12,41,170,-39,-7.00
72,0,31557,Jim Herman,24.11,27,112,-27,+11.00
73,0,26679,Kevin Stadler,24.05,38,158,-35,+2.00
74,0,33141,Keegan Bradley,24.03,37,154,-39,+1.00
75,0,21949,Joe Ogilvie,23.76,24,101,-26,+8.00
76,0,08537,J.P. Hayes,23.75,19,80,-20,-9.00
77,0,19846,Brian Gay,23.73,14,59,-14,-43.00
77,0,33911,Nate Smith,23.73,14,59,-16,-6.00
79,0,32698,Bobby Gates,23.61,34,144,-42,+5.00
80,0,08075,Jerry Kelly,23.60,21,89,-20,-17.00
80,0,25818,Scott Piercy,23.60,38,161,-39,+2.00
82,0,10585,Scott McCarron,23.58,25,106,-29,+5.00
83,0,25274,Steven Bowditch,23.44,45,192,-46,-5.00
84,0,27797,Derek Lamely,23.39,29,124,-31,+12.00
85,0,26758,David Hearn,23.36,25,107,-27,-12.00
86,0,24604,Hunter Haas,23.21,39,168,-37,-12.00
87,0,22405,Justin Rose,23.19,32,138,-31,-5.00
88,0,29478,Kevin Kisner,23.17,19,82,-23,+4.00
89,0,33413,Ben Martin,23.14,28,121,-31,-11.00
90,0,21961,Charles Howell III,23.08,42,182,-43,-21.00
90,0,23623,Bo Van Pelt,23.08,39,169,-37,-11.00
92,0,29720,Andres Gonzales,22.97,17,74,-16,-3.00
92,0,27330,Josh Teater,22.97,48,209,-53,+1.00
94,0,20070,Matt Bettencourt,22.93,36,157,-38,+12.00
95,0,26851,Marc Leishman,22.89,38,166,-41,+9.00
96,0,28089,Jason Day,22.86,32,140,-33,+3.00
96,0,30926,Chris Kirk,22.86,32,140,-34,-10.00
98,0,25572,Graeme McDowell,22.67,17,75,-17,-9.00
99,0,23108,Matt Kuchar,22.66,29,128,-34,-24.00
99,0,23621,Rory Sabbatini,22.66,29,128,-26,-10.00
101,0,32102,Rickie Fowler,22.63,31,137,-35,-2.00
102,0,24290,D.J. Brigman,22.58,21,93,-20,+5.00
103,0,33419,Cameron Tringale,22.33,46,206,-46,-5.00
104,0,24507,Jason Bohn,22.31,27,121,-29,-22.00
105,0,22371,Aaron Baddeley,22.22,34,153,-36,-6.00
105,0,24357,K.J. Choi,22.22,20,90,-20,-19.00
105,0,29420,Billy Horschel,22.22,26,117,-27,-6.00
108,0,10885,Robert Allenby,22.15,33,149,-30,-10.00
109,0,24846,Ricky Barnes,22.05,28,127,-30,+2.00
110,0,10809,Jim Furyk,22.00,22,100,-22,-28.00
111,0,24781,Hunter Mahan,21.95,36,164,-36,-23.00
112,0,26476,Chez Reavie,21.94,34,155,-33,-6.00
113,0,10505,Shane Bertsch,21.92,16,73,-15,-22.00
114,0,20472,Alex Cejka,21.79,17,78,-19,-9.00
115,0,27939,Matt McQuillan,21.74,15,69,-16,+1.00
116,0,24924,Bill Haas,21.71,38,175,-36,-7.00
117,0,25562,Andres Romero,21.66,34,157,-38,+11.00
118,0,07457,Steve Flesch,21.62,24,111,-25,-17.00
118,0,06643,Paul Goydos,21.62,16,74,-13,-25.00
120,0,09011,David Duval,21.57,22,102,-17,-5.00
121,0,21209,Sergio Garcia,21.43,24,112,-28,+4.00
121,0,08375,Paul Stankowski,21.43,24,112,-23,-13.00
123,0,27974,Sung Kang,21.36,22,103,-29,-7.00
124,0,32366,Kevin Chappell,21.32,29,136,-32,+9.00
124,0,26300,Matt Jones,21.32,29,136,-28,-4.00
126,0,27649,Brandt Snedeker,21.19,25,118,-27,-11.00
127,0,25632,Jimmy Walker,21.09,31,147,-33,-2.00
128,0,30110,Kyle Stanley,21.03,41,195,-42,-5.00
129,0,01948,Tim Petrovic,20.97,26,124,-23,-7.00
130,0,07867,Woody Austin,20.78,16,77,-17,-23.00
131,0,22961,David Mathis,20.69,18,87,-20,-11.00
132,0,23541,Ben Crane,20.56,22,107,-23,-7.00
133,0,23983,Luke Donald,20.48,17,83,-17,-25.00
134,0,08725,Tom Gillis,20.43,19,93,-18,-2.00
135,0,26420,Richard Johnson,20.41,10,49,-7,-8.00
136,0,23638,Brendon de Jonge,20.39,31,152,-35,-12.00
137,0,34255,Joseph Bramlett,20.30,27,133,-25,+2.00
138,0,32876,Martin Piller,20.24,17,84,-17,-4.00
139,0,21350,Ryuji Imada,20.00,25,125,-24,-1.00
140,0,24361,Pat Perez,19.85,27,136,-29,-17.00
141,0,06522,Ernie Els,19.83,23,116,-21,-6.00
142,0,31202,William McGirt,19.72,28,142,-30,-11.00
143,0,29718,Anthony Kim,19.67,24,122,-28,-1.00
144,0,24024,Zach Johnson,19.61,20,102,-24,-35.00
145,0,20160,Charlie Wi,19.35,24,124,-23,-18.00
146,0,28679,Fabián Gómez,19.20,24,125,-27,-14.00
147,0,29910,Blake Adams,19.19,33,172,-34,-22.00
148,0,01313,Steve Elkington,19.18,14,73,-14,+1.00
149,0,26596,Ryan Moore,19.12,26,136,-25,-8.00
150,0,32150,Michael Thompson,19.09,21,110,-22,-5.00
151,0,28486,Michael Putnam,19.05,20,105,-16,+9.00
152,0,22621,Ben Curtis,18.99,15,79,-15,-20.00
153,0,27770,Camilo Villegas,18.81,19,101,-16,-7.00
154,0,23320,Ryan Palmer,18.67,28,150,-27,+1.00
155,0,01766,Billy Mayfair,18.63,30,161,-34,-17.00
156,0,12652,Cameron Beckman,18.35,20,109,-16,-13.00
157,0,28620,Aron Price,18.31,13,71,-11,-14.00
158,0,06004,Stephen Ames,18.29,15,82,-13,-15.00
159,0,23325,Vaughn Taylor,17.97,23,128,-27,-17.00
160,0,21753,Brian Davis,17.75,30,169,-29,-25.00
161,0,21407,Arjun Atwal,17.69,23,130,-20,E
162,0,12782,Tim Herron,17.60,22,125,-20,-4.00
163,0,06251,Chris DiMarco,17.59,19,108,-20,-11.00
164,0,20127,Chris Riley,17.44,15,86,-16,-13.00
164,0,02206,David Toms,17.44,15,86,-17,-32.00
166,0,20572,Rod Pampling,17.36,21,121,-17,-2.00
167,0,28475,Jeff Overton,17.16,29,169,-33,-5.00
168,0,10860,Justin Leonard,17.02,16,94,-16,-14.00
169,0,20436,Garrett Willis,16.98,18,106,-15,-1.00
170,0,25396,Kevin Na,16.92,22,130,-25,-22.00
171,0,01797,Rocco Mediate,16.90,12,71,-12,+1.00
172,0,26287,Roland Thatcher,16.82,18,107,-20,-5.00
173,0,01116,Michael Bradley,16.67,15,90,-18,-7.00
174,0,10733,Kent Jones,16.47,14,85,-16,-19.00
175,0,26668,Marc Turnesa,16.07,9,56,-10,-12.00
175,0,21878,Mark Wilson,16.07,18,112,-20,-20.00
177,0,23718,Nathan Green,15.70,19,121,-20,+4.00
178,0,20766,Padraig Harrington,15.66,13,83,-15,+3.00
179,0,35087,Bio Kim,15.32,17,111,-16,+8.00
180,0,21731,Freddie Jacobson,14.78,17,115,-16,-3.00
181,0,06515,Shaun Micheel,14.77,13,88,-14,+2.00
182,0,23614,Rich Beem,14.47,11,76,-10,-6.00
183,0,20593,Greg Chalmers,14.41,16,111,-17,-27.00
184,0,30711,Colt Knost,13.92,11,79,-9,-7.00
185,0,22348,Nick O'Hern,11.11,10,90,-12,-39.00
186,0,26951,Johnson Wagner,10.20,10,98,-9,-18.00
