RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,23135,Tim Clark,30' 5",32140.000,1057,Under
2,0,24507,Jason Bohn,31' 0",45565.000,1468,Under
3,0,01677,Tom Lehman,31' 8",19897.750,629,Under
3,0,10425,Jay Williamson,31' 8",32230.333,1019,Under
5,0,22548,Patrick Sheehan,32' 1",22407.333,699,Under
6,0,06621,Joe Durant,32' 3",27001.333,837,Under
6,0,22293,Heath Slocum,32' 3",49225.500,1525,Under
6,0,02206,David Toms,32' 3",46420.750,1438,1 Under
9,0,06527,Steve Stricker,32' 5",36020.917,1110,1 Under
10,0,28087,Kris Blanks,32' 7",27459.583,843,Under
11,0,10809,Jim Furyk,32' 8",37985.333,1162,1 Under
11,0,24024,Zach Johnson,32' 8",46278.667,1416,1 Under
13,0,19846,Brian Gay,32' 10",48109.583,1467,Under
14,0,10860,Justin Leonard,32' 11",44189.083,1344,1 Under
14,0,08845,Scott Sterling,32' 11",23525.750,715,Under
16,0,26679,Kevin Stadler,33' 1",31977.750,967,Under
17,0,23800,Bryce Molder,33' 2",32083.583,968,Under
17,0,22348,Nick O'Hern,33' 2",50516.750,1522,Under
17,0,22295,Darron Stiles,33' 2",24965.250,753,Under
20,0,12510,Chad Campbell,33' 3",42276.583,1272,Under
21,0,01035,Tommy Armour III,33' 4",31115.583,933,Under
21,0,21209,Sergio Garcia,33' 4",26354.583,790,Under
21,0,10423,Mike Weir,33' 4",39908.333,1198,Under
24,0,01142,Bart Bryant,33' 5",31222.917,934,Over
25,0,20472,Alex Cejka,33' 6",42523.917,1269,Under
25,0,27649,Brandt Snedeker,33' 6",38942.667,1163,Under
27,0,01226,Fred Couples,33' 7",25264.833,753,Under
28,0,10885,Robert Allenby,33' 8",33879.083,1006,Under
28,0,10117,Bob Heintz,33' 8",30738.000,912,Under
28,0,12602,Dean Wilson,33' 8",42158.667,1252,Under
