RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS 15'-20',TOTAL 3 PUTTS
1,0,10885,Robert Allenby,9,52
2,0,23349,Charles Warren,8,60
3,0,20433,Mark Hensby,7,42
3,0,24663,Y.E. Yang,7,48
5,0,21753,Brian Davis,6,67
5,0,01388,Robert Gamez,6,66
5,0,22892,Jason Gore,6,54
5,0,25842,Jon Mills,6,54
5,0,25562,Andres Romero,6,29
5,0,28780,Nicholas Thompson,6,87
5,0,23623,Bo Van Pelt,6,61
12,0,23540,Jason Allred,5,45
12,0,01024,Billy Andrade,5,42
12,0,23614,Rich Beem,5,42
12,0,01139,Olin Browne,5,44
12,0,23541,Ben Crane,5,34
12,0,06621,Joe Durant,5,78
12,0,01320,Bob Estes,5,44
12,0,27561,Nick Flanagan,5,62
12,0,07457,Steve Flesch,5,50
12,0,21805,Harrison Frazar,5,58
12,0,24358,Robert Garrigus,5,63
12,0,06643,Paul Goydos,5,37
12,0,01577,Lee Janzen,5,45
12,0,29718,Anthony Kim,5,33
12,0,27613,David Lutterus,5,48
12,0,24490,George McNeill,5,60
12,0,20663,Brenden Pappas,5,32
12,0,23621,Rory Sabbatini,5,46
12,0,27649,Brandt Snedeker,5,41
12,0,22582,Kyle Thompson,5,33
12,0,12602,Dean Wilson,5,45
33,0,24925,Jonathan Byrd,4,44
33,0,01161,Mark Calcavecchia,4,42
33,0,20472,Alex Cejka,4,36
33,0,20229,Stewart Cink,4,31
33,0,10875,Todd Demsey,4,47
33,0,10809,Jim Furyk,4,27
33,0,25900,Lucas Glover,4,43
33,0,21961,Charles Howell III,4,42
33,0,22378,Trevor Immelman,4,31
33,0,08075,Jerry Kelly,4,30
33,0,11032,Frank Lickliter II,4,61
33,0,27120,Troy Matteson,4,66
33,0,26596,Ryan Moore,4,39
33,0,24140,Sean O'Hair,4,37
33,0,22348,Nick O'Hern,4,31
33,0,12660,Jesper Parnevik,4,49
33,0,24361,Pat Perez,4,48
33,0,01945,Kenny Perry,4,55
33,0,24502,Adam Scott,4,25
33,0,22548,Patrick Sheehan,4,42
33,0,22293,Heath Slocum,4,45
33,0,26679,Kevin Stadler,4,47
33,0,27214,Kevin Streelman,4,61
33,0,27095,Nick Watney,4,52
57,0,21633,Steve Allan,3,37
57,0,06004,Stephen Ames,3,27
57,0,19803,Ryan Armour,3,46
57,0,12652,Cameron Beckman,3,51
57,0,12510,Chad Campbell,3,50
57,0,20850,Daniel Chopra,3,19
57,0,08931,Glen Day,3,20
57,0,28089,Jason Day,3,38
57,0,06251,Chris DiMarco,3,42
57,0,01313,Steve Elkington,3,33
57,0,12823,Carlos Franco,3,39
57,0,26631,Cody Freeman,3,34
57,0,19846,Brian Gay,3,31
57,0,20574,Mathew Goggin,3,40
57,0,20378,Mathias Grönberg,3,66
57,0,06575,Dudley Hart,3,39
57,0,08537,J.P. Hayes,3,31
57,0,12782,Tim Herron,3,50
57,0,12716,Charley Hoffman,3,56
57,0,27141,J.B. Holmes,3,47
57,0,30925,Dustin Johnson,3,36
57,0,26695,Michael Letzig,3,41
57,0,20634,Peter Lonard,3,49
57,0,01724,Jeff Maggert,3,57
