RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST OF APPR SHOT,TOTAL HOLES
1,0,19846,Brian Gay,158.9,7964164.000,1392
2,0,32334,Charlie Beljan,159.0,4395920.000,768
3,0,06034,Marco Dawson,160.0,4739361.000,823
4,0,23325,Vaughn Taylor,160.6,6601355.000,1142
5,0,29476,Kyle Reifers,160.7,7644269.000,1321
6,0,20850,Daniel Chopra,160.9,4449881.000,768
6,0,24940,Edward Loar,160.9,4459904.000,770
8,0,26289,Boo Weekley,161.0,6017884.000,1038
9,0,27644,Brian Harman,161.1,9118202.000,1572
9,0,28308,Troy Kelly,161.1,5288330.000,912
11,0,30927,Brendon Todd,161.5,6523446.000,1122
12,0,21805,Harrison Frazar,161.9,4993450.000,857
12,0,29478,Kevin Kisner,161.9,5520806.000,947
14,0,27141,J.B. Holmes,162.0,8147246.000,1397
14,0,29222,Billy Hurley III,162.0,5942998.000,1019
16,0,23353,J.J. Henry,162.1,7428431.000,1273
16,0,02206,David Toms,162.1,4597161.000,788
18,0,01249,John Daly,162.2,3959732.000,678
18,0,21731,Freddie Jacobson,162.2,4607764.000,789
20,0,30711,Colt Knost,162.3,7021842.000,1202
21,0,33120,Mark Anderson,162.4,6395507.000,1094
22,0,06004,Stephen Ames,162.5,4084012.000,698
22,0,23135,Tim Clark,162.5,5249040.000,897
24,0,23542,Tommy Biershenk,162.8,6037261.000,1030
24,0,10860,Justin Leonard,162.8,7152257.000,1220
26,0,28500,Martin Flores,162.9,8602922.000,1467
27,0,28093,Miguel Angel Carballo,163.0,5978435.000,1019
27,0,20623,Gavin Coles,163.0,5998480.000,1022
27,0,30944,Jason Kokrak,163.0,7242953.000,1234
27,0,06527,Steve Stricker,163.0,5662549.000,965
31,0,26287,Roland Thatcher,163.1,4597693.000,783
32,0,20098,Stuart Appleby,163.3,6833139.000,1162
32,0,01116,Michael Bradley,163.3,5801898.000,987
32,0,30750,Tommy Gainey,163.3,9439706.000,1606
35,0,22371,Aaron Baddeley,163.4,5769123.000,981
35,0,12652,Cameron Beckman,163.4,7258936.000,1234
35,0,30925,Dustin Johnson,163.4,5583472.000,949
38,0,23548,Bill Lunde,163.5,7068911.000,1201
38,0,25457,Alexandre Rocha,163.5,5244720.000,891
38,0,22548,Patrick Sheehan,163.5,4619453.000,785
41,0,34021,Bud Cauley,163.6,9599739.000,1630
41,0,30852,Ryo Ishikawa,163.6,3909783.000,664
41,0,23800,Bryce Molder,163.6,7471792.000,1269
41,0,25892,Steve Wheatcroft,163.6,4428990.000,752
45,0,12782,Tim Herron,163.7,8045876.000,1365
45,0,29420,Billy Horschel,163.7,5067064.000,860
45,0,31202,William McGirt,163.7,8333938.000,1414
48,0,22961,David Mathis,164.0,7303459.000,1237
48,0,24502,Adam Scott,164.0,4351743.000,737
48,0,22582,Kyle Thompson,164.0,3908826.000,662
51,0,01706,Davis Love III,164.1,5511268.000,933
51,0,27963,Chris Stroud,164.1,7940269.000,1344
53,0,26300,Matt Jones,164.2,4668808.000,790
53,0,25345,Carl Pettersson,164.2,8470383.000,1433
53,0,27330,Josh Teater,164.2,8780341.000,1485
56,0,26758,David Hearn,164.3,9340022.000,1579
56,0,21961,Charles Howell III,164.3,8167387.000,1381
58,0,06573,Brandt Jobe,164.4,4757061.000,804
59,0,28307,Matt Every,164.5,6792722.000,1147
59,0,28237,Rory McIlroy,164.5,4246812.000,717
59,0,30692,Scott Stallings,164.5,7195041.000,1215
62,0,28455,Will Claxton,164.6,9133420.000,1541
62,0,23108,Matt Kuchar,164.6,7020973.000,1185
62,0,22293,Heath Slocum,164.6,7964297.000,1344
65,0,33122,Russell Knox,164.7,5951668.000,1004
66,0,21753,Brian Davis,164.8,8393789.000,1415
66,0,20691,Greg Owen,164.8,8186651.000,1380
66,0,20572,Rod Pampling,164.8,7328708.000,1235
69,0,23320,Ryan Palmer,164.9,7523358.000,1267
70,0,20070,Matt Bettencourt,165.0,6361531.000,1071
70,0,22621,Ben Curtis,165.0,5127290.000,863
72,0,24507,Jason Bohn,165.1,7019323.000,1181
72,0,01320,Bob Estes,165.1,6925362.000,1165
72,0,23903,Stephen Gangluff,165.1,4575522.000,770
72,0,27797,Derek Lamely,165.1,5913431.000,995
72,0,22913,John Rollins,165.1,7555952.000,1271
77,0,25572,Graeme McDowell,165.2,4019544.000,676
77,0,01797,Rocco Mediate,165.2,6178403.000,1039
79,0,27974,Sung Kang,165.3,6611780.000,1111
79,0,01724,Jeff Maggert,165.3,8320817.000,1398
79,0,10213,Dicky Pride,165.3,5223429.000,878
82,0,25686,Jason Dufner,165.4,6794486.000,1141
82,0,30926,Chris Kirk,165.4,9082236.000,1525
82,0,29926,Danny Lee,165.4,6268599.000,1053
82,0,20160,Charlie Wi,165.4,7799342.000,1310
