RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,26289,Boo Weekley,.876,68.338,78
2,0,27141,J.B. Holmes,.828,53.013,64
3,0,06621,Joe Durant,.698,50.947,73
4,0,20574,Mathew Goggin,.691,60.102,87
5,0,23349,Charles Warren,.680,63.283,93
6,0,23322,Brett Wetterich,.671,46.992,70
7,0,10885,Robert Allenby,.638,47.825,75
8,0,08793,Tiger Woods,.624,26.842,43
9,0,27095,Nick Watney,.622,43.569,70
10,0,28475,Jeff Overton,.613,33.093,54
11,0,06567,Vijay Singh,.583,47.844,82
12,0,29718,Anthony Kim,.578,46.258,80
13,0,23788,D.J. Trahan,.556,50.000,90
14,0,25900,Lucas Glover,.542,42.302,78
15,0,25804,Bubba Watson,.539,35.567,66
16,0,20634,Peter Lonard,.524,39.827,76
17,0,22046,Geoff Ogilvy,.523,33.479,64
18,0,24781,Hunter Mahan,.496,35.730,72
19,0,01945,Kenny Perry,.485,36.345,75
20,0,24140,Sean O'Hair,.484,40.165,83
21,0,24502,Adam Scott,.478,25.798,54
22,0,24358,Robert Garrigus,.468,40.205,86
23,0,06522,Ernie Els,.452,19.870,44
24,0,10425,Jay Williamson,.447,21.435,48
25,0,24924,Bill Haas,.443,36.359,82
26,0,21633,Steve Allan,.439,24.145,55
27,0,20378,Mathias Grönberg,.424,37.329,88
28,0,22913,John Rollins,.417,35.023,84
29,0,22892,Jason Gore,.411,32.036,78
29,0,20691,Greg Owen,.411,28.736,70
31,0,23353,J.J. Henry,.374,25.451,68
32,0,11123,Chris Couch,.369,26.963,73
32,0,27770,Camilo Villegas,.369,25.442,69
34,0,20645,John Senden,.366,30.728,84
35,0,22378,Trevor Immelman,.357,19.268,54
36,0,23623,Bo Van Pelt,.354,34.337,97
37,0,12716,Charley Hoffman,.348,28.911,83
38,0,01035,Tommy Armour III,.333,22.956,69
39,0,20104,Ken Duke,.329,31.285,95
40,0,01810,Phil Mickelson,.328,17.050,52
41,0,02239,Scott Verplank,.323,19.060,59
42,0,27702,Matt Hendrix,.308,16.951,55
43,0,24912,Will MacKenzie,.295,26.864,91
44,0,20572,Rod Pampling,.292,21.628,74
45,0,08075,Jerry Kelly,.279,20.894,75
45,0,24138,Ian Poulter,.279,10.873,39
47,0,01161,Mark Calcavecchia,.277,20.204,73
48,0,01313,Steve Elkington,.276,20.141,73
49,0,21805,Harrison Frazar,.269,19.620,73
50,0,10423,Mike Weir,.267,15.993,60
51,0,26679,Kevin Stadler,.259,20.192,78
52,0,20472,Alex Cejka,.257,19.037,74
53,0,28158,Steve Marino,.250,22.728,91
54,0,27120,Troy Matteson,.239,18.181,76
55,0,24507,Jason Bohn,.237,12.579,53
56,0,21959,Ted Purdy,.235,20.460,87
57,0,01766,Billy Mayfair,.234,19.398,83
58,0,19803,Ryan Armour,.229,21.571,94
59,0,23614,Rich Beem,.223,15.578,70
59,0,01706,Davis Love III,.223,11.828,53
61,0,24024,Zach Johnson,.214,12.864,60
62,0,11032,Frank Lickliter II,.211,17.964,85
62,0,21528,Henrik Stenson,.211,7.589,36
64,0,12652,Cameron Beckman,.201,17.094,85
65,0,10809,Jim Furyk,.199,13.128,66
66,0,26596,Ryan Moore,.196,14.664,75
67,0,24490,George McNeill,.190,15.204,80
68,0,07867,Woody Austin,.183,15.407,84
69,0,01142,Bart Bryant,.180,13.332,74
70,0,24357,K.J. Choi,.161,10.930,68
71,0,21470,Daisuke Maruyama,.160,12.157,76
72,0,22405,Justin Rose,.157,6.132,39
73,0,22371,Aaron Baddeley,.152,9.999,66
74,0,23621,Rory Sabbatini,.151,9.483,63
75,0,20105,Jeff Gove,.147,13.786,94
76,0,27963,Chris Stroud,.146,8.172,56
77,0,01707,Steve Lowery,.144,9.966,69
78,0,27933,John Merrick,.137,11.115,81
79,0,22293,Heath Slocum,.134,12.504,93
80,0,20766,Padraig Harrington,.133,6.100,46
81,0,20498,Briny Baird,.132,13.819,105
82,0,20628,Arron Oberholser,.125,6.606,53
83,0,06004,Stephen Ames,.124,7.679,62
83,0,26951,Johnson Wagner,.124,10.698,86
85,0,26360,Bubba Dickerson,.111,4.767,43
86,0,26881,Jarrod Lyle,.099,6.662,67
87,0,21878,Mark Wilson,.094,6.887,73
88,0,25345,Carl Pettersson,.092,8.478,92
89,0,22295,Darron Stiles,.089,4.731,53
90,0,24980,Scott Gutschewski,.049,2.829,58
91,0,21209,Sergio Garcia,.048,2.637,55
92,0,20098,Stuart Appleby,.041,2.361,58
92,0,02036,Jim Rutledge,.041,1.901,46
92,0,02246,Duffy Waldorf,.041,2.397,59
95,0,08537,J.P. Hayes,.029,2.312,80
96,0,27060,John Mallinger,.028,2.403,87
96,0,23320,Ryan Palmer,.028,2.307,82
98,0,25892,Steve Wheatcroft,.023,1.430,61
99,0,01388,Robert Gamez,.019,1.415,76
100,0,01724,Jeff Maggert,.017,1.356,78
101,0,21753,Brian Davis,.014,1.241,88
