RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,35461,Beau Hossler,103.20,938,47,921
2,0,47993,Denny McCarthy,102.67,937,43,919
3,0,46970,Jon Rahm,102.64,758,32,746
4,0,32102,Rickie Fowler,102.42,866,37,850
5,0,36699,Patrick Rodgers,102.20,635,33,616
6,0,34256,Andrew Putnam,102.19,775,33,759
7,0,29221,Webb Simpson,102.09,959,38,941
8,0,48822,Sebastián Muñoz,101.99,905,36,887
9,0,22405,Justin Rose,101.97,660,27,646
10,0,25572,Graeme McDowell,101.77,677,23,666
11,0,46402,Talor Gooch,101.74,688,29,671
12,0,40009,Dominic Bozzelli,101.64,670,22,659
13,0,24361,Pat Perez,101.55,580,24,565
14,0,34046,Jordan Spieth,101.36,881,45,848
15,0,29420,Billy Horschel,101.35,966,40,939
16,0,34099,Harris English,101.24,1127,35,1106
17,0,33419,Cameron Tringale,101.22,738,31,716
18,0,28089,Jason Day,101.19,670,25,653
19,0,21961,Charles Howell III,101.14,1050,35,1027
20,0,34466,Peter Malnati,101.13,1062,32,1042
21,0,28237,Rory McIlroy,101.12,807,30,786
21,0,25818,Scott Piercy,101.12,982,37,956
23,0,47959,Bryson DeChambeau,101.11,899,31,878
24,0,37275,Sam Ryder,101.10,818,29,798
25,0,26951,Johnson Wagner,101.07,653,26,634
26,0,33399,Adam Hadwin,101.03,872,29,852
27,0,29535,Brice Garnett,100.97,928,33,904
28,0,27963,Chris Stroud,100.93,754,31,730
29,0,47504,Sam Burns,100.85,946,28,926
30,0,28775,Nate Lashley,100.81,741,24,723
31,0,40026,Daniel Berger,100.71,851,23,834
31,0,29478,Kevin Kisner,100.71,990,31,966
33,0,47347,Adam Schenk,100.70,1145,39,1114
33,0,33486,Roger Sloan,100.70,1002,36,973
35,0,45526,Abraham Ancer,100.69,1019,39,987
35,0,26476,Chez Reavie,100.69,1008,35,980
37,0,32757,Patton Kizzire,100.67,745,28,722
38,0,37189,Harold Varner III,100.66,1057,35,1029
39,0,37340,Chase Wright,100.64,787,27,765
40,0,27649,Brandt Snedeker,100.63,1111,32,1086
41,0,34563,Chesson Hadley,100.60,837,27,815
42,0,31560,Brian Stuard,100.55,1095,37,1064
43,0,34306,John Chin,100.54,551,23,531
44,0,27644,Brian Harman,100.49,1024,24,1005
44,0,25493,Nick Taylor,100.49,1224,39,1191
46,0,33667,Carlos Ortiz,100.48,1045,27,1023
47,0,35891,Cameron Smith,100.39,776,22,757
47,0,29518,Brendan Steele,100.39,770,25,748
49,0,25364,Paul Casey,100.37,801,23,781
50,0,27095,Nick Watney,100.30,1005,31,977
51,0,39997,Corey Conners,100.29,1023,38,988
52,0,34076,Joel Dahmen,100.28,1082,42,1043
53,0,31323,Gary Woodland,100.22,916,34,884
54,0,39977,Max Homa,100.20,989,26,965
55,0,29268,Bronson Burgoon,100.15,682,24,659
56,0,32200,Roberto Castro,100.11,880,31,850
56,0,35879,Kelly Kraft,100.11,913,28,886
58,0,29970,Dylan Frittelli,100.10,982,27,956
59,0,27958,Ryan Blaum,100.00,1013,28,985
59,0,27895,Jonas Blixt,100.00,922,25,897
59,0,35450,Patrick Cantlay,100.00,790,23,767
59,0,06522,Ernie Els,100.00,443,11,432
59,0,40098,Matt Fitzpatrick,100.00,532,18,514
59,0,30911,Tommy Fleetwood,100.00,724,22,702
59,0,34363,Tyrrell Hatton,100.00,620,18,602
59,0,30925,Dustin Johnson,100.00,794,25,769
59,0,26300,Matt Jones,100.00,964,31,933
59,0,26329,Louis Oosthuizen,100.00,665,14,651
59,0,24138,Ian Poulter,100.00,607,18,589
59,0,32058,José de Jesús Rodríguez,100.00,699,15,684
59,0,23621,Rory Sabbatini,100.00,1066,37,1029
59,0,39324,J.J. Spaun,100.00,925,28,897
59,0,33448,Justin Thomas,100.00,801,16,785
59,0,32150,Michael Thompson,100.00,921,29,892
75,0,34021,Bud Cauley,99.91,1083,33,1049
76,0,32640,Troy Merritt,99.88,801,19,781
76,0,29484,Peter Uihlein,99.88,820,32,787
78,0,48081,Xander Schauffele,99.87,749,27,721
79,0,24781,Hunter Mahan,99.85,681,22,658
80,0,37380,Curtis Luck,99.84,619,27,591
81,0,25900,Lucas Glover,99.83,1162,44,1116
81,0,21731,Freddie Jacobson,99.83,582,19,562
83,0,34360,Patrick Reed,99.81,1039,31,1006
84,0,51766,Wyndham Clark,99.80,1009,20,987
84,0,19846,Brian Gay,99.80,1010,27,981
