RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,20628,Arron Oberholser,64.81,216,140
2,0,22806,Doug LaBelle II,63.89,360,230
3,0,23135,Tim Clark,63.79,232,148
4,0,12714,Chris Tidland,63.00,227,143
5,0,25396,Kevin Na,62.90,345,217
6,0,24357,K.J. Choi,62.36,271,169
7,0,11032,Frank Lickliter II,61.52,369,227
8,0,19846,Brian Gay,61.33,375,230
9,0,22212,Craig Lile,61.28,297,182
10,0,22913,John Rollins,61.22,343,210
11,0,20229,Stewart Cink,61.11,288,176
12,0,12705,Cliff Kresge,60.95,420,256
13,0,01320,Bob Estes,60.75,321,195
14,0,06373,José María Olazábal,60.63,160,97
14,0,02206,David Toms,60.63,287,174
16,0,24781,Hunter Mahan,60.59,307,186
17,0,01948,Tim Petrovic,60.57,388,235
18,0,24024,Zach Johnson,60.50,238,144
19,0,24490,George McNeill,60.49,324,196
20,0,06643,Paul Goydos,60.44,225,136
21,0,21350,Ryuji Imada,60.41,389,235
22,0,22371,Aaron Baddeley,60.39,255,154
23,0,20623,Gavin Coles,60.38,313,189
24,0,12660,Jesper Parnevik,60.27,292,176
25,0,23621,Rory Sabbatini,60.15,261,157
26,0,08881,Tripp Isenhour,59.82,331,198
27,0,23718,Nathan Green,59.73,365,218
27,0,20127,Chris Riley,59.73,221,132
29,0,27649,Brandt Snedeker,59.67,362,216
30,0,07223,Brian Bateman,59.59,193,115
31,0,07363,Craig Bowden,59.57,329,196
32,0,24449,Parker McLachlin,59.43,318,189
33,0,25900,Lucas Glover,59.38,320,190
34,0,01810,Phil Mickelson,59.35,214,127
35,0,20382,Stephen Leaney,59.06,298,176
36,0,23320,Ryan Palmer,59.03,349,206
37,0,23623,Bo Van Pelt,58.93,431,254
38,0,20160,Charlie Wi,58.79,313,184
39,0,20572,Rod Pampling,58.65,312,183
39,0,10213,Dicky Pride,58.65,266,156
41,0,07867,Woody Austin,58.48,395,231
42,0,20574,Mathew Goggin,58.47,354,207
43,0,06251,Chris DiMarco,58.46,272,159
44,0,01249,John Daly,58.44,231,135
45,0,25686,Jason Dufner,58.21,390,227
46,0,20498,Briny Baird,58.20,433,252
47,0,20378,Mathias Grönberg,58.17,404,235
48,0,24140,Sean O'Hair,58.16,380,221
49,0,01142,Bart Bryant,58.13,289,168
50,0,10425,Jay Williamson,58.10,210,122
51,0,28475,Jeff Overton,57.98,238,138
52,0,26882,Michael Sim,57.89,209,121
53,0,27060,John Mallinger,57.88,368,213
54,0,26420,Richard Johnson,57.87,356,206
55,0,06004,Stephen Ames,57.84,268,155
56,0,01132,Mark Brooks,57.76,161,93
56,0,12602,Dean Wilson,57.76,303,175
58,0,01941,Tom Pernice Jr.,57.70,357,206
59,0,25273,Andrew Buckle,57.69,312,180
60,0,01313,Steve Elkington,57.65,307,177
61,0,06527,Steve Stricker,57.52,266,153
62,0,23108,Matt Kuchar,57.44,289,166
63,0,01157,Tom Byrum,57.23,159,91
64,0,21949,Joe Ogilvie,57.22,381,218
65,0,26289,Boo Weekley,57.19,320,183
66,0,23613,Rich Barcelo,57.14,301,172
66,0,22378,Trevor Immelman,57.14,224,128
66,0,23800,Bryce Molder,57.14,196,112
66,0,25892,Steve Wheatcroft,57.14,273,156
70,0,27120,Troy Matteson,57.00,300,171
71,0,20766,Padraig Harrington,56.99,193,110
72,0,08931,Glen Day,56.96,309,176
72,0,21806,Paul Gow,56.96,230,131
74,0,25345,Carl Pettersson,56.94,425,242
75,0,06595,Kevin Sutherland,56.88,276,157
76,0,22405,Justin Rose,56.82,176,100
77,0,21633,Steve Allan,56.79,243,138
78,0,08375,Paul Stankowski,56.76,185,105
79,0,01381,Fred Funk,56.70,224,127
80,0,01945,Kenny Perry,56.67,330,187
81,0,24290,D.J. Brigman,56.65,233,132
82,0,23497,Tag Ridings,56.61,189,107
83,0,27963,Chris Stroud,56.60,212,120
83,0,27770,Camilo Villegas,56.60,265,150
85,0,21878,Mark Wilson,56.59,334,189
86,0,25804,Bubba Watson,56.58,281,159
87,0,24361,Pat Perez,56.52,299,169
88,0,01724,Jeff Maggert,56.51,338,191
89,0,21961,Charles Howell III,56.34,284,160
90,0,19803,Ryan Armour,56.32,380,214
91,0,22293,Heath Slocum,56.30,341,192
92,0,01707,Steve Lowery,56.29,286,161
93,0,20850,Daniel Chopra,56.27,375,211
94,0,20645,John Senden,56.20,347,195
95,0,21731,Freddie Jacobson,56.13,269,151
96,0,29718,Anthony Kim,56.09,353,198
97,0,02223,Bob Tway,56.07,346,194
98,0,10733,Kent Jones,56.04,389,218
99,0,20433,Mark Hensby,56.00,325,182
100,0,26596,Ryan Moore,55.99,309,173
101,0,22892,Jason Gore,55.98,368,206
102,0,12782,Tim Herron,55.87,358,200
103,0,28486,Michael Putnam,55.86,324,181
104,0,20634,Peter Lonard,55.84,317,177
105,0,21753,Brian Davis,55.81,396,221
106,0,01766,Billy Mayfair,55.74,357,199
107,0,23983,Luke Donald,55.71,219,122
108,0,01024,Billy Andrade,55.62,329,183
109,0,24925,Jonathan Byrd,55.60,277,154
110,0,01928,Corey Pavin,55.56,324,180
111,0,01035,Tommy Armour III,55.51,263,146
112,0,10885,Robert Allenby,55.37,307,170
113,0,28158,Steve Marino,55.31,405,224
114,0,24502,Adam Scott,55.23,239,132
