RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,08793,Tiger Woods,11.04,151,1368
2,0,01706,Davis Love III,11.93,161,1350
3,0,21961,Charles Howell III,11.96,183,1530
4,0,01968,Nick Price,12.01,160,1332
5,0,01320,Bob Estes,12.31,195,1584
5,0,10809,Jim Furyk,12.31,195,1584
7,0,10585,Scott McCarron,12.35,209,1692
8,0,02239,Scott Verplank,12.37,216,1746
9,0,01666,Bernhard Langer,12.48,137,1098
10,0,01219,John Cook,12.82,203,1584
11,0,01945,Kenny Perry,12.86,206,1602
12,0,06567,Vijay Singh,12.98,215,1656
13,0,06595,Kevin Sutherland,13.04,230,1764
14,0,02214,Kirk Triplett,13.12,196,1494
15,0,06251,Chris DiMarco,13.16,244,1854
15,0,02010,Loren Roberts,13.16,199,1512
17,0,02104,Jeff Sluman,13.19,247,1872
18,0,08931,Glen Day,13.23,200,1512
19,0,01677,Tom Lehman,13.39,188,1404
20,0,01766,Billy Mayfair,13.50,243,1800
21,0,02170,Hal Sutton,13.51,231,1710
22,0,01381,Fred Funk,13.53,285,2106
23,0,01797,Rocco Mediate,13.61,169,1242
24,0,01810,Phil Mickelson,13.62,201,1476
25,0,01042,Paul Azinger,13.64,194,1422
26,0,12652,Cameron Beckman,13.69,244,1782
27,0,10457,Frank Nobilo,13.73,220,1602
28,0,01527,Scott Hoch,13.76,208,1512
29,0,10423,Mike Weir,13.82,214,1548
30,0,02206,David Toms,13.89,240,1728
31,0,12660,Jesper Parnevik,13.92,228,1638
32,0,01457,Jay Haas,13.97,181,1296
33,0,02223,Bob Tway,13.99,267,1908
34,0,19846,Brian Gay,14.04,283,2016
35,0,06004,Stephen Ames,14.09,213,1512
35,0,01307,Joel Edwards,14.09,251,1782
37,0,02002,John Riegger,14.29,216,1512
38,0,20593,Greg Chalmers,14.36,230,1602
39,0,20498,Briny Baird,14.40,267,1854
40,0,19824,Craig Barlow,14.43,187,1296
41,0,06621,Joe Durant,14.44,208,1440
42,0,20229,Stewart Cink,14.49,253,1746
43,0,01418,Bill Glasson,14.53,170,1170
44,0,08075,Jerry Kelly,14.58,265,1818
45,0,06332,Neal Lancaster,14.60,276,1890
46,0,09011,David Duval,14.61,192,1314
47,0,06078,Esteban Toledo,14.62,300,2052
48,0,20094,Jonathan Kaye,14.63,295,2016
49,0,01619,Skip Kendall,14.66,285,1944
50,0,01577,Lee Janzen,14.67,243,1656
51,0,02257,Brian Watts,14.68,148,1008
52,0,01329,Brad Faxon,14.69,230,1566
53,0,12782,Tim Herron,14.71,241,1638
54,0,21209,Sergio Garcia,14.72,159,1080
55,0,01761,Len Mattiace,14.74,252,1710
56,0,23353,J.J. Henry,14.75,223,1512
57,0,07003,David Berganio Jr.,14.76,194,1314
58,0,01132,Mark Brooks,14.77,234,1584
59,0,01475,Donnie Hammond,14.81,136,918
59,0,01707,Steve Lowery,14.81,256,1728
61,0,11011,Mike Sposa,14.87,249,1674
62,0,01203,Russ Cochran,14.92,196,1314
63,0,06527,Steve Stricker,14.96,175,1170
64,0,01938,David Peoples,14.99,251,1674
65,0,08545,Glen Hnatiuk,15.02,273,1818
66,0,10885,Robert Allenby,15.04,287,1908
67,0,01139,Olin Browne,15.05,260,1728
68,0,07457,Steve Flesch,15.09,288,1908
68,0,01823,Larry Mize,15.09,201,1332
70,0,19972,José Coceres,15.11,155,1026
71,0,12645,Brent Geiberger,15.12,215,1422
72,0,06373,José María Olazábal,15.13,128,846
73,0,02099,Scott Simpson,15.14,199,1314
74,0,01920,Craig Parry,15.17,172,1134
75,0,06575,Dudley Hart,15.19,205,1350
76,0,01553,John Huston,15.28,165,1080
77,0,02294,Willie Wood,15.38,144,936
78,0,01161,Mark Calcavecchia,15.40,219,1422
79,0,12680,Shigeki Maruyama,15.43,261,1692
80,0,01943,Chris Perry,15.46,217,1404
81,0,08553,Lee Porter,15.49,251,1620
82,0,07749,Brett Quigley,15.52,176,1134
83,0,20098,Stuart Appleby,15.53,274,1764
84,0,21806,Paul Gow,15.56,210,1350
84,0,01928,Corey Pavin,15.56,196,1260
86,0,24357,K.J. Choi,15.58,258,1656
86,0,06012,Greg Kraft,15.58,286,1836
88,0,01014,Fulton Allem,15.67,158,1008
88,0,01361,Dan Forsman,15.67,220,1404
88,0,02218,Ted Tryba,15.67,299,1908
91,0,08339,Spike McRoy,15.69,257,1638
92,0,10860,Justin Leonard,15.71,280,1782
93,0,20127,Chris Riley,15.72,283,1800
94,0,06315,Pete Jordan,15.75,292,1854
94,0,02106,Chris Smith,15.75,275,1746
96,0,08633,Per-Ulrik Johansson,15.76,227,1440
97,0,01098,Jay Don Blake,15.80,273,1728
98,0,01024,Billy Andrade,15.82,225,1422
99,0,06350,Bob May,15.83,228,1440
100,0,01378,David Frost,15.84,248,1566
101,0,19881,Robert Damron,15.87,260,1638
102,0,06522,Ernie Els,15.93,172,1080
103,0,10201,Matt Gogel,15.98,233,1458
104,0,02101,Joey Sindelar,15.99,190,1188
105,0,06515,Shaun Micheel,16.00,288,1800
105,0,19817,Michael Muehr,16.00,265,1656
107,0,01487,Jeff Hart,16.01,245,1530
107,0,01724,Jeff Maggert,16.01,242,1512
109,0,10425,Jay Williamson,16.05,260,1620
110,0,10565,Ian Leggatt,16.07,243,1512
110,0,11032,Frank Lickliter II,16.07,295,1836
112,0,12388,Michael Clark II,16.21,248,1530
113,0,01175,Jim Carter,16.23,295,1818
114,0,21805,Harrison Frazar,16.27,246,1512
115,0,08537,J.P. Hayes,16.30,223,1368
116,0,23034,Brent Schwarzrock,16.31,185,1134
117,0,12714,Chris Tidland,16.32,235,1440
118,0,01157,Tom Byrum,16.34,250,1530
118,0,01941,Tom Pernice Jr.,16.34,300,1836
120,0,02245,Grant Waite,16.37,224,1368
121,0,20043,Edward Fryatt,16.41,260,1584
122,0,01226,Fred Couples,16.42,201,1224
123,0,01685,J.L. Lewis,16.51,315,1908
124,0,01249,John Daly,16.53,244,1476
125,0,23125,Brad Elder,16.56,325,1962
126,0,06090,Jim McGovern,16.58,188,1134
126,0,01887,Mark O'Meara,16.58,194,1170
128,0,06809,Bob Burns,16.60,266,1602
129,0,01313,Steve Elkington,16.67,183,1098
130,0,06573,Brandt Jobe,16.73,283,1692
130,0,08375,Paul Stankowski,16.73,265,1584
132,0,01771,Blaine McCallister,16.74,241,1440
133,0,06034,Marco Dawson,16.76,172,1026
134,0,01093,Ronnie Black,16.78,154,918
135,0,02110,Jerry Smith,16.90,289,1710
136,0,01185,Brandel Chamblee,16.96,235,1386
136,0,10912,Craig Perks,16.96,232,1368
138,0,01035,Tommy Armour III,16.97,278,1638
138,0,01927,Dennis Paulson,16.97,226,1332
140,0,10962,Bradley Hughes,17.02,288,1692
141,0,08123,Jeff Brehaut,17.03,236,1386
142,0,10963,Jimmy Green,17.15,284,1656
143,0,08881,Tripp Isenhour,17.17,275,1602
144,0,01926,Steve Pate,17.18,266,1548
145,0,01374,Robin Freeman,17.26,320,1854
146,0,07867,Woody Austin,17.31,296,1710
147,0,21949,Joe Ogilvie,17.34,337,1944
148,0,23614,Rich Beem,17.35,278,1602
149,0,12760,Danny Ellis,17.40,238,1368
150,0,01723,Andrew Magee,17.43,295,1692
151,0,06643,Paul Goydos,17.46,264,1512
152,0,06514,Kevin Johnson,17.52,287,1638
153,0,25083,Jeremy Anderson,17.63,219,1242
153,0,22122,Andrew McLardy,17.63,238,1350
153,0,23621,Rory Sabbatini,17.63,219,1242
156,0,06617,Brian Henninger,17.65,251,1422
156,0,06431,Jean Van de Velde,17.65,143,810
158,0,20095,Carl Paulson,17.74,297,1674
159,0,07547,Craig Kanada,17.88,251,1404
160,0,01599,Steve Jones,17.92,229,1278
161,0,12753,David Morland IV,17.96,278,1548
162,0,12705,Cliff Kresge,18.22,269,1476
163,0,22892,Jason Gore,18.26,263,1440
164,0,01388,Robert Gamez,18.46,196,1062
165,0,20436,Garrett Willis,18.48,286,1548
166,0,02246,Duffy Waldorf,18.52,240,1296
167,0,06036,Scott Dunlap,18.57,264,1422
168,0,20433,Mark Hensby,18.62,238,1278
169,0,01063,Ben Bates,18.66,178,954
169,0,20566,Kaname Yokoo,18.66,272,1458
171,0,08057,Brian Wilson,18.67,289,1548
172,0,10213,Dicky Pride,18.80,264,1404
173,0,02279,Mark Wiebe,18.82,210,1116
174,0,21007,Gabriel Hjertstedt,18.86,258,1368
175,0,10733,Kent Jones,18.92,252,1332
176,0,21633,Steve Allan,19.06,295,1548
177,0,21584,Richie Coughlan,19.11,227,1188
178,0,07763,Doug Dunakey,19.20,280,1458
179,0,22046,Geoff Ogilvy,19.26,208,1080
180,0,20099,Doug Barron,19.27,215,1116
181,0,12823,Carlos Franco,19.35,303,1566
182,0,08535,Gary Nicklaus,19.39,328,1692
183,0,06613,Tommy Tolles,19.44,301,1548
184,0,08993,Franklin Langham,19.54,211,1080
185,0,10649,Tom Scherrer,19.61,233,1188
186,0,06140,Sean Murphy,20.00,252,1260
187,0,08063,Kelly Grunewald,20.12,239,1188
188,0,01200,Keith Clearwater,20.16,225,1116
189,0,22051,Ben Ferguson,20.27,270,1332
190,0,20574,Mathew Goggin,20.31,340,1674
190,0,07101,Dave Stockton Jr.,20.31,223,1098
192,0,24604,Hunter Haas,21.35,292,1368
