RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,01353,Bruce Fleisher,81.36,873,1073
2,0,01823,Larry Mize,80.39,865,1076
3,0,01724,Jeff Maggert,78.75,893,1134
4,0,02170,Hal Sutton,78.63,1144,1455
5,0,01705,Tim Loustalot,78.50,701,893
6,0,06621,Joe Durant,78.38,841,1073
7,0,01381,Fred Funk,78.11,1242,1590
8,0,06044,Scott Gump,78.02,1058,1356
9,0,08553,Lee Porter,78.00,989,1268
10,0,01157,Tom Byrum,77.71,997,1283
11,0,01266,Clark Dennis,77.41,812,1049
12,0,02267,D.A. Weibring,76.60,740,966
13,0,01306,David Edwards,76.58,811,1059
14,0,02214,Kirk Triplett,76.44,876,1146
15,0,06078,Esteban Toledo,76.21,990,1299
16,0,01376,Bob Friend,76.07,903,1187
17,0,01326,Nick Faldo,76.03,479,630
18,0,11032,Frank Lickliter II,76.01,1125,1480
19,0,01968,Nick Price,75.86,616,812
20,0,10809,Jim Furyk,75.81,1028,1356
21,0,01014,Fulton Allem,75.73,624,824
22,0,07569,Mark Carnevale,75.69,981,1296
23,0,06643,Paul Goydos,75.11,1047,1394
24,0,02010,Loren Roberts,75.07,795,1059
25,0,01527,Scott Hoch,75.05,1026,1367
26,0,01771,Blaine McCallister,74.84,1086,1451
27,0,01139,Olin Browne,74.81,805,1076
28,0,07235,John Morse,74.61,614,823
29,0,10860,Justin Leonard,74.53,1001,1343
30,0,01533,P.H. Horgan III,74.49,1092,1466
31,0,02321,Fuzzy Zoeller,74.21,705,950
32,0,01766,Billy Mayfair,74.06,891,1203
33,0,01996,Mike Reid,74.03,804,1086
34,0,19883,Joe Daley,73.92,700,947
35,0,01677,Tom Lehman,73.91,796,1077
36,0,06575,Dudley Hart,73.85,816,1105
37,0,01457,Jay Haas,73.77,813,1102
38,0,06315,Pete Jordan,73.63,913,1240
39,0,01619,Skip Kendall,73.56,1046,1422
40,0,01063,Ben Bates,73.55,1026,1395
41,0,02246,Duffy Waldorf,73.40,839,1143
42,0,10207,Jimmy Johnston,73.36,592,807
43,0,01219,John Cook,73.24,939,1282
44,0,02008,Lee Rinker,73.00,1060,1452
45,0,02002,John Riegger,72.99,846,1159
46,0,01510,Nolan Henke,72.94,895,1227
47,0,01748,Doug Martin,72.85,1119,1536
48,0,01414,Bob Gilder,72.78,821,1128
49,0,01960,Don Pooley,72.76,609,837
50,0,10962,Bradley Hughes,72.67,638,878
51,0,01361,Dan Forsman,72.30,778,1076
52,0,01553,John Huston,72.29,900,1245
53,0,01175,Jim Carter,72.20,1070,1482
54,0,08339,Spike McRoy,72.16,876,1214
55,0,01320,Bob Estes,72.13,1007,1396
56,0,06004,Stephen Ames,72.09,483,670
57,0,12660,Jesper Parnevik,72.03,654,908
58,0,10569,Mike Brisky,71.97,873,1213
59,0,01185,Brandel Chamblee,71.96,806,1120
60,0,09011,David Duval,71.92,794,1104
60,0,02159,Curtis Strange,71.92,461,641
62,0,02023,Clarence Rose,71.82,981,1366
63,0,10213,Dicky Pride,71.81,591,823
64,0,01388,Robert Gamez,71.80,690,961
