RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,32334,Charlie Beljan,30.50,183,600,-0.066
2,0,23320,Ryan Palmer,30.21,300,993,-0.123
3,0,24502,Adam Scott,29.97,172,574,-0.128
4,0,28237,Rory McIlroy,29.46,165,560,-0.255
5,0,28089,Jason Day,28.59,187,654,-0.053
6,0,30110,Kyle Stanley,28.40,278,979,-0.072
7,0,27330,Josh Teater,27.55,319,1158,-0.135
8,0,24940,Edward Loar,27.41,165,602,E
9,0,27120,Troy Matteson,27.40,317,1157,-0.104
10,0,27064,Jhonattan Vegas,27.30,264,967,-0.053
11,0,27141,J.B. Holmes,27.29,298,1092,-0.117
12,0,25804,Bubba Watson,26.74,192,718,-0.182
13,0,29289,S.Y. Noh,26.37,313,1187,-0.086
14,0,33141,Keegan Bradley,26.35,263,998,-0.091
15,0,01249,John Daly,25.76,136,528,-0.044
16,0,32698,Bobby Gates,25.75,273,1060,-0.095
17,0,24358,Robert Garrigus,25.34,261,1030,-0.149
17,0,30944,Jason Kokrak,25.34,244,963,-0.111
19,0,34099,Harris English,25.29,307,1214,-0.072
20,0,30925,Dustin Johnson,25.24,187,741,-0.118
21,0,08793,Tiger Woods,25.15,169,672,-0.237
22,0,26329,Louis Oosthuizen,25.07,171,682,-0.152
23,0,30692,Scott Stallings,25.05,239,954,-0.071
24,0,24140,Sean O'Hair,24.86,265,1066,-0.136
25,0,25818,Scott Piercy,24.77,298,1203,-0.181
26,0,20850,Daniel Chopra,24.75,149,602,-0.141
27,0,20396,Lee Westwood,24.64,138,560,-0.123
28,0,28308,Troy Kelly,24.58,175,712,-0.046
29,0,21961,Charles Howell III,24.26,261,1076,-0.203
30,0,01706,Davis Love III,24.18,176,728,-0.080
31,0,26289,Boo Weekley,24.07,195,810,-0.092
32,0,27936,Martin Laird,23.94,181,756,-0.160
33,0,27436,Graham DeLaet,23.89,237,992,-0.139
34,0,21805,Harrison Frazar,23.85,161,675,-0.050
35,0,28500,Martin Flores,23.56,270,1146,-0.100
36,0,01810,Phil Mickelson,23.51,197,838,-0.203
37,0,06567,Vijay Singh,23.36,264,1130,-0.186
38,0,20848,Ángel Cabrera,23.26,120,516,-0.192
