RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,30925,Dustin Johnson,25.34,224,884,-0.246
2,0,24358,Robert Garrigus,24.38,208,853,-0.226
3,0,25804,Bubba Watson,23.93,223,932,-0.305
4,0,27141,J.B. Holmes,23.37,287,1228,-0.240
5,0,20848,Ángel Cabrera,21.73,156,718,-0.231
6,0,01249,John Daly,20.28,132,651,-0.189
7,0,01810,Phil Mickelson,17.04,136,798,-0.228
8,0,27436,Graham DeLaet,16.42,174,1060,-0.282
9,0,23322,Brett Wetterich,15.41,114,740,-0.307
10,0,28500,Martin Flores,15.36,137,892,-0.212
11,0,23788,D.J. Trahan,13.26,152,1146,-0.125
12,0,28089,Jason Day,13.23,131,990,-0.183
13,0,27936,Martin Laird,12.49,138,1105,-0.159
14,0,28475,Jeff Overton,12.31,122,991,-0.205
15,0,27095,Nick Watney,12.22,118,966,-0.297
16,0,20850,Daniel Chopra,11.95,111,929,-0.180
17,0,27302,Garth Mulroy,11.79,69,585,-0.304
18,0,25818,Scott Piercy,11.76,133,1131,-0.323
19,0,12716,Charley Hoffman,11.18,120,1073,-0.183
20,0,25900,Lucas Glover,11.02,91,826,-0.275
21,0,28237,Rory McIlroy,10.89,61,560,-0.148
22,0,22371,Aaron Baddeley,10.78,132,1225,-0.311
23,0,27120,Troy Matteson,10.24,112,1094,-0.196
24,0,30946,Alex Prugh,10.23,114,1114,-0.219
25,0,25364,Paul Casey,10.19,63,618,-0.270
25,0,33419,Cameron Tringale,10.19,64,628,-0.141
27,0,20157,Retief Goosen,10.03,74,738,-0.297
27,0,23349,Charles Warren,10.03,77,768,-0.182
29,0,22913,John Rollins,9.71,102,1051,-0.176
30,0,20070,Matt Bettencourt,9.67,94,972,-0.234
31,0,26851,Marc Leishman,9.62,97,1008,-0.196
32,0,23320,Ryan Palmer,9.11,90,988,-0.133
33,0,01945,Kenny Perry,9.06,71,784,-0.268
34,0,27797,Derek Lamely,8.99,80,890,-0.238
35,0,23621,Rory Sabbatini,8.94,84,940,-0.250
36,0,01706,Davis Love III,8.87,82,924,-0.244
37,0,25562,Andres Romero,8.76,88,1005,-0.307
