RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
174,0,25396,Kevin Na,63.66,2250766,353541
175,0,23718,Nathan Green,63.62,2404699,378004
176,0,07457,Steve Flesch,63.61,1868083,293687
176,0,23800,Bryce Molder,63.61,2140464,336476
178,0,20472,Alex Cejka,63.56,1966842,309432
179,0,10809,Jim Furyk,63.38,1759947,277665
180,0,25720,Chad Collins,63.34,2225516,351358
181,0,22621,Ben Curtis,63.30,1961451,309880
181,0,08385,Omar Uresti,63.30,1772486,280008
183,0,06643,Paul Goydos,63.27,1905654,301206
184,0,26420,Richard Johnson,63.26,2160111,341455
185,0,23135,Tim Clark,63.09,1996493,316464
186,0,25190,Jeff Quinney,63.00,2336773,370945
187,0,22378,Trevor Immelman,62.98,1246101,197854
188,0,23983,Luke Donald,62.78,1529644,243644
189,0,07363,Craig Bowden,62.60,1384159,221121
190,0,10423,Mike Weir,62.34,1139870,182850
191,0,19846,Brian Gay,62.21,2368759,380773
192,0,01329,Brad Faxon,61.93,1350329,218031
