RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01329,Brad Faxon,13.34,89,667,+0.315
2,0,10423,Mike Weir,12.23,68,556,+0.235
3,0,22378,Trevor Immelman,11.60,69,595,+0.246
4,0,01116,Michael Bradley,11.55,110,952,+0.073
5,0,19846,Brian Gay,10.03,115,1146,+0.113
6,0,10809,Jim Furyk,9.81,82,836,+0.049
7,0,06515,Shaun Micheel,9.30,69,742,+0.101
8,0,06514,Kevin Johnson,9.08,62,683,+0.226
9,0,07457,Steve Flesch,8.77,79,901,+0.127
10,0,20472,Alex Cejka,8.68,82,945,+0.268
11,0,23718,Nathan Green,8.58,97,1130,+0.165
12,0,20160,Charlie Wi,8.48,105,1238,+0.048
13,0,23800,Bryce Molder,8.46,86,1016,-0.012
14,0,07363,Craig Bowden,8.36,56,670,+0.107
15,0,08537,J.P. Hayes,8.25,78,946,+0.064
16,0,26420,Richard Johnson,8.15,83,1018,+0.193
17,0,01320,Bob Estes,8.12,80,985,+0.063
18,0,25396,Kevin Na,7.87,83,1055,+0.048
19,0,23983,Luke Donald,7.77,57,734,+0.105
20,0,25190,Jeff Quinney,7.66,85,1110,+0.259
21,0,23135,Tim Clark,7.61,72,946,-0.083
22,0,06012,Greg Kraft,7.55,41,543,+0.293
23,0,09011,David Duval,7.48,58,775,+0.172
24,0,21209,Sergio Garcia,7.40,37,500,+0.189
24,0,01577,Lee Janzen,7.40,72,973,+0.139
26,0,20572,Rod Pampling,7.39,72,974,+0.139
27,0,20593,Greg Chalmers,7.28,88,1208,+0.193
27,0,25720,Chad Collins,7.28,76,1044,+0.158
29,0,08075,Jerry Kelly,7.24,83,1146,+0.036
30,0,01313,Steve Elkington,6.99,57,816,+0.105
31,0,28087,Kris Blanks,6.89,71,1031,+0.225
31,0,26951,Johnson Wagner,6.89,71,1031,+0.197
33,0,06643,Paul Goydos,6.85,63,920,+0.032
34,0,32617,Jerod Turner,6.83,38,556,+0.289
35,0,25364,Paul Casey,6.80,42,618,-0.095
36,0,06527,Steve Stricker,6.76,53,784,+0.057
37,0,06004,Stephen Ames,6.65,64,962,+0.094
38,0,20645,John Senden,6.60,80,1212,+0.063
39,0,29285,Brent Delahoussaye,6.57,43,654,+0.186
40,0,10585,Scott McCarron,6.50,75,1153,+0.120
41,0,24361,Pat Perez,6.47,75,1160,+0.067
42,0,20498,Briny Baird,6.46,71,1099,+0.169
42,0,28089,Jason Day,6.46,64,990,+0.172
44,0,21753,Brian Davis,6.38,79,1239,+0.114
