RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,06527,Steve Stricker,424,SBS Championshi,2,7,656
2,0,25804,Bubba Watson,416,Sony Open,1,8,006
3,0,26289,Boo Weekley,415,WGC-Bridgestone,4,16,036
4,0,30925,Dustin Johnson,414,SBS Championshi,3,7,656
5,0,25364,Paul Casey,412,WGC-Bridgestone,4,16,036
7,0,25900,Lucas Glover,406,SBS Championshi,3,18,656
7,0,27095,Nick Watney,406,SBS Championshi,1,17,656
9,0,20848,Ángel Cabrera,405,SBS Championshi,2,12,656
9,0,23788,D.J. Trahan,405,The Greenbrier,1,6,771
11,0,01249,John Daly,404,Sony Open,1,8,006
11,0,24358,Robert Garrigus,404,Reno-Tahoe Open,4,17,660
11,0,28475,Jeff Overton,404,WGC-Bridgestone,4,16,036
14,0,23320,Ryan Palmer,402,WGC-Bridgestone,4,16,036
17,0,06004,Stephen Ames,399,SBS Championshi,3,7,656
17,0,27141,J.B. Holmes,399,HP Byron Nelson,4,3,019
17,0,27120,Troy Matteson,399,SBS Championshi,4,6,656
17,0,23623,Bo Van Pelt,399,SBS Championshi,3,7,656
23,0,22046,Geoff Ogilvy,398,SBS Championshi,3,7,656
26,0,22792,Peter Hanson,397,WGC-Bridgestone,4,16,036
26,0,24140,Sean O'Hair,397,SBS Championshi,3,7,656
29,0,22913,John Rollins,396,SBS Championshi,2,17,656
32,0,06522,Ernie Els,395,WGC-Bridgestone,4,8,036
32,0,20157,Retief Goosen,395,SBS Championshi,3,7,656
32,0,24024,Zach Johnson,395,SBS Championshi,2,17,656
32,0,01945,Kenny Perry,395,SBS Championshi,3,7,656
32,0,23621,Rory Sabbatini,395,SBS Championshi,3,18,656
45,0,26596,Ryan Moore,393,SBS Championshi,2,7,656
45,0,24361,Pat Perez,393,SBS Championshi,2,12,656
45,0,24663,Y.E. Yang,393,SBS Championshi,4,7,656
60,0,27936,Martin Laird,391,SBS Championshi,3,18,656
64,0,21209,Sergio Garcia,390,WGC-Bridgestone,4,16,036
67,0,20766,Padraig Harrington,389,WGC-Bridgestone,4,16,036
67,0,26329,Louis Oosthuizen,389,WGC-Bridgestone,4,8,036
75,0,20229,Stewart Cink,387,SBS Championshi,3,18,656
75,0,27896,Ross Fisher,387,WGC-Bridgestone,4,16,036
75,0,21878,Mark Wilson,387,SBS Championshi,1,7,656
82,0,08337,Mike Heinen,386,Reno-Tahoe Open,2,17,660
88,0,34305,Daniel Miernicki,385,Reno-Tahoe Open,1,9,660
91,0,28089,Jason Day,384,PGA Championshi,2,11,706
91,0,27797,Derek Lamely,384,The Greenbrier,3,6,771
91,0,27214,Kevin Streelman,384,Zurich Classic,4,7,714
91,0,23349,Charles Warren,384,Reno-Tahoe Open,4,5,660
97,0,19970,Robert Karlsson,383,WGC-Bridgestone,4,16,036
97,0,23108,Matt Kuchar,383,SBS Championshi,2,7,656
104,0,27436,Graham DeLaet,382,Reno-Tahoe Open,2,18,660
104,0,24502,Adam Scott,382,WGC-Bridgestone,4,9,036
111,0,20070,Matt Bettencourt,381,Reno-Tahoe Open,4,17,660
115,0,21805,Harrison Frazar,380,Texas Open,3,4,770
115,0,27072,Alvaro Quiros,380,Phoenix Open,3,13,510
115,0,25632,Jimmy Walker,380,HP Byron Nelson,3,10,019
125,0,01116,Michael Bradley,379,SBS Championshi,1,18,656
125,0,21959,Ted Purdy,379,Transitions Chp,2,10,665
135,0,22293,Heath Slocum,378,SBS Championshi,2,12,656
147,0,20378,Mathias Grönberg,377,Reno-Tahoe Open,1,14,660
147,0,06573,Brandt Jobe,377,HP Byron Nelson,4,1,019
147,0,01810,Phil Mickelson,377,WGC-CA Champ,1,14,008
153,0,24925,Jonathan Byrd,376,Turning Stone,2,18,730
166,0,08075,Jerry Kelly,375,SBS Championshi,4,18,656
166,0,24781,Hunter Mahan,375,WGC-Bridgestone,4,16,036
166,0,24490,George McNeill,375,Sony Open,2,18,006
166,0,25818,Scott Piercy,375,Honda Classic,2,10,734
166,0,29221,Webb Simpson,375,Canadian Open,1,14,772
181,0,26851,Marc Leishman,374,Honda Classic,4,10,734
181,0,26881,Jarrod Lyle,374,Travelers Champ,2,1,503
189,0,19846,Brian Gay,373,SBS Championshi,1,7,656
189,0,19958,Miguel Angel Jiménez,373,WGC-Bridgestone,4,16,036
189,0,01706,Davis Love III,373,John Deere Clas,2,4,669
189,0,27770,Camilo Villegas,373,The Open,3,2,668
202,0,01707,Steve Lowery,372,Turning Stone,2,18,730
202,0,02239,Scott Verplank,372,Phoenix Open,3,15,510
202,0,31323,Gary Woodland,372,Turning Stone,2,18,730
218,0,21633,Steve Allan,371,Reno-Tahoe Open,4,17,660
218,0,20850,Daniel Chopra,371,Canadian Open,1,14,772
218,0,27613,David Lutterus,371,Reno-Tahoe Open,4,9,660
218,0,23307,Roger Tambellini,371,Reno-Tahoe Open,4,5,660
233,0,28087,Kris Blanks,370,Reno-Tahoe Open,4,9,660
233,0,26679,Kevin Stadler,370,Reno-Tahoe Open,4,18,660
233,0,27330,Josh Teater,370,Reno-Tahoe Open,4,17,660
250,0,20098,Stuart Appleby,369,Reno-Tahoe Open,4,17,660
250,0,01388,Robert Gamez,369,Reno-Tahoe Open,1,10,660
250,0,23353,J.J. Henry,369,Reno-Tahoe Open,4,17,660
250,0,26331,Charl Schwartzel,369,WGC-CA Champ,1,1,008
265,0,06034,Marco Dawson,368,Reno-Tahoe Open,2,17,660
265,0,32102,Rickie Fowler,368,WGC-Bridgestone,4,8,036
265,0,23718,Nathan Green,368,SBS Championshi,2,1,656
265,0,10733,Kent Jones,368,Reno-Tahoe Open,4,17,660
265,0,22056,Cameron Percy,368,Turning Stone,2,18,730
265,0,02106,Chris Smith,368,Reno-Tahoe Open,2,5,660
287,0,30946,Alex Prugh,367,Reno-Tahoe Open,2,18,660
301,0,01161,Mark Calcavecchia,366,The Open,2,1,668
301,0,27408,Martin Kaymer,366,WGC-Bridgestone,4,8,036
301,0,32888,Lucas Lee,366,Canadian Open,1,17,772
301,0,28237,Rory McIlroy,366,The Open,3,2,668
301,0,27933,John Merrick,366,Reno-Tahoe Open,1,9,660
301,0,20396,Lee Westwood,366,Quail Hollow,4,15,698
301,0,08793,Tiger Woods,366,AT&T National,4,9,773
329,0,12510,Chad Campbell,365,Reno-Tahoe Open,2,17,660
329,0,28307,Matt Every,365,Reno-Tahoe Open,2,10,660
329,0,28500,Martin Flores,365,Reno-Tahoe Open,4,17,660
329,0,01385,Jim Gallagher Jr.,365,Reno-Tahoe Open,2,17,660
329,0,34098,Russell Henley,365,U.S. Open Champ,3,1,666
329,0,32881,Hugo León,365,U.S. Open Champ,2,1,666
329,0,30004,Ross McGowan,365,WGC-Bridgestone,4,16,036
329,0,20663,Brenden Pappas,365,Wyndham Champ.,2,18,752
350,0,23613,Rich Barcelo,364,John Deere Clas,1,4,669
350,0,19824,Craig Barlow,364,Reno-Tahoe Open,4,9,660
350,0,01320,Bob Estes,364,Turning Stone,2,18,730
350,0,23548,Bill Lunde,364,Reno-Tahoe Open,2,18,660
350,0,21660,Jason Schultz,364,HP Byron Nelson,2,7,019
350,0,23322,Brett Wetterich,364,HP Byron Nelson,4,3,019
369,0,07867,Woody Austin,363,Reno-Tahoe Open,1,9,660
369,0,12716,Charley Hoffman,363,Quail Hollow,4,15,698
369,0,33039,Jason Schmuhl,363,Frys.com Open,2,2,775
401,0,24463,Trevor Fisher Jr,362,HP Byron Nelson,1,7,019
401,0,33204,Shane Lowry,362,The Open,3,2,668
401,0,31560,Brian Stuard,362,Quail Hollow,4,12,698
401,0,26498,Matt Weibring,362,Reno-Tahoe Open,2,9,660
401,0,26392,Chris Wilson,362,Sony Open,1,8,006
431,0,20574,Mathew Goggin,361,Phoenix Open,3,13,510
431,0,29718,Anthony Kim,361,Phoenix Open,3,13,510
431,0,24912,Will MacKenzie,361,Reno-Tahoe Open,3,10,660
431,0,27060,John Mallinger,361,Reno-Tahoe Open,3,10,660
431,0,27302,Garth Mulroy,361,HP Byron Nelson,4,9,019
431,0,20691,Greg Owen,361,Zurich Classic,4,7,714
466,0,34195,Christopher Brown,360,HP Byron Nelson,2,7,019
466,0,32495,Rob Grube,360,Canadian Open,1,14,772
466,0,27324,Seungsu Han,360,Reno-Tahoe Open,1,17,660
466,0,20572,Rod Pampling,360,Turning Stone,2,18,730
466,0,23497,Tag Ridings,360,Shell Houston,4,18,729
466,0,25562,Andres Romero,360,HP Byron Nelson,1,7,019
466,0,07707,Mike Small,360,Reno-Tahoe Open,4,9,660
466,0,27963,Chris Stroud,360,Viking Classic,4,7,609
503,0,29910,Blake Adams,359,Phoenix Open,1,17,510
503,0,12652,Cameron Beckman,359,Sony Open,1,8,006
503,0,23673,Michael Connell,359,Frys.com Open,1,2,775
503,0,32698,Bobby Gates,359,U.S. Open Champ,4,1,666
503,0,33399,Adam Hadwin,359,Canadian Open,1,5,772
503,0,12714,Chris Tidland,359,Sony Open,4,16,006
534,0,22371,Aaron Baddeley,358,Texas Open,1,5,770
534,0,34306,John Chin,358,Reno-Tahoe Open,1,15,660
534,0,11123,Chris Couch,358,John Deere Clas,2,4,669
534,0,12823,Carlos Franco,358,Reno-Tahoe Open,1,9,660
534,0,12782,Tim Herron,358,HP Byron Nelson,1,7,019
534,0,21961,Charles Howell III,358,Canadian Open,2,5,772
534,0,01577,Lee Janzen,358,HP Byron Nelson,2,7,019
534,0,27929,Shiv Kapur,358,Reno-Tahoe Open,1,17,660
534,0,20094,Jonathan Kaye,358,Reno-Tahoe Open,4,17,660
534,0,25572,Graeme McDowell,358,WGC-CA Champ,1,12,008
534,0,32640,Troy Merritt,358,Canadian Open,2,5,772
534,0,21528,Henrik Stenson,358,Frys.com Open,3,18,775
534,0,28780,Nicholas Thompson,358,Reno-Tahoe Open,2,10,660
534,0,33419,Cameron Tringale,358,HP Byron Nelson,2,7,019
589,0,10885,Robert Allenby,357,WGC-CA Champ,2,12,008
589,0,10117,Bob Heintz,357,Reno-Tahoe Open,3,10,660
589,0,30852,Ryo Ishikawa,357,WGC-Bridgestone,4,16,036
589,0,20645,John Senden,357,Wyndham Champ.,2,18,752
637,0,24461,Thomas Aiken,356,The Open,3,2,668
637,0,21407,Arjun Atwal,356,AT&T National,2,10,773
637,0,23135,Tim Clark,356,Frys.com Open,2,8,775
637,0,20105,Jeff Gove,356,The Greenbrier,1,1,771
637,0,24924,Bill Haas,356,Viking Classic,3,7,609
637,0,20433,Mark Hensby,356,Reno-Tahoe Open,4,17,660
637,0,25336,Alistair Presnell,356,WGC-CA Champ,1,12,008
637,0,28620,Aron Price,356,Reno-Tahoe Open,1,9,660
637,0,20686,Jeev Milkha Singh,356,The Greenbrier,2,12,771
637,0,12755,Vance Veazey,356,Reno-Tahoe Open,1,9,660
686,0,32701,Cam Burke,355,Canadian Open,1,17,772
686,0,12388,Michael Clark II,355,St. Jude,2,3,513
686,0,32416,Benjamin Fox,355,Reno-Tahoe Open,4,9,660
686,0,22892,Jason Gore,355,Wyndham Champ.,2,18,752
686,0,31557,Jim Herman,355,U.S. Open Champ,2,1,666
686,0,01553,John Huston,355,Texas Open,1,5,770
686,0,24138,Ian Poulter,355,WGC-CA Champ,1,12,008
751,0,27124,Chris Baryla,354,Sony Open,1,13,006
751,0,20472,Alex Cejka,354,Reno-Tahoe Open,2,10,660
751,0,01766,Billy Mayfair,354,Reno-Tahoe Open,2,10,660
751,0,26301,James Nitties,354,Canadian Open,1,5,772
751,0,25398,Ryuichi Oda,354,Sony Open,3,18,006
751,0,06567,Vijay Singh,354,Travelers Champ,4,18,503
751,0,08375,Paul Stankowski,354,HP Byron Nelson,3,3,019
751,0,26951,Johnson Wagner,354,Reno-Tahoe Open,4,5,660
814,0,24507,Jason Bohn,353,WGC-Bridgestone,4,16,036
814,0,19905,Andrew Coltart,353,The Open,3,2,668
814,0,23409,James Driscoll,353,Canadian Open,1,14,772
814,0,09011,David Duval,353,Turning Stone,4,14,730
814,0,26908,Yuta Ikeda,353,WGC-CA Champ,1,1,008
814,0,01619,Skip Kendall,353,Reno-Tahoe Open,1,10,660
814,0,25240,D.A. Points,353,The Greenbrier,4,12,771
814,0,07749,Brett Quigley,353,Turning Stone,2,9,730
814,0,06595,Kevin Sutherland,353,Canadian Open,4,14,772
872,0,22621,Ben Curtis,352,WGC-Bridgestone,4,16,036
872,0,23638,Brendon de Jonge,352,Turning Stone,2,9,730
872,0,23983,Luke Donald,352,WGC-Bridgestone,4,16,036
872,0,01313,Steve Elkington,352,Reno-Tahoe Open,4,10,660
872,0,07457,Steve Flesch,352,Reno-Tahoe Open,2,10,660
872,0,22378,Trevor Immelman,352,PGA Championshi,2,11,706
872,0,24511,Thongchai Jaidee,352,WGC-CA Champ,1,12,008
872,0,26300,Matt Jones,352,HP Byron Nelson,2,1,019
872,0,27466,Spencer Levin,352,Reno-Tahoe Open,1,10,660
872,0,33413,Ben Martin,352,U.S. Open Champ,2,1,666
872,0,25892,Steve Wheatcroft,352,Reno-Tahoe Open,4,10,660
872,0,27506,Oliver Wilson,352,WGC-CA Champ,1,12,008
872,0,34384,Eugene Wong,352,Canadian Open,1,14,772
942,0,33948,Byeong Hun An,351,AT&T National,1,3,773
942,0,06251,Chris DiMarco,351,Reno-Tahoe Open,3,10,660
942,0,32874,Erick Justesen,351,U.S. Open Champ,3,1,666
942,0,26695,Michael Letzig,351,John Deere Clas,2,4,669
