RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,01132,Mark Brooks,.33,1,306
2,0,08931,Glen Day,.58,2,342
3,0,01378,David Frost,.69,1,144
4,0,08537,J.P. Hayes,.88,3,342
5,0,01723,Andrew Magee,.93,2,216
6,0,20229,Stewart Cink,.97,4,414
7,0,06617,Brian Henninger,.98,3,306
8,0,01887,Mark O'Meara,1.01,2,198
9,0,01599,Steve Jones,1.04,3,288
10,0,08375,Paul Stankowski,1.11,3,270
10,0,07101,Dave Stockton Jr.,1.11,3,270
12,0,19881,Robert Damron,1.17,4,342
13,0,01761,Len Mattiace,1.21,5,414
14,0,01941,Tom Pernice Jr.,1.23,4,324
15,0,21805,Harrison Frazar,1.28,3,234
16,0,23125,Brad Elder,1.32,5,378
17,0,01329,Brad Faxon,1.39,5,360
17,0,12449,Ryan Howison,1.39,3,216
17,0,08075,Jerry Kelly,1.39,6,432
17,0,01619,Skip Kendall,1.39,6,432
17,0,06613,Tommy Tolles,1.39,3,216
22,0,01261,Jay Delsing,1.48,4,270
22,0,01927,Dennis Paulson,1.48,4,270
24,0,06431,Jean Van de Velde,1.59,4,252
25,0,06012,Greg Kraft,1.62,7,432
25,0,01943,Chris Perry,1.62,7,432
27,0,10117,Bob Heintz,1.67,3,180
27,0,06090,Jim McGovern,1.67,3,180
27,0,02279,Mark Wiebe,1.67,6,360
30,0,11032,Frank Lickliter II,1.69,7,414
31,0,23621,Rory Sabbatini,1.74,5,288
32,0,01685,J.L. Lewis,1.77,7,396
33,0,20593,Greg Chalmers,1.85,6,324
33,0,19822,Bobby Cochran,1.85,3,162
33,0,21209,Sergio Garcia,1.85,4,216
33,0,10201,Matt Gogel,1.85,4,216
33,0,21007,Gabriel Hjertstedt,1.85,5,270
33,0,01706,Davis Love III,1.85,7,378
33,0,01823,Larry Mize,1.85,5,270
40,0,07457,Steve Flesch,1.92,10,522
41,0,10809,Jim Furyk,1.93,8,414
42,0,08993,Franklin Langham,1.94,7,360
43,0,01219,John Cook,1.96,6,306
44,0,01331,Rick Fehr,1.98,5,252
44,0,06088,Steve Gotsche,1.98,5,252
46,0,01569,Peter Jacobsen,2.02,4,198
47,0,19846,Brian Gay,2.05,7,342
47,0,08793,Tiger Woods,2.05,7,342
49,0,01035,Tommy Armour III,2.08,6,288
49,0,01527,Scott Hoch,2.08,9,432
49,0,01549,Mike Hulbert,2.08,3,144
52,0,02218,Ted Tryba,2.12,8,378
53,0,01024,Billy Andrade,2.14,5,234
53,0,23614,Rich Beem,2.14,5,234
55,0,01042,Paul Azinger,2.16,7,324
55,0,01553,John Huston,2.16,7,324
57,0,01707,Steve Lowery,2.17,9,414
58,0,01072,Chip Beck,2.22,2,90
58,0,07363,Craig Bowden,2.22,2,90
58,0,12645,Brent Geiberger,2.22,6,270
58,0,10860,Justin Leonard,2.22,8,360
58,0,01926,Steve Pate,2.22,8,360
58,0,06527,Steve Stricker,2.22,4,180
58,0,02223,Bob Tway,2.22,6,270
58,0,10425,Jay Williamson,2.22,8,360
66,0,01771,Blaine McCallister,2.27,9,396
66,0,10423,Mike Weir,2.27,9,396
68,0,21949,Joe Ogilvie,2.29,7,306
69,0,02104,Jeff Sluman,2.31,10,432
69,0,11011,Mike Sposa,2.31,5,216
71,0,20098,Stuart Appleby,2.34,8,342
72,0,10569,Mike Brisky,2.38,6,252
72,0,11653,Paul Curry,2.38,3,126
72,0,01282,Trevor Dodds,2.38,6,252
72,0,01307,Joel Edwards,2.38,9,378
72,0,10213,Dicky Pride,2.38,6,252
72,0,02131,Mike Springer,2.38,6,252
78,0,06581,David Sutherland,2.42,10,414
79,0,01226,Fred Couples,2.43,7,288
79,0,06515,Shaun Micheel,2.43,7,288
81,0,06251,Chris DiMarco,2.44,11,450
82,0,01157,Tom Byrum,2.47,8,324
82,0,02245,Grant Waite,2.47,8,324
84,0,02010,Loren Roberts,2.50,9,360
85,0,01326,Nick Faldo,2.53,5,198
85,0,01905,Joe Ozaki,2.53,5,198
87,0,12388,Michael Clark II,2.56,6,234
87,0,01320,Bob Estes,2.56,6,234
87,0,01928,Corey Pavin,2.56,6,234
90,0,24357,K.J. Choi,2.61,8,306
90,0,06522,Ernie Els,2.61,8,306
92,0,06004,Stephen Ames,2.63,9,342
92,0,01175,Jim Carter,2.63,9,342
94,0,20094,Jonathan Kaye,2.66,11,414
95,0,01040,Emlyn Aubrey,2.78,4,144
95,0,01185,Brandel Chamblee,2.78,7,252
