RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,0,01876,Greg Norman,1.94,248,128
2,0,01320,Bob Estes,1.78,359,202
3,0,02010,Loren Roberts,1.73,308,178
4,0,01783,Mark McCumber,1.70,270,159
5,0,01690,Bruce Lietzke,1.69,238,141
6,0,01677,Tom Lehman,1.63,319,196
6,0,02321,Fuzzy Zoeller,1.63,295,181
8,0,01418,Bill Glasson,1.62,301,186
9,0,01810,Phil Mickelson,1.58,270,171
10,0,01201,Lennie Clements,1.55,312,201
11,0,01226,Fred Couples,1.54,188,122
12,0,01553,John Huston,1.53,352,230
13,0,01837,Gil Morgan,1.51,240,159
14,0,01968,Nick Price,1.49,227,152
15,0,02214,Kirk Triplett,1.46,316,216
16,0,01098,Jay Don Blake,1.45,344,238
16,0,01457,Jay Haas,1.45,380,262
16,0,01475,Donnie Hammond,1.45,289,200
19,0,01928,Corey Pavin,1.44,238,165
20,0,01569,Peter Jacobsen,1.41,250,177
21,0,01527,Scott Hoch,1.40,334,239
22,0,01143,Brad Bryant,1.39,404,290
22,0,02133,Craig Stadler,1.39,264,190
22,0,02170,Hal Sutton,1.39,365,263
25,0,01060,Dave Barr,1.38,340,247
25,0,01219,John Cook,1.38,264,191
25,0,01559,Hale Irwin,1.38,281,204
28,0,01306,David Edwards,1.37,284,208
29,0,01161,Mark Calcavecchia,1.36,322,237
29,0,06527,Steve Stricker,1.36,366,270
31,0,01235,Ben Crenshaw,1.35,307,228
31,0,01724,Jeff Maggert,1.35,344,255
33,0,01633,Tom Kite,1.34,270,201
34,0,01378,David Frost,1.32,283,215
34,0,02159,Curtis Strange,1.32,295,224
36,0,01266,Clark Dennis,1.31,363,278
36,0,02239,Scott Verplank,1.31,229,175
38,0,01116,Michael Bradley,1.30,319,245
39,0,06214,Guy Boros,1.29,347,268
40,0,01823,Larry Mize,1.28,273,214
40,0,06567,Vijay Singh,1.28,267,208
42,0,01331,Rick Fehr,1.27,280,221
42,0,06577,John Wilson,1.27,302,237
44,0,02256,Tom Watson,1.26,188,149
45,0,01701,Bob Lohr,1.25,290,232
46,0,01132,Mark Brooks,1.23,387,315
46,0,06809,Bob Burns,1.23,254,207
46,0,01203,Russ Cochran,1.23,315,256
46,0,01329,Brad Faxon,1.23,331,269
46,0,01381,Fred Funk,1.23,349,284
46,0,01549,Mike Hulbert,1.23,336,273
46,0,01771,Blaine McCallister,1.23,343,278
46,0,01824,Yoshinori Mizumaki,1.23,202,164
46,0,01926,Steve Pate,1.23,323,263
46,0,02241,Bobby Wadkins,1.23,248,201
56,0,01156,Curt Byrum,1.22,291,238
56,0,08931,Glen Day,1.22,340,278
56,0,01706,Davis Love III,1.22,344,281
59,0,01385,Jim Gallagher Jr.,1.21,302,249
59,0,01723,Andrew Magee,1.21,302,249
59,0,02131,Mike Springer,1.21,321,266
62,0,01072,Chip Beck,1.20,305,255
62,0,01388,Robert Gamez,1.20,302,252
62,0,06657,Steve Rintoul,1.20,275,229
65,0,01313,Steve Elkington,1.19,215,181
66,0,10809,Jim Furyk,1.18,316,267
66,0,01414,Bob Gilder,1.18,282,240
66,0,01682,Wayne Levi,1.18,286,242
66,0,01945,Kenny Perry,1.18,360,304
66,0,02218,Ted Tryba,1.18,374,318
71,0,01374,Robin Freeman,1.17,336,287
71,0,01927,Dennis Paulson,1.17,292,249
71,0,02049,Gene Sauers,1.17,286,245
74,0,01093,Ronnie Black,1.16,273,235
74,0,01200,Keith Clearwater,1.16,323,279
74,0,01707,Steve Lowery,1.16,335,289
74,0,01971,Dillard Pruitt,1.16,296,255
74,0,02099,Scott Simpson,1.16,237,204
79,0,01024,Billy Andrade,1.15,293,255
79,0,01196,Brian Claar,1.15,314,274
79,0,01905,Joe Ozaki,1.15,216,188
79,0,01938,David Peoples,1.15,299,261
79,0,01975,Tom Purtzer,1.15,236,206
79,0,02246,Duffy Waldorf,1.15,289,252
85,0,02101,Joey Sindelar,1.14,206,181
86,0,06643,Paul Goydos,1.13,349,308
86,0,08337,Mike Heinen,1.13,286,253
86,0,01920,Craig Parry,1.13,214,190
86,0,02267,D.A. Weibring,1.13,222,196
90,0,01444,Ken Green,1.12,296,265
91,0,01261,Jay Delsing,1.11,316,285
91,0,01577,Lee Janzen,1.11,292,263
91,0,01887,Mark O'Meara,1.11,306,276
91,0,01891,David Ogrin,1.11,287,259
91,0,02146,Payne Stewart,1.11,255,230
91,0,02190,Doug Tewell,1.11,271,244
97,0,06020,Steve Brodie,1.10,284,259
97,0,01755,Dick Mast,1.10,301,274
97,0,01996,Mike Reid,1.10,222,201
97,0,02033,Dave Rummells,1.10,342,312
97,0,02223,Bob Tway,1.10,272,248
102,0,06251,Chris DiMarco,1.09,306,282
102,0,01510,Nolan Henke,1.09,267,245
102,0,02167,Mike Sullivan,1.09,231,212
102,0,02201,Jim Thorpe,1.09,245,224
106,0,01361,Dan Forsman,1.08,226,209
106,0,06332,Neal Lancaster,1.08,321,297
106,0,07235,John Morse,1.08,233,215
109,0,06197,Michael Allen,1.07,340,318
109,0,01330,David Feherty,1.07,236,221
109,0,06617,Brian Henninger,1.07,239,224
109,0,06140,Sean Murphy,1.07,276,257
109,0,02135,Mike Standly,1.07,320,299
114,0,06315,Pete Jordan,1.06,289,273
114,0,06128,Steve Lamontagne,1.06,249,235
114,0,02104,Jeff Sluman,1.06,302,284
114,0,02206,David Toms,1.06,325,307
114,0,02294,Willie Wood,1.06,238,225
119,0,06609,Rob Boldt,1.05,199,189
119,0,01495,Morris Hatalsky,1.05,238,226
119,0,01607,Brian Kamm,1.05,314,300
119,0,06012,Greg Kraft,1.05,294,281
119,0,08375,Paul Stankowski,1.05,265,253
124,0,02100,Tim Simpson,1.04,278,268
125,0,01288,Ed Dougherty,1.03,307,297
125,0,06575,Dudley Hart,1.03,282,274
125,0,06090,Jim McGovern,1.03,299,290
128,0,06058,John Flannery,1.01,319,317
128,0,07101,Dave Stockton Jr.,1.01,307,304
128,0,06791,Mark Wurtz,1.01,296,292
131,0,01185,Brandel Chamblee,1.00,274,273
