RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,01553,John Huston,23.28,352,1512
2,0,01810,Phil Mickelson,23.08,270,1170
3,0,02321,Fuzzy Zoeller,22.45,295,1314
4,0,01690,Bruce Lietzke,22.41,238,1062
5,0,01418,Bill Glasson,22.30,301,1350
6,0,02010,Loren Roberts,22.22,308,1386
7,0,01098,Jay Don Blake,21.97,344,1566
8,0,01677,Tom Lehman,21.88,319,1458
9,0,01876,Greg Norman,21.87,248,1134
10,0,06527,Steve Stricker,21.86,366,1674
11,0,01724,Jeff Maggert,21.65,343,1584
12,0,01388,Robert Gamez,21.62,294,1360
13,0,06567,Vijay Singh,21.49,257,1196
14,0,01161,Mark Calcavecchia,21.30,322,1512
15,0,02133,Craig Stadler,21.26,264,1242
16,0,02131,Mike Springer,21.23,321,1512
17,0,01559,Hale Irwin,21.10,281,1332
18,0,01927,Dennis Paulson,21.07,292,1386
19,0,01968,Nick Price,21.02,227,1080
20,0,01706,Davis Love III,21.00,344,1638
21,0,01320,Bob Estes,20.99,359,1710
22,0,02170,Hal Sutton,20.90,365,1746
23,0,06214,Guy Boros,20.73,347,1674
24,0,01457,Jay Haas,20.70,380,1836
25,0,01201,Lennie Clements,20.63,312,1512
26,0,01143,Brad Bryant,20.59,404,1962
27,0,01266,Clark Dennis,20.58,363,1764
28,0,02241,Bobby Wadkins,20.56,248,1206
29,0,01374,Robin Freeman,20.51,336,1638
29,0,01837,Gil Morgan,20.51,240,1170
31,0,01226,Fred Couples,20.48,188,918
32,0,01569,Peter Jacobsen,20.42,250,1224
33,0,06791,Mark Wurtz,20.30,296,1458
34,0,01823,Larry Mize,20.22,273,1350
35,0,01385,Jim Gallagher Jr.,20.21,302,1494
36,0,01331,Rick Fehr,20.20,280,1386
36,0,01945,Kenny Perry,20.20,360,1782
38,0,01200,Keith Clearwater,20.16,323,1602
38,0,01378,David Frost,20.16,283,1404
40,0,01468,Gary Hallberg,20.14,281,1395
41,0,08337,Mike Heinen,20.11,286,1422
