RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,24925,Jonathan Byrd,26.92,350,13
2,0,19972,José Coceres,27.13,217,8
3,0,20766,Padraig Harrington,27.29,382,14
4,0,20850,Daniel Chopra,27.45,549,20
5,0,01948,Tim Petrovic,27.48,577,21
6,0,23135,Tim Clark,27.50,385,14
6,0,27649,Brandt Snedeker,27.50,605,22
8,0,22348,Nick O'Hern,27.69,360,13
9,0,06373,José María Olazábal,27.70,277,10
10,0,22371,Aaron Baddeley,27.78,500,18
10,0,21528,Henrik Stenson,27.78,250,9
10,0,06527,Steve Stricker,27.78,500,18
13,0,10213,Dicky Pride,27.80,278,10
14,0,22046,Geoff Ogilvy,27.83,501,18
15,0,12680,Shigeki Maruyama,27.85,362,13
16,0,20098,Stuart Appleby,27.86,390,14
16,0,01941,Tom Pernice Jr.,27.86,585,21
18,0,12714,Chris Tidland,27.88,223,8
19,0,20127,Chris Riley,27.92,335,12
20,0,21209,Sergio Garcia,28.00,420,15
20,0,12705,Cliff Kresge,28.00,644,23
20,0,23108,Matt Kuchar,28.00,420,15
23,0,08375,Paul Stankowski,28.14,197,7
24,0,02239,Scott Verplank,28.17,507,18
25,0,23621,Rory Sabbatini,28.22,508,18
25,0,12602,Dean Wilson,28.22,508,18
27,0,25273,Andrew Buckle,28.25,339,12
27,0,23800,Bryce Molder,28.25,226,8
29,0,24140,Sean O'Hair,28.27,622,22
30,0,23718,Nathan Green,28.29,594,21
30,0,12660,Jesper Parnevik,28.29,481,17
32,0,01577,Lee Janzen,28.33,255,9
33,0,21350,Ryuji Imada,28.35,567,20
34,0,02206,David Toms,28.39,511,18
35,0,24024,Zach Johnson,28.41,483,17
36,0,25900,Lucas Glover,28.43,597,21
37,0,21660,Jason Schultz,28.44,256,9
38,0,20378,Mathias Grönberg,28.47,484,17
38,0,10860,Justin Leonard,28.47,541,19
40,0,07867,Woody Austin,28.50,570,20
40,0,25396,Kevin Na,28.50,456,16
40,0,06567,Vijay Singh,28.50,684,24
43,0,22212,Craig Lile,28.53,428,15
43,0,23325,Vaughn Taylor,28.53,485,17
45,0,24138,Ian Poulter,28.54,371,13
46,0,23623,Bo Van Pelt,28.55,628,22
47,0,01320,Bob Estes,28.56,457,16
48,0,22293,Heath Slocum,28.59,629,22
48,0,21878,Mark Wilson,28.59,486,17
50,0,25345,Carl Pettersson,28.60,715,25
50,0,24457,Jaco Van Zyl,28.60,143,5
52,0,19846,Brian Gay,28.65,573,20
53,0,23933,Michael Boyd,28.67,258,9
53,0,01161,Mark Calcavecchia,28.67,516,18
53,0,27141,J.B. Holmes,28.67,344,12
53,0,01928,Corey Pavin,28.67,430,15
53,0,23497,Tag Ridings,28.67,258,9
58,0,12716,Charley Hoffman,28.72,517,18
59,0,24357,K.J. Choi,28.75,575,20
59,0,20628,Arron Oberholser,28.75,460,16
61,0,24449,Parker McLachlin,28.77,374,13
61,0,22913,John Rollins,28.77,633,22
63,0,25190,Jeff Quinney,28.78,518,18
64,0,07457,Steve Flesch,28.79,547,19
64,0,10117,Bob Heintz,28.79,403,14
66,0,20104,Ken Duke,28.80,720,25
66,0,01810,Phil Mickelson,28.80,432,15
66,0,24361,Pat Perez,28.80,432,15
69,0,10423,Mike Weir,28.84,548,19
70,0,01724,Jeff Maggert,28.87,433,15
71,0,23320,Ryan Palmer,28.88,462,16
72,0,21806,Paul Gow,28.89,260,9
73,0,20157,Retief Goosen,28.91,318,11
73,0,12195,Tom Johnson,28.91,318,11
75,0,01388,Robert Gamez,28.92,376,13
76,0,08537,J.P. Hayes,28.94,521,18
77,0,01142,Bart Bryant,28.95,550,19
78,0,07223,Brian Bateman,29.00,261,9
78,0,20623,Gavin Coles,29.00,464,16
