RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,34099,Harris English,100' 3",WM Phoenix Open,2,6
2,0,30163,Henrik Norlander,93' 4",Valero,3,13
3,0,39067,MJ Daffue,82' 6",3M Open,2,18
4,0,19803,Ryan Armour,80' 8",Wells Fargo,1,1
4,0,57362,Austin Eckroat,80' 8",the Memorial,2,2
4,0,31242,Marcel Schneider,80' 8",Genesis Scottish Open,4,7
7,0,52411,Kyle Westmoreland,79' 4",Valero,1,1
8,0,37378,Min Woo Lee,77' 6",PGA Championship,2,5
9,0,51491,Brandon Matthews,77' 5",Mexico Open,1,18
10,0,55789,Taylor Montgomery,77' 1",THE PLAYERS,4,11
11,0,30692,Scott Stallings,75' 6",WM Phoenix Open,3,3
12,0,35532,Tom Hoge,75' 1",WM Phoenix Open,2,3
13,0,33870,Ashun Wu,74' 3",Genesis Scottish Open,1,1
14,0,29936,Ryan Fox,73' 2",PGA Championship,3,7
15,0,31577,Tano Goya,73' 1",3M Open,2,3
16,0,33204,Shane Lowry,72' 9",Genesis Scottish Open,2,12
17,0,26596,Ryan Moore,72' 8",The RSM Classic,3,15
18,0,55454,Carl Yuan,72' 4",The RSM Classic,4,7
19,0,28237,Rory McIlroy,71' 11",Wells Fargo,4,10
20,0,55708,Hayden Buckley,71' 5",Arnold Palmer,1,3
20,0,59442,Parker Coody,71' 5",AT&T Byron Nelson,2,15
22,0,47347,Adam Schenk,71' 1",Valspar,4,12
23,0,30911,Tommy Fleetwood,70' 6",PGA Championship,3,6
24,0,47591,Eric Cole,69' 9",Honda,4,5
25,0,34255,Joseph Bramlett,69' 8",Sony Open,1,4
26,0,55182,Tom Kim,69' 6",U.S. Open,2,4
27,0,27095,Nick Watney,69' 4",John Deere,2,11
28,0,48887,Matt Wallace,69' 3",Rocket Mortgage,4,8
29,0,59652,Sam Bennett,69' 1",Sanderson Farms,2,7
30,0,54591,Ben Griffin,68' 4",Sony Open,2,14
31,0,33486,Roger Sloan,67' 9",U.S. Open,2,2
31,0,25493,Nick Taylor,67' 9",PGA Championship,2,4
33,0,35901,Paul Haley II,67' 6",3M Open,2,9
33,0,25240,D.A. Points,67' 6",AT&T Byron Nelson,1,3
35,0,32791,K.H. Lee,67' 5",Genesis,2,5
36,0,31202,William McGirt,67' 1",AT&T Byron Nelson,4,1
37,0,33948,Byeong Hun An,66' 9",Wyndham,2,15
38,0,46601,Trey Mullinax,66' 1",Houston Open,4,4
39,0,49964,Aaron Wise,65' 9",THE PLAYERS,1,13
40,0,28252,Seamus Power,65' 8",BMW Championship,2,15
41,0,48119,Ben Taylor,65' 6",The RSM Classic,2,7
42,0,33490,Bo Hoag,64' 5",the Memorial,2,2
43,0,52375,Doug Ghim,64' 4",3M Open,2,8
44,0,57975,Harry Hall,63' 11",Wells Fargo,1,7
45,0,39971,Sungjae Im,63' 9",Sentry,3,5
46,0,46435,Austin Cook,63' 5",Sanderson Farms,1,5
47,0,30750,Tommy Gainey,63' 3",AT&T Byron Nelson,2,17
48,0,61143,Austin Greaser,62' 11",Wells Fargo,1,7
49,0,20229,Stewart Cink,62' 6",Sony Open,1,4
50,0,60006,Ben Carr,62' 5",U.S. Open,2,7
50,0,46340,Alex Smalley,62' 5",Houston Open,3,3
52,0,22046,Geoff Ogilvy,62' 1",John Deere,4,2
53,0,54421,Garrick Higgo,62' 0",Sanderson Farms,2,6
53,0,29531,Richie Ramsay,62' 0",Genesis Scottish Open,3,15
53,0,24502,Adam Scott,62' 0",Wells Fargo,1,12
56,0,29221,Webb Simpson,61' 9",Wells Fargo,1,7
57,0,32448,James Hahn,61' 8",WM Phoenix Open,4,7
57,0,50525,Collin Morikawa,61' 8",Charles Schwab,2,13
59,0,37338,Zecheng Dou,61' 6",Rocket Mortgage,3,2
60,0,51414,Brent Grant,61' 5",U.S. Open,2,12
60,0,37275,Sam Ryder,61' 5",WM Phoenix Open,2,9
62,0,37212,Paul Barjon,61' 4",U.S. Open,2,17
63,0,47988,Nick Hardy,61' 3",Sanderson Farms,2,10
63,0,30852,Ryo Ishikawa,61' 3",U.S. Open,2,11
63,0,49960,Sepp Straka,61' 3",Sentry,4,2
66,0,27214,Kevin Streelman,61' 2",Sony Open,1,16
67,0,20766,Padraig Harrington,61' 1",Genesis Scottish Open,2,7
68,0,23108,Matt Kuchar,60' 11",Wyndham,2,7
69,0,27129,Luke List,60' 9",Genesis Scottish Open,3,8
70,0,36699,Patrick Rodgers,60' 4",Wells Fargo,1,12
71,0,27974,Sung Kang,60' 2",Fortinet Championship,1,18
71,0,49947,Taylor Moore,60' 2",Fortinet Championship,1,5
71,0,22056,Cameron Percy,60' 2",Barbasol,4,2
74,0,33141,Keegan Bradley,60' 0",Rocket Mortgage,2,6
75,0,34579,Alexander Levy,59' 8",Barbasol,3,16
75,0,50095,Austin Smotherman,59' 8",THE PLAYERS,1,2
77,0,50762,Alejandro Del Rey,59' 5",U.S. Open,1,1
77,0,29478,Kevin Kisner,59' 5",Sanderson Farms,2,10
79,0,40115,Adam Svensson,59' 4",Sanderson Farms,3,12
80,0,29725,Tony Finau,59' 3",Houston Open,1,2
81,0,50584,Connor Syme,59' 1",Genesis Scottish Open,3,16
82,0,35450,Patrick Cantlay,58' 11",Sentry,4,17
82,0,36326,David Lipsky,58' 11",3M Open,4,17
82,0,51950,Max McGreevy,58' 11",Sanderson Farms,1,12
85,0,46441,Robby Shelton,58' 8",Houston Open,2,11
86,0,26476,Chez Reavie,58' 5",RBC Canadian,4,12
87,0,34076,Joel Dahmen,58' 4",WM Phoenix Open,4,13
87,0,45242,Kevin Yu,58' 4",John Deere,1,15
89,0,59836,Pierceson Coody,57' 11",Honda,3,2
90,0,29970,Dylan Frittelli,57' 8",The RSM Classic,2,12
90,0,27963,Chris Stroud,57' 8",Sanderson Farms,4,16
90,0,30927,Brendon Todd,57' 8",John Deere,2,12
93,0,39977,Max Homa,57' 7",Rocket Mortgage,2,11
93,0,53165,Doc Redman,57' 7",Sony Open,2,13
95,0,33597,Harry Higgs,57' 5",John Deere,3,1
96,0,34046,Jordan Spieth,57' 4",Valspar,1,15
97,0,27895,Jonas Blixt,57' 3",Sanderson Farms,2,11
98,0,47504,Sam Burns,57' 1",Genesis Scottish Open,2,2
99,0,62846,Colin Inglis,57' 0",PGA Championship,2,8
100,0,56630,Akshay Bhatia,56' 11",The RSM Classic,3,17
100,0,39954,Cody Gribble,56' 11",Valspar,2,17
100,0,54869,Chase Johnson,56' 11",Rocket Mortgage,3,4
100,0,51997,Andrew Novak,56' 11",Sony Open,3,8
104,0,24925,Jonathan Byrd,56' 10",Rocket Mortgage,1,12
105,0,48081,Xander Schauffele,56' 8",THE PLAYERS,4,16
105,0,51634,Sahith Theegala,56' 8",The RSM Classic,3,2
107,0,40162,Justin Lower,56' 6",WM Phoenix Open,3,1
107,0,50493,Justin Suh,56' 6",3M Open,4,4
109,0,28420,Ryan Brehm,56' 3",The RSM Classic,1,13
109,0,24024,Zach Johnson,56' 3",John Deere,2,7
109,0,33413,Ben Martin,56' 3",Mexico Open,4,5
109,0,47993,Denny McCarthy,56' 3",The RSM Classic,1,1
113,0,34466,Peter Malnati,56' 1",Rocket Mortgage,3,4
114,0,32333,Kevin Tway,56' 0",WM Phoenix Open,4,10
115,0,35449,Adam Long,55' 10",Sanderson Farms,1,7
116,0,27644,Brian Harman,55' 6",TOUR Championship,4,10
117,0,59681,Jose Cristobal Islas,55' 5",Mexico Open,1,10
117,0,30926,Chris Kirk,55' 5",Valero,3,17
119,0,29479,Scott Brown,55' 4",Barbasol,2,15
120,0,36801,Mark Hubbard,55' 3",Mexico Open,2,4
120,0,58669,Jacob Solomon,55' 3",The RSM Classic,3,2
122,0,63343,Aldrich Potgieter,55' 0",U.S. Open,3,4
123,0,58967,Trevor Werbylo,54' 10",The RSM Classic,2,11
124,0,39324,J.J. Spaun,54' 9",3M Open,2,18
125,0,20593,Greg Chalmers,54' 7",Mexico Open,2,6
126,0,27349,Alex Noren,54' 6",3M Open,2,3
126,0,60019,Jackson Suber,54' 6",Sanderson Farms,2,10
128,0,54783,Dylan Wu,54' 5",Wyndham,3,15
129,0,34610,Matthias Schwab,54' 3",Honda,2,5
130,0,45522,Christiaan Bezuidenhout,54' 1",Sanderson Farms,3,13
131,0,27936,Martin Laird,53' 11",Houston Open,2,15
132,0,34213,Grayson Murray,53' 10",3M Open,2,12
132,0,32394,Tapio Pulkkanen,53' 10",Genesis Scottish Open,4,16
134,0,32757,Patton Kizzire,53' 9",Barbasol,4,8
135,0,49771,J.T. Poston,53' 8",Wyndham,3,10
135,0,29476,Kyle Reifers,53' 8",Rocket Mortgage,3,3
137,0,49298,Kramer Hickok,53' 6",Sanderson Farms,4,6
137,0,28300,Joost Luiten,53' 6",Genesis Scottish Open,2,16
139,0,55893,Sam Stevens,53' 3",the Memorial,3,18
140,0,27064,Jhonattan Vegas,53' 2",Honda,4,15
141,0,34098,Russell Henley,52' 11",Travelers,2,14
141,0,33674,Adrian Meronk,52' 11",Honda,3,4
141,0,25818,Scott Piercy,52' 11",Sanderson Farms,4,8
144,0,22371,Aaron Baddeley,52' 10",Honda,2,11
144,0,57259,Daniel Brown,52' 10",Barbasol,3,8
146,0,51349,Nico Echavarria,52' 9",John Deere,2,7
147,0,33399,Adam Hadwin,52' 5",Farmers,1,18
148,0,29535,Brice Garnett,52' 4",RBC Canadian,3,11
148,0,39058,Lucas Herbert,52' 4",THE PLAYERS,2,18
148,0,50188,S.H. Kim,52' 4",Genesis,2,12
151,0,34374,Erik Barnes,52' 3",Farmers,4,8
151,0,24924,Bill Haas,52' 3",Mexico Open,4,5
151,0,27797,Derek Lamely,52' 3",John Deere,1,9
154,0,52955,Ludvig Åberg,52' 1",Arnold Palmer,1,14
154,0,40006,Erik van Rooyen,52' 1",WM Phoenix Open,3,10
156,0,34409,David Lingmerth,51' 10",Sony Open,2,6
156,0,23320,Ryan Palmer,51' 10",Fortinet,1,18
158,0,23481,Marcel Siem,51' 8",Genesis Scottish Open,3,2
159,0,12195,Tom Johnson,51' 7",Fortinet,4,5
160,0,54628,Lee Hodges,51' 5",Genesis Scottish Open,4,5
160,0,10381,Curtis Thompson,51' 5",The RSM Classic,3,10
162,0,52513,Carson Young,51' 4",Charles Schwab,4,4
163,0,29926,Danny Lee,51' 2",Farmers,1,12
164,0,52372,Cameron Champ,51' 0",Shriners,1,11
164,0,34563,Chesson Hadley,51' 0",John Deere,1,3
164,0,33410,Andrew Landry,51' 0",The RSM Classic,2,16
164,0,46046,Scottie Scheffler,51' 0",U.S. Open,4,13
168,0,32150,Michael Thompson,50' 11",Valspar,3,7
169,0,35506,Mackenzie Hughes,50' 9",Genesis Scottish Open,2,16
169,0,36724,Augusto Núñez,50' 9",RBC Canadian,2,13
171,0,52374,Brandon Wu,50' 7",RBC Canadian,3,11
172,0,35310,Lanto Griffin,50' 6",Mexico Open,2,6
173,0,33653,Thomas Detry,50' 5",Valero,3,9
173,0,32839,Hideki Matsuyama,50' 5",Travelers,2,7
173,0,29518,Brendan Steele,50' 5",THE CJ CUP,4,9
176,0,39546,Keith Mitchell,50' 2",U.S. Open,4,11
177,0,31323,Gary Woodland,49' 11",Houston Open,3,9
178,0,23983,Luke Donald,49' 10",Wyndham,4,17
179,0,47995,Davis Riley,49' 9",Valspar,1,7
180,0,49590,Frankie Capan III,49' 8",3M Open,2,13
181,0,47983,Chad Ramey,49' 7",AT&T Byron Nelson,2,7
182,0,45157,Cam Davis,49' 5",Sony Open,4,18
182,0,56762,Will Gordon,49' 5",RBC Canadian,4,7
182,0,01810,Phil Mickelson,49' 5",U.S. Open,1,4
185,0,32102,Rickie Fowler,49' 2",Rocket Mortgage,2,12
186,0,40058,Zac Blair,48' 10",AT&T Pebble Beach,3,14
187,0,34431,Robert Streb,48' 9",Rocket Mortgage,3,15
188,0,33974,Dean Burmester,48' 3",Sanderson Farms,1,13
188,0,32816,Satoshi Kodaira,48' 3",Mexico Open,2,6
190,0,45609,Tyler Duncan,48' 0",Honda,4,2
190,0,31646,Emiliano Grillo,48' 0",U.S. Open,1,4
192,0,48867,Matti Schmid,47' 11",RBC Canadian,2,11
193,0,28259,Sangmoon Bae,47' 9",RBC Canadian,2,4
193,0,23541,Ben Crane,47' 9",The RSM Classic,3,17
193,0,34363,Tyrrell Hatton,47' 9",RBC Heritage,2,18
196,0,58696,Peter Kuest,47' 8",The RSM Classic,4,5
196,0,51070,Vincent Norrman,47' 8",Valero,2,14
196,0,49022,Yoseop Seo,47' 8",THE CJ CUP,3,11
196,0,31560,Brian Stuard,47' 8",Mexico Open,2,8
200,0,33408,Tyson Alexander,47' 7",Fortinet Championship,2,7
200,0,31557,Jim Herman,47' 7",Travelers,1,8
200,0,58168,Davis Thompson,47' 7",The American Express,4,6
203,0,35461,Beau Hossler,47' 5",FedEx St. Jude,3,17
203,0,28775,Nate Lashley,47' 5",John Deere,4,11
205,0,39335,Kevin Roy,47' 4",Shriners Children's Open,1,13
206,0,40250,Taylor Pendrith,47' 2",The American Express,3,15
207,0,52453,Nicolai Hojgaard,46' 11",Genesis Scottish Open,2,14
208,0,36689,Brooks Koepka,46' 10",PGA Championship,3,17
209,0,47499,Alex Gaugert,46' 9",3M Open,2,18
210,0,32366,Kevin Chappell,46' 8",Mexico Open,2,6
210,0,51894,Vince Whaley,46' 8",John Deere,2,3
212,0,27554,Scott Harrington,46' 7",Shriners Children's Open,1,16
212,0,55623,Kaito Onishi,46' 7",3M Open,2,18
214,0,36799,Stephan Jaeger,46' 6",3M Open,3,2
215,0,30110,Kyle Stanley,46' 5",Honda,4,18
216,0,23621,Rory Sabbatini,46' 4",Sony Open,1,11
216,0,29485,Brett Stegmaier,46' 4",Travelers,2,15
218,0,47987,Cole Hammer,46' 2",Farmers,1,10
218,0,48117,Kurt Kitayama,46' 2",Arnold Palmer,4,7
218,0,35891,Cameron Smith,46' 2",PGA Championship,1,12
221,0,29289,S.Y. Noh,45' 10",The RSM Classic,3,4
222,0,31569,Jason Scrivener,45' 7",Barbasol,1,11
223,0,35879,Kelly Kraft,45' 6",Honda,3,16
224,0,27649,Brandt Snedeker,45' 5",3M Open,4,7
224,0,47128,Richy Werenski,45' 5",Barbasol,1,2
226,0,47393,Jeffrey Kang,45' 4",AT&T Byron Nelson,1,17
227,0,34371,Adrien Saddier,45' 3",Barbasol,3,4
228,0,51766,Wyndham Clark,44' 10",U.S. Open,2,16
229,0,33122,Russell Knox,44' 9",Travelers,1,17
230,0,48084,Wesley Bryan,44' 8",RBC Heritage,1,18
230,0,29670,Pablo Larrazabal,44' 8",PGA Championship,1,17
230,0,47806,Raul Pereda,44' 8",Mexico Open,1,8
230,0,27556,Ted Potter Jr.,44' 8",Sanderson Farms,1,16
234,0,48699,Callum Tarren,44' 7",THE PLAYERS,1,17
235,0,34256,Andrew Putnam,44' 4",FedEx St. Jude,1,4
236,0,48632,Yuto Katsuragawa,44' 2",John Deere,4,9
237,0,27141,J.B. Holmes,44' 1",Fortinet,2,2
238,0,54468,Joshua Lee,44' 0",Barbasol,2,18
239,0,46414,Aaron Rai,43' 11",Honda,2,17
240,0,36871,Matt NeSmith,43' 10",Shriners Children's Open,1,12
241,0,32662,Michael Gligic,43' 9",AT&T Byron Nelson,2,9
242,0,39997,Corey Conners,43' 8",Travelers,3,13
242,0,46442,Maverick McNealy,43' 8",Shriners,1,12
244,0,33605,Gunn Charoenkul,43' 6",U.S. Open,1,2
244,0,46970,Jon Rahm,43' 6",WM Phoenix Open,2,7
244,0,47888,Taiga Semikawa,43' 6",Sony Open,2,13
247,0,47079,Harrison Endycott,43' 5",Wyndham,2,1
248,0,63011,Quinn Riley,43' 4",Shriners,2,16
249,0,24358,Robert Garrigus,43' 3",Farmers,2,1
250,0,28089,Jason Day,43' 1",The American Express,4,6
250,0,37455,Si Woo Kim,43' 1",WM Phoenix Open,1,16
252,0,51151,Todd Clements,43' 0",Barbasol,1,10
252,0,63371,Chanmin Jung,43' 0",THE CJ CUP,3,14
254,0,51865,J.J. Grey,42' 9",U.S. Open,1,8
255,0,32139,Danny Willett,42' 8",Fortinet Championship,4,1
256,0,52462,Chase Hanna,42' 7",Genesis Scottish Open,1,1
256,0,29908,C.T. Pan,42' 7",AT&T Byron Nelson,4,7
258,0,60531,Derek Hitchner,42' 6",3M Open,1,17
259,0,28679,Fabián Gómez,42' 5",Mexico Open,1,8
260,0,24449,Parker McLachlin,42' 4",Sony Open,1,14
261,0,29420,Billy Horschel,42' 2",WM Phoenix Open,2,12
262,0,19846,Brian Gay,41' 11",RBC Heritage,2,6
263,0,59018,Ryan Gerard,41' 9",Wyndham,2,11
263,0,60065,Ryan Hall,41' 9",RBC Canadian,2,5
265,0,33293,Thomas Pieters,41' 8",PGA Championship,2,3
266,0,24846,Ricky Barnes,41' 7",WM Phoenix Open,2,14
267,0,54604,Joey Lane,41' 6",Wyndham,1,7
268,0,52096,Adri Arnaus,41' 4",Genesis Scottish Open,2,2
269,0,33448,Justin Thomas,41' 1",Farmers,4,2
269,0,50992,Brett White,41' 1",Sanderson Farms,4,7
271,0,48001,Zach Bauchou,40' 8",Mexico Open,1,5
271,0,59871,Greg Koch,40' 8",Arnold Palmer,2,2
271,0,57366,Cameron Young,40' 8",BMW Championship,3,9
274,0,26757,Greg Sonnier,40' 6",Sanderson Farms,1,1
275,0,46837,Yuxin Lin,40' 3",Shriners Children's Open,1,1
276,0,39327,Ben Silverman,40' 1",RBC Canadian,1,3
276,0,57364,Michael Thorbjornsen,40' 1",RBC Canadian,2,3
278,0,65252,Kyle Martin,40' 0",Rocket Mortgage,2,2
278,0,47679,Victor Perez,40' 0",Valspar,1,2
280,0,25686,Jason Dufner,39' 10",3M Open,1,2
280,0,64431,David Nyfjall,39' 10",U.S. Open,1,7
282,0,39251,Ryan Ruffels,39' 9",Shriners,2,10
283,0,45526,Abraham Ancer,39' 7",PGA Championship,1,12
283,0,49453,Trevor Cone,39' 7",Fortinet,1,9
283,0,40098,Matt Fitzpatrick,39' 7",Sentry,4,3
286,0,21407,Arjun Atwal,39' 6",Honda,2,16
287,0,27408,Martin Kaymer,39' 5",U.S. Open,2,18
287,0,24140,Sean O'Hair,39' 5",The RSM Classic,1,1
287,0,25632,Jimmy Walker,39' 5",Sanderson Farms,1,2
290,0,65256,David Ford,39' 3",The RSM Classic,2,6
291,0,37273,Derek Ernst,39' 2",John Deere,1,18
291,0,39975,Michael Kim,39' 2",Honda,2,2
293,0,12716,Charley Hoffman,39' 1",WM Phoenix Open,1,9
294,0,30925,Dustin Johnson,39' 0",PGA Championship,1,12
