RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,01329,Brad Faxon,.28,1,360
2,0,02099,Scott Simpson,.93,3,324
3,0,01837,Gil Morgan,1.11,4,360
3,0,01864,Larry Nelson,1.11,2,180
5,0,02322,Richard Zokol,1.19,3,252
6,0,01553,John Huston,1.28,6,468
7,0,01096,Phil Blackmar,1.31,4,306
8,0,01475,Donnie Hammond,1.32,5,378
9,0,02067,Ted Schulz,1.39,5,360
9,0,02159,Curtis Strange,1.39,4,288
11,0,01024,Billy Andrade,1.46,5,342
12,0,01235,Ben Crenshaw,1.48,4,270
12,0,01723,Andrew Magee,1.48,4,270
12,0,06589,Jeff Woodland,1.48,4,270
15,0,01197,Bobby Clampett,1.52,3,198
15,0,02007,Larry Rinker,1.52,3,198
17,0,01435,Wayne Grady,1.59,2,126
18,0,05319,Gene Jones,1.67,3,180
19,0,02256,Tom Watson,1.71,4,234
20,0,01006,John Adams,1.75,6,342
21,0,06086,Russell Beiersdorf,1.85,7,378
21,0,01559,Hale Irwin,1.85,5,270
21,0,01938,David Peoples,1.85,5,270
21,0,01975,Tom Purtzer,1.85,3,162
25,0,01093,Ronnie Black,1.96,6,306
25,0,01116,Michael Bradley,1.96,6,306
25,0,06617,Brian Henninger,1.96,6,306
28,0,01633,Tom Kite,1.98,5,252
29,0,01549,Mike Hulbert,2.02,8,396
29,0,01659,Massy Kuramoto,2.02,4,198
31,0,01219,John Cook,2.05,7,342
32,0,08045,Perry Moss,2.08,6,288
33,0,01203,Russ Cochran,2.12,8,378
34,0,01876,Greg Norman,2.14,5,234
35,0,01353,Bruce Fleisher,2.16,7,324
35,0,01569,Peter Jacobsen,2.16,7,324
35,0,01619,Skip Kendall,2.16,7,324
35,0,01783,Mark McCumber,2.16,7,324
39,0,01129,Bill Britton,2.22,6,270
39,0,01444,Ken Green,2.22,4,180
39,0,01677,Tom Lehman,2.22,8,360
42,0,01928,Corey Pavin,2.27,9,396
42,0,02146,Payne Stewart,2.27,9,396
44,0,01307,Joel Edwards,2.29,7,306
44,0,01823,Larry Mize,2.29,7,306
44,0,02321,Fuzzy Zoeller,2.29,7,306
47,0,06124,Patrick Burke,2.31,5,216
48,0,06691,Greg Cesario,2.38,3,126
48,0,06247,David Delong,2.38,3,126
48,0,08553,Lee Porter,2.38,3,126
51,0,01706,Davis Love III,2.42,10,414
52,0,01443,Hubert Green,2.47,4,162
52,0,01926,Steve Pate,2.47,8,324
54,0,06643,Paul Goydos,2.50,9,360
55,0,01707,Steve Lowery,2.55,11,432
56,0,01374,Robin Freeman,2.59,7,270
56,0,06566,Jaime Gomez,2.59,7,270
56,0,02131,Mike Springer,2.59,7,270
59,0,01042,Paul Azinger,2.61,8,306
59,0,01968,Nick Price,2.61,8,306
61,0,01971,Dillard Pruitt,2.63,9,342
61,0,02185,Lance Ten Broeck,2.63,9,342
63,0,02279,Mark Wiebe,2.65,10,378
64,0,06034,Marco Dawson,2.66,11,414
65,0,01049,Ian Baker-Finch,2.78,6,216
65,0,01313,Steve Elkington,2.78,11,396
65,0,01320,Bob Estes,2.78,11,396
65,0,01361,Dan Forsman,2.78,10,360
65,0,06575,Dudley Hart,2.78,9,324
65,0,10207,Jimmy Johnston,2.78,4,144
65,0,06090,Jim McGovern,2.78,14,504
65,0,02241,Bobby Wadkins,2.78,5,180
73,0,01381,Fred Funk,2.89,13,450
74,0,01701,Bob Lohr,2.94,9,306
74,0,01946,Peter Persons,2.94,9,306
74,0,02246,Duffy Waldorf,2.94,9,306
77,0,01533,P.H. Horgan III,2.96,8,270
77,0,02217,Dennis Trixler,2.96,8,270
79,0,02242,Lanny Wadkins,2.99,7,234
80,0,01068,Andy Bean,3.03,6,198
80,0,01248,Rick Dalpos,3.03,6,198
80,0,01648,Billy Kratzert,3.03,6,198
80,0,01736,Roger Maltbie,3.03,6,198
84,0,01408,Kelly Gibson,3.06,11,360
84,0,02010,Loren Roberts,3.06,11,360
86,0,01527,Scott Hoch,3.09,10,324
86,0,01849,Bill Murchison,3.09,5,162
88,0,01218,Jeff Cook,3.13,9,288
88,0,02133,Craig Stadler,3.13,9,288
90,0,01495,Morris Hatalsky,3.17,8,252
91,0,01385,Jim Gallagher Jr.,3.22,11,342
91,0,01945,Kenny Perry,3.22,11,342
91,0,02135,Mike Standly,3.22,11,342
94,0,01890,Brett Ogle,3.24,7,216
95,0,01201,Lennie Clements,3.27,10,306
95,0,01226,Fred Couples,3.27,10,306
97,0,01249,John Daly,3.33,9,270
97,0,01378,David Frost,3.33,9,270
97,0,01846,Jodie Mudd,3.33,6,180
97,0,01920,Craig Parry,3.33,9,270
97,0,02214,Kirk Triplett,3.33,12,360
97,0,02255,Denis Watson,3.33,6,180
