RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,01928,Corey Pavin,13.64,21,154,+0.24
2,0,19972,José Coceres,7.95,7,88,+0.29
3,0,22621,Ben Curtis,6.62,9,136,+0.44
4,0,06643,Paul Goydos,5.66,6,106,+0.17
5,0,20127,Chris Riley,5.45,6,110,+1.17
6,0,25190,Jeff Quinney,5.38,10,186,+0.50
7,0,23621,Rory Sabbatini,5.22,7,134,+0.29
8,0,24290,D.J. Brigman,5.08,6,118,+0.33
9,0,02214,Kirk Triplett,4.67,7,150,+0.14
10,0,07363,Craig Bowden,4.61,7,152,+0.29
11,0,22348,Nick O'Hern,4.46,5,112,+0.20
12,0,07223,Brian Bateman,4.26,4,94,+0.50
13,0,20623,Gavin Coles,4.22,7,166,+0.14
14,0,12195,Tom Johnson,4.17,6,144,+0.33
15,0,06004,Stephen Ames,3.97,5,126,+0.40
16,0,23613,Rich Barcelo,3.85,6,156,+0.17
16,0,12510,Chad Campbell,3.85,6,156,+0.33
18,0,23718,Nathan Green,3.76,7,186,+0.14
19,0,20382,Stephen Leaney,3.75,6,160,-0.17
20,0,23135,Tim Clark,3.70,4,108,-0.25
21,0,27060,John Mallinger,3.65,7,192,E
22,0,12714,Chris Tidland,3.64,4,110,+1.00
23,0,19846,Brian Gay,3.40,7,206,+0.14
24,0,20098,Stuart Appleby,3.39,4,118,+0.25
25,0,22212,Craig Lile,3.33,5,150,+0.40
26,0,01157,Tom Byrum,3.26,3,92,E
27,0,02206,David Toms,3.17,4,126,E
28,0,01313,Steve Elkington,3.16,5,158,+0.80
28,0,20433,Mark Hensby,3.16,5,158,+0.80
28,0,23108,Matt Kuchar,3.16,5,158,+0.20
28,0,02223,Bob Tway,3.16,6,190,+0.17
32,0,21753,Brian Davis,3.09,6,194,-0.33
32,0,21878,Mark Wilson,3.09,5,162,+0.40
34,0,24457,Jaco Van Zyl,3.06,3,98,+0.33
35,0,01388,Robert Gamez,2.98,5,168,+0.40
36,0,19803,Ryan Armour,2.91,6,206,+0.33
37,0,23983,Luke Donald,2.83,3,106,E
37,0,01381,Fred Funk,2.83,3,106,+0.67
39,0,24357,K.J. Choi,2.82,4,142,+1.00
40,0,10860,Justin Leonard,2.81,5,178,E
41,0,22378,Trevor Immelman,2.78,3,108,E
42,0,23933,Michael Boyd,2.63,3,114,+0.67
42,0,26951,Johnson Wagner,2.63,5,190,+0.40
