RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,23322,Brett Wetterich,437,Mercedes-Benz,1,12,656
3,0,27141,J.B. Holmes,429,Mercedes-Benz,1,12,656
4,0,11123,Chris Couch,428,Mercedes-Benz,2,12,656
5,0,26360,Bubba Dickerson,422,Reno-Tahoe Open,2,8,660
6,0,29718,Anthony Kim,420,Reno-Tahoe Open,3,8,660
7,0,20645,John Senden,416,WGC-Bridgestone,4,16,036
8,0,24502,Adam Scott,413,Mercedes-Benz,1,12,656
9,0,06522,Ernie Els,410,WGC-Bridgestone,4,8,036
10,0,25345,Carl Pettersson,409,Mercedes-Benz,1,12,656
11,0,06567,Vijay Singh,408,Mercedes-Benz,1,12,656
12,0,23048,Eric Axley,407,Mercedes-Benz,1,12,656
12,0,22046,Geoff Ogilvy,407,Mercedes-Benz,1,12,656
14,0,21209,Sergio Garcia,406,WGC-Bridgestone,4,8,036
15,0,22913,John Rollins,404,Mercedes-Benz,3,12,656
16,0,10117,Bob Heintz,403,Bob Hope Chrysl,5,9,723
18,0,12782,Tim Herron,402,Mercedes-Benz,1,12,656
18,0,28158,Steve Marino,402,Reno-Tahoe Open,3,8,660
18,0,25804,Bubba Watson,402,Frys.com Open,3,4,538
22,0,25273,Andrew Buckle,401,Bob Hope Chrysl,5,7,723
22,0,24358,Robert Garrigus,401,Frys.com Open,3,4,538
22,0,21961,Charles Howell III,401,Nissan Open,3,3,500
22,0,27120,Troy Matteson,401,Mercedes-Benz,1,12,656
22,0,21959,Ted Purdy,401,Bob Hope Chrysl,5,9,723
32,0,24357,K.J. Choi,397,Mercedes-Benz,1,12,656
32,0,24912,Will MacKenzie,397,Mercedes-Benz,1,12,656
36,0,23613,Rich Barcelo,396,Bob Hope Chrysl,5,18,723
36,0,01249,John Daly,396,Sony Open,1,16,006
39,0,24140,Sean O'Hair,395,U.S. Open Champ,2,1,608
42,0,20104,Ken Duke,394,Frys.com Open,3,4,538
42,0,12716,Charley Hoffman,394,Bob Hope Chrysl,5,7,723
42,0,01707,Steve Lowery,394,Reno-Tahoe Open,2,8,660
45,0,20832,Raphael Jacquelin,393,WGC-Bridgestone,2,8,036
45,0,20691,Greg Owen,393,Frys.com Open,3,4,538
45,0,27963,Chris Stroud,393,Frys.com Open,4,4,538
50,0,29476,Kyle Reifers,392,Turning Stone,3,2,730
50,0,27095,Nick Watney,392,Bob Hope Chrysl,5,7,723
50,0,12602,Dean Wilson,392,FBR Open,2,15,510
58,0,20098,Stuart Appleby,391,Mercedes-Benz,1,12,656
58,0,22371,Aaron Baddeley,391,Mercedes-Benz,1,12,656
58,0,20157,Retief Goosen,391,WGC-Bridgestone,1,16,036
58,0,01706,Davis Love III,391,Mercedes-Benz,4,12,656
