RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,25804,Bubba Watson,72.30,107,148,-0.33
2,0,01249,John Daly,67.92,72,106,-0.04
3,0,24358,Robert Garrigus,67.89,129,190,-0.31
4,0,27141,J.B. Holmes,65.94,91,138,-0.19
5,0,21805,Harrison Frazar,59.15,97,164,-0.20
6,0,22892,Jason Gore,57.56,99,172,-0.15
7,0,24980,Scott Gutschewski,57.14,72,126,-0.28
8,0,23497,Tag Ridings,56.00,56,100,-0.18
9,0,08793,Tiger Woods,55.68,49,88,-0.41
10,0,23322,Brett Wetterich,55.33,83,150,-0.25
11,0,27702,Matt Hendrix,54.92,67,122,-0.10
12,0,27095,Nick Watney,54.43,86,158,-0.27
13,0,24924,Bill Haas,53.93,96,178,-0.19
14,0,29718,Anthony Kim,53.53,91,170,-0.22
15,0,23349,Charles Warren,53.47,108,202,-0.26
16,0,20378,Mathias Grönberg,52.11,99,190,-0.25
17,0,24502,Adam Scott,51.85,56,108,-0.30
18,0,11123,Chris Couch,51.32,78,152,-0.21
19,0,21633,Steve Allan,50.00,59,118,-0.36
19,0,20574,Mathew Goggin,50.00,93,186,-0.20
21,0,21961,Charles Howell III,49.31,71,144,-0.35
22,0,12716,Charley Hoffman,48.35,88,182,-0.24
23,0,28475,Jeff Overton,48.28,56,116,-0.34
24,0,26360,Bubba Dickerson,46.81,44,94,-0.14
25,0,24361,Pat Perez,46.43,65,140,-0.22
26,0,10885,Robert Allenby,45.68,74,162,-0.22
27,0,24140,Sean O'Hair,45.45,80,176,-0.48
28,0,27120,Troy Matteson,45.06,73,162,-0.26
29,0,24781,Hunter Mahan,44.94,71,158,-0.44
30,0,21528,Henrik Stenson,44.44,32,72,-0.03
31,0,24490,George McNeill,44.25,77,174,-0.25
32,0,01945,Kenny Perry,43.67,69,158,-0.25
33,0,27770,Camilo Villegas,43.06,62,144,-0.16
34,0,06567,Vijay Singh,42.44,73,172,-0.23
35,0,21660,Jason Schultz,42.37,50,118,-0.28
36,0,29476,Kyle Reifers,42.03,58,138,-0.28
37,0,20850,Daniel Chopra,41.83,87,208,-0.26
38,0,08375,Paul Stankowski,41.67,40,96,-0.25
39,0,25900,Lucas Glover,41.57,69,166,-0.23
39,0,23320,Ryan Palmer,41.57,74,178,-0.28
41,0,01810,Phil Mickelson,41.53,49,118,-0.27
42,0,28158,Steve Marino,41.50,83,200,-0.29
43,0,25273,Andrew Buckle,41.10,60,146,-0.20
44,0,27933,John Merrick,40.91,72,176,-0.24
45,0,23353,J.J. Henry,40.85,58,142,-0.43
46,0,20691,Greg Owen,40.51,64,158,-0.23
47,0,19824,Craig Barlow,40.38,42,104,-0.26
48,0,28486,Michael Putnam,40.12,69,172,-0.30
49,0,20157,Retief Goosen,39.71,27,68,-0.19
50,0,23788,D.J. Trahan,39.69,77,194,-0.22
51,0,21209,Sergio Garcia,39.29,44,112,-0.27
52,0,12714,Chris Tidland,39.09,43,110,-0.23
53,0,23638,Brendon de Jonge,38.89,56,144,-0.27
54,0,26289,Boo Weekley,38.24,65,170,-0.09
55,0,01706,Davis Love III,38.18,42,110,-0.02
56,0,08123,Jeff Brehaut,37.74,40,106,-0.18
57,0,20229,Stewart Cink,37.16,55,148,-0.11
58,0,26881,Jarrod Lyle,36.99,54,146,-0.28
59,0,22371,Aaron Baddeley,36.76,50,136,-0.26
59,0,23623,Bo Van Pelt,36.76,75,204,-0.32
61,0,20766,Padraig Harrington,36.46,35,96,-0.34
62,0,27963,Chris Stroud,36.29,45,124,-0.16
63,0,07223,Brian Bateman,36.17,34,94,-0.35
64,0,08537,J.P. Hayes,35.96,64,178,-0.19
65,0,12652,Cameron Beckman,35.87,66,184,-0.27
66,0,22046,Geoff Ogilvy,35.16,45,128,-0.07
67,0,06595,Kevin Sutherland,35.06,54,154,-0.31
68,0,06197,Michael Allen,35.00,49,140,-0.35
68,0,10425,Jay Williamson,35.00,35,100,-0.23
70,0,07749,Brett Quigley,34.85,46,132,-0.33
71,0,21959,Ted Purdy,34.38,66,192,-0.26
72,0,10423,Mike Weir,34.33,46,134,-0.28
73,0,23800,Bryce Molder,34.26,37,108,-0.16
74,0,20634,Peter Lonard,34.16,55,161,-0.18
