RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,01249,John Daly,66.09,1943585,294090
2,0,24358,Robert Garrigus,66.00,2554070,386982
3,0,30925,Dustin Johnson,65.48,2654232,405361
4,0,27141,J.B. Holmes,65.38,3661965,560104
5,0,25804,Bubba Watson,64.97,2776079,427295
6,0,27436,Graham DeLaet,64.81,3104473,478993
7,0,23322,Brett Wetterich,64.66,2172133,335907
8,0,20848,Ángel Cabrera,64.57,2122241,328679
9,0,23349,Charles Warren,64.26,2246134,349517
10,0,23788,D.J. Trahan,64.09,3351216,522889
11,0,28500,Martin Flores,64.07,2607503,406982
12,0,01810,Phil Mickelson,63.97,2354303,368026
13,0,27120,Troy Matteson,63.94,3182485,497711
14,0,30946,Alex Prugh,63.88,3233791,506239
15,0,12716,Charley Hoffman,63.77,3125888,490173
16,0,25818,Scott Piercy,63.71,3278711,514622
17,0,28237,Rory McIlroy,63.70,1642586,257855
18,0,27936,Martin Laird,63.67,3212316,504521
19,0,22371,Aaron Baddeley,63.62,3540040,556422
20,0,28475,Jeff Overton,63.60,2871876,451539
21,0,33419,Cameron Tringale,63.50,1814362,285742
22,0,27095,Nick Watney,63.41,2812052,443500
23,0,26851,Marc Leishman,63.39,2896877,457025
24,0,20850,Daniel Chopra,63.34,2678071,422798
25,0,22913,John Rollins,63.33,3030323,478471
26,0,26289,Boo Weekley,63.20,2955426,467633
27,0,26881,Jarrod Lyle,63.19,1837516,290798
28,0,28089,Jason Day,63.18,2858078,452342
29,0,23320,Ryan Palmer,63.16,2862917,453310
30,0,06567,Vijay Singh,63.15,2288429,362394
31,0,20378,Mathias Grönberg,63.13,1996128,316206
32,0,27302,Garth Mulroy,63.12,1687940,267422
33,0,23623,Bo Van Pelt,63.06,3487270,552967
34,0,01706,Davis Love III,63.05,2640661,418807
35,0,25562,Andres Romero,63.01,2901434,460441
36,0,23409,James Driscoll,63.00,2944405,467334
37,0,22056,Cameron Percy,62.90,2358582,374952
38,0,27330,Josh Teater,62.87,3675927,584711
39,0,01945,Kenny Perry,62.79,2241428,356973
40,0,28307,Matt Every,62.77,2023198,322299
40,0,21961,Charles Howell III,62.77,3576668,569768
42,0,20229,Stewart Cink,62.76,2604797,415041
42,0,11123,Chris Couch,62.76,2351515,374698
42,0,27797,Derek Lamely,62.76,2541305,404894
45,0,20070,Matt Bettencourt,62.72,2785312,444118
46,0,25900,Lucas Glover,62.65,2362954,377168
47,0,25364,Paul Casey,62.64,1762295,281320
48,0,26392,Chris Wilson,62.61,2063880,329657
49,0,23621,Rory Sabbatini,62.58,2686952,429354
50,0,20157,Retief Goosen,62.54,2110397,337458
51,0,32102,Rickie Fowler,62.53,3304769,528499
52,0,24781,Hunter Mahan,62.51,2678665,428519
53,0,12782,Tim Herron,62.50,2733119,437294
54,0,24912,Will MacKenzie,62.48,2688585,430318
55,0,24140,Sean O'Hair,62.47,2601309,416408
56,0,20686,Jeev Milkha Singh,62.41,2042192,327233
57,0,26695,Michael Letzig,62.40,3150154,504802
58,0,24925,Jonathan Byrd,62.39,3245562,520170
58,0,26679,Kevin Stadler,62.39,2857033,457914
60,0,27214,Kevin Streelman,62.37,3173957,508855
61,0,29910,Blake Adams,62.35,2944230,472200
61,0,21959,Ted Purdy,62.35,2962712,475205
