RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,24358,Robert Garrigus,52.75,450,853,-0.118
2,0,01249,John Daly,52.38,341,651,-0.085
3,0,30925,Dustin Johnson,50.79,449,884,-0.176
4,0,27141,J.B. Holmes,50.57,621,1228,-0.196
5,0,25804,Bubba Watson,50.43,470,932,-0.206
6,0,20848,Ángel Cabrera,45.13,324,718,-0.173
7,0,01810,Phil Mickelson,44.36,354,798,-0.158
8,0,27436,Graham DeLaet,42.36,449,1060,-0.169
9,0,23322,Brett Wetterich,41.89,310,740,-0.187
10,0,28237,Rory McIlroy,40.36,226,560,-0.075
11,0,23349,Charles Warren,40.10,308,768,-0.143
12,0,12716,Charley Hoffman,39.33,422,1073,-0.185
13,0,28500,Martin Flores,39.24,350,892,-0.077
14,0,23788,D.J. Trahan,38.48,441,1146,-0.195
15,0,27936,Martin Laird,38.01,420,1105,-0.126
16,0,28089,Jason Day,37.78,374,990,-0.166
16,0,27095,Nick Watney,37.78,365,966,-0.214
18,0,28475,Jeff Overton,37.34,370,991,-0.178
19,0,22371,Aaron Baddeley,36.82,451,1225,-0.166
20,0,27120,Troy Matteson,36.20,396,1094,-0.083
21,0,30946,Alex Prugh,35.28,393,1114,-0.130
22,0,25818,Scott Piercy,34.57,391,1131,-0.217
23,0,27302,Garth Mulroy,33.85,198,585,-0.232
24,0,20850,Daniel Chopra,33.58,312,929,-0.163
25,0,23320,Ryan Palmer,33.50,331,988,-0.157
26,0,25562,Andres Romero,33.33,335,1005,-0.188
27,0,01706,Davis Love III,33.01,305,924,-0.161
28,0,26851,Marc Leishman,31.25,315,1008,-0.184
29,0,22913,John Rollins,31.21,328,1051,-0.128
30,0,27797,Derek Lamely,31.12,277,890,-0.116
31,0,27330,Josh Teater,30.86,395,1280,-0.165
32,0,25364,Paul Casey,30.58,189,618,-0.212
33,0,25900,Lucas Glover,30.39,251,826,-0.147
34,0,26881,Jarrod Lyle,30.37,195,642,-0.169
35,0,06567,Vijay Singh,30.08,240,798,-0.196
36,0,33419,Cameron Tringale,29.94,188,628,-0.165
