RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOURN/COURSE,ROUND
1,0,01810,Phil Mickelson,60,Desert Classic/,1
1,0,27649,Brandt Snedeker,60,RBC Canadian/Ha,2
3,0,24846,Ricky Barnes,61,Safeway Open/Si,2
3,0,25900,Lucas Glover,61,Shriners/TPC Su,3
3,0,34098,Russell Henley,61,John Deere/TPC,4
3,0,27974,Sung Kang,61,Byron Nelson/Tr,2
3,0,35879,Kelly Kraft,61,Barbasol/Keene,3
3,0,28237,Rory McIlroy,61,RBC Canadian/Ha,4
3,0,36699,Patrick Rodgers,61,The RSM Classic,3
3,0,39327,Ben Silverman,61,RBC Canadian/Ha,2
3,0,40115,Adam Svensson,61,Wyndham/Sedgefi,2
3,0,33448,Justin Thomas,61,BMW Champ/Medin,3
3,0,31323,Gary Woodland,61,CIMB Classic/TP,2
14,0,33948,Byeong Hun An,62,Wyndham/Sedgefi,1
14,0,52372,Cameron Champ,62,Mayakoba/El Cam,2
14,0,20229,Stewart Cink,62,Sony Open/Waial,2
14,0,47959,Bryson DeChambeau,62,3M Open/TPC Twi,2
14,0,35376,Roberto Díaz,62,John Deere/TPC,1
14,0,31557,Jim Herman,62,Barbasol/Keene,3
14,0,39971,Sungjae Im,62,Wyndham/Sedgefi,1
14,0,26851,Marc Leishman,62,CIMB Classic/TP,2
14,0,37278,Nicholas Lindheim,62,Byron Nelson/Tr,3
14,0,32640,Troy Merritt,62,NORTHERN TRUST/,1
14,0,25396,Kevin Na,62,Charles Schwab/,2
14,0,33667,Carlos Ortiz,62,Desert Classic/,2
14,0,23320,Ryan Palmer,62,THE CJ CUP/Nine,4
14,0,25818,Scott Piercy,62,3M Open/TPC Twi,1
14,0,49771,J.T. Poston,62,Wyndham/Sedgefi,4
14,0,34256,Andrew Putnam,62,Sony Open/Waial,1
14,0,46970,Jon Rahm,62,WGC-FedEx/TPC S,1
14,0,37275,Sam Ryder,62,Shriners/TPC Su,4
14,0,48081,Xander Schauffele,62,Sentry/Plantati,4
14,0,27064,Jhonattan Vegas,62,John Deere/TPC,2
14,0,56278,Matthew Wolff,62,3M Open/TPC Twi,3
35,0,45526,Abraham Ancer,63,Travelers/TPC R,4
35,0,27895,Jonas Blixt,63,Mayakoba/El Cam,2
35,0,33141,Keegan Bradley,63,RBC Canadian/Ha,1
35,0,29479,Scott Brown,63,RBC Canadian/Ha,2
35,0,29268,Bronson Burgoon,63,CIMB Classic/TP,1
35,0,35450,Patrick Cantlay,63,Shriners/TPC Su,3
35,0,46435,Austin Cook,63,Barbasol/Keene,3
35,0,28089,Jason Day,63,Travelers/TPC R,2
35,0,25686,Jason Dufner,63,Wells Fargo/Qua,2
35,0,45609,Tyler Duncan,63,John Deere/TPC,4
35,0,32102,Rickie Fowler,63,Shriners/TPC Su,4
35,0,19846,Brian Gay,63,Mayakoba/El Cam,2
35,0,52375,Doug Ghim,63,Farmers/Torrey,1
