RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,29221,Webb Simpson,1.691,1121,663,36.31
2,0,34360,Patrick Reed,1.700,1479,870,35.37
3,0,34363,Tyrrell Hatton,1.704,893,524,34.42
3,1,30925,Dustin Johnson,1.704,1041,611,35.20
5,0,40009,Dominic Bozzelli,1.708,697,408,36.61
5,0,24138,Ian Poulter,1.708,924,541,33.40
7,0,49771,J.T. Poston,1.711,1555,909,32.64
8,3,27644,Brian Harman,1.717,1583,922,32.75
8,2,46970,Jon Rahm,1.717,1260,734,33.38
10,2,47993,Denny McCarthy,1.719,1607,935,34.19
11,2,23325,Vaughn Taylor,1.720,1204,700,32.33
12,2,19846,Brian Gay,1.722,1266,735,32.38
12,9,33448,Justin Thomas,1.722,1424,827,35.64
14,1,35450,Patrick Cantlay,1.723,975,566,33.45
15,2,34046,Jordan Spieth,1.724,1200,696,33.72
16,-7,47959,Bryson DeChambeau,1.726,1319,764,35.52
16,3,12716,Charley Hoffman,1.726,1253,726,33.79
16,-1,46717,Viktor Hovland,1.726,1574,912,32.60
19,2,29268,Bronson Burgoon,1.727,1102,638,33.49
19,2,34466,Peter Malnati,1.727,1109,642,32.24
21,-4,40026,Daniel Berger,1.728,1332,771,35.24
22,4,47128,Richy Werenski,1.729,1162,672,31.49
23,1,29725,Tony Finau,1.730,1543,892,33.26
24,0,25396,Kevin Na,1.733,1400,808,32.59
24,3,28252,Seamus Power,1.733,693,400,34.34
26,2,40098,Matt Fitzpatrick,1.734,1113,642,30.63
26,2,36801,Mark Hubbard,1.734,1789,1032,31.68
26,2,39971,Sungjae Im,1.734,1968,1135,33.27
26,2,23108,Matt Kuchar,1.734,1136,655,31.65
30,13,35506,Mackenzie Hughes,1.735,1386,799,30.87
30,2,32757,Patton Kizzire,1.735,1114,642,32.55
32,1,46442,Maverick McNealy,1.736,1564,901,33.11
32,1,22405,Justin Rose,1.736,750,432,34.88
32,16,35891,Cameron Smith,1.736,1281,738,33.29
32,1,30927,Brendon Todd,1.736,1760,1014,31.59
36,16,48081,Xander Schauffele,1.737,1551,893,33.30
36,0,46046,Scottie Scheffler,1.737,1770,1019,34.28
38,-2,22371,Aaron Baddeley,1.738,954,549,32.97
38,-2,32102,Rickie Fowler,1.738,916,527,33.33
38,3,29420,Billy Horschel,1.738,1635,941,31.81
38,-2,28237,Rory McIlroy,1.738,1272,732,34.47
38,-2,27963,Chris Stroud,1.738,930,535,31.96
43,-2,51766,Wyndham Clark,1.739,1195,687,33.72
44,-1,27349,Alex Noren,1.740,1136,653,31.69
44,-1,24502,Adam Scott,1.740,811,466,31.18
46,1,34563,Chesson Hadley,1.741,1276,733,33.52
47,1,26596,Ryan Moore,1.742,946,543,30.44
47,11,23320,Ryan Palmer,1.742,1406,807,32.71
47,1,31560,Brian Stuard,1.742,1653,949,29.99
50,-7,45526,Abraham Ancer,1.743,1555,892,31.35
50,3,29478,Kevin Kisner,1.743,1497,859,31.27
50,1,30692,Scott Stallings,1.743,1464,840,31.14
53,0,46402,Talor Gooch,1.745,1748,1002,31.07
54,1,28089,Jason Day,1.746,1079,618,31.28
55,1,34076,Joel Dahmen,1.747,1586,908,30.91
55,1,36699,Patrick Rodgers,1.747,1916,1097,30.99
57,1,32366,Kevin Chappell,1.748,841,481,32.02
57,1,36689,Brooks Koepka,1.748,841,481,31.39
57,1,01810,Phil Mickelson,1.748,1019,583,32.36
57,10,48822,Sebastián Muñoz,1.748,1753,1003,32.44
61,9,34099,Harris English,1.749,1697,970,30.44
61,23,50525,Collin Morikawa,1.749,1739,994,32.66
63,-1,37455,Si Woo Kim,1.750,1528,873,32.15
63,-1,29926,Danny Lee,1.750,1426,815,33.46
63,-1,27649,Brandt Snedeker,1.750,1101,629,29.73
63,-1,27095,Nick Watney,1.750,973,556,30.99
67,-1,24024,Zach Johnson,1.751,1308,747,29.99
68,-1,33597,Harry Higgs,1.752,1729,987,29.92
68,-1,53165,Doc Redman,1.752,1831,1045,30.58
70,10,35310,Lanto Griffin,1.753,1902,1085,31.98
70,0,31323,Gary Woodland,1.753,1334,761,32.63
72,2,37189,Harold Varner III,1.754,1649,940,30.64
73,3,47504,Sam Burns,1.755,1227,699,32.28
73,3,33399,Adam Hadwin,1.755,1402,799,29.15
73,1,32839,Hideki Matsuyama,1.755,1602,913,32.05
73,3,32254,Xinjun Zhang,1.755,1606,915,32.42
77,3,33948,Byeong Hun An,1.756,1559,888,31.11
77,3,19803,Ryan Armour,1.756,1245,709,30.83
77,3,35449,Adam Long,1.756,1884,1073,30.87
80,4,35461,Beau Hossler,1.757,1381,786,30.01
80,4,26329,Louis Oosthuizen,1.757,991,564,30.07
80,4,25493,Nick Taylor,1.757,1249,711,29.66
83,5,32640,Troy Merritt,1.758,1431,814,30.01
83,5,34213,Grayson Murray,1.758,728,414,33.74
83,5,39324,J.J. Spaun,1.758,1211,689,31.15
86,5,26499,Rafa Cabrera Bello,1.759,1071,609,31.20
86,5,28679,Fabián Gómez,1.759,1161,660,28.96
