RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,25804,Bubba Watson,77.63,118,34
2,0,28237,Rory McIlroy,77.27,136,40
3,0,47959,Bryson DeChambeau,74.75,148,50
4,0,33448,Justin Thomas,74.05,117,41
5,0,30925,Dustin Johnson,73.26,126,46
6,0,36689,Brooks Koepka,73.17,120,44
7,0,27129,Luke List,72.73,128,48
8,0,35450,Patrick Cantlay,72.67,125,47
9,0,39546,Keith Mitchell,72.34,136,52
10,0,45157,Cam Davis,71.91,128,50
11,0,31323,Gary Woodland,71.86,143,56
12,0,33948,Byeong Hun An,71.73,137,54
13,0,46970,Jon Rahm,70.83,119,49
14,0,29725,Tony Finau,70.41,138,58
15,0,48081,Xander Schauffele,70.37,114,48
16,0,51766,Wyndham Clark,70.31,161,68
17,0,46601,Trey Mullinax,70.10,136,58
18,0,52372,Cameron Champ,70.09,150,64
19,0,34306,John Chin,70.00,84,36
20,0,24502,Adam Scott,69.70,92,40
21,0,34360,Patrick Reed,69.64,156,68
22,0,29221,Webb Simpson,69.59,135,59
23,0,27064,Jhonattan Vegas,69.50,139,61
24,0,27349,Alex Noren,69.49,82,36
25,0,30944,Jason Kokrak,69.17,166,74
26,0,21209,Sergio Garcia,69.09,76,34
27,0,49960,Sepp Straka,69.02,127,57
28,0,35421,Brandon Harkins,67.29,144,70
29,0,27974,Sung Kang,67.12,149,73
30,0,22405,Justin Rose,67.11,102,50
31,0,39971,Sungjae Im,67.10,206,101
32,0,49964,Aaron Wise,67.06,114,56
33,0,47856,Seth Reeves,66.67,110,55
34,0,32839,Hideki Matsuyama,66.52,149,75
35,0,40026,Daniel Berger,66.27,110,56
36,0,36799,Stephan Jaeger,66.09,115,59
37,0,25364,Paul Casey,65.82,104,54
38,0,32333,Kevin Tway,65.66,130,68
39,0,37455,Si Woo Kim,65.63,126,66
40,0,39324,J.J. Spaun,65.46,127,67
41,0,29970,Dylan Frittelli,65.28,141,75
42,0,26300,Matt Jones,64.76,136,74
43,0,28089,Jason Day,64.67,97,53
44,0,47504,Sam Burns,64.62,137,75
45,0,21961,Charles Howell III,64.32,146,81
46,0,30911,Tommy Fleetwood,64.19,95,53
47,0,48822,Sebastián Muñoz,63.92,124,70
48,0,29926,Danny Lee,63.76,139,79
49,0,39977,Max Homa,63.38,135,78
50,0,35532,Tom Hoge,63.06,140,82
51,0,40009,Dominic Bozzelli,63.01,92,54
52,0,47993,Denny McCarthy,62.84,137,81
53,0,34099,Harris English,62.60,154,92
54,0,33667,Carlos Ortiz,62.50,140,84
55,0,46435,Austin Cook,62.35,101,61
55,0,27330,Josh Teater,62.35,101,61
57,0,27936,Martin Laird,62.07,144,88
57,0,26851,Marc Leishman,62.07,108,66
59,0,33399,Adam Hadwin,61.98,119,73
60,0,46523,Joey Garber,61.83,81,50
61,0,35732,Wes Roach,61.74,92,57
62,0,27958,Ryan Blaum,61.57,141,88
63,0,47128,Richy Werenski,61.40,140,88
64,0,24781,Hunter Mahan,61.39,97,61
65,0,27141,J.B. Holmes,61.15,96,61
66,0,37340,Chase Wright,61.14,107,68
67,0,30946,Alex Prugh,61.02,108,69
68,0,25900,Lucas Glover,60.94,156,100
69,0,26499,Rafa Cabrera Bello,60.90,95,61
70,0,31646,Emiliano Grillo,60.84,101,65
71,0,37275,Sam Ryder,60.71,119,77
72,0,32640,Troy Merritt,60.67,108,70
73,0,46402,Talor Gooch,60.42,87,57
74,0,29223,Sam Saunders,60.38,128,84
75,0,29974,Branden Grace,60.29,82,54
76,0,32757,Patton Kizzire,60.26,94,62
77,0,01810,Phil Mickelson,60.13,95,63
78,0,32150,Michael Thompson,60.10,122,81
79,0,25818,Scott Piercy,59.91,127,85
80,0,35617,Martin Trainer,59.51,97,66
81,0,32102,Rickie Fowler,59.41,120,82
82,0,21528,Henrik Stenson,59.38,76,52
83,0,23320,Ryan Palmer,59.21,90,62
84,0,49766,Hank Lebioda,59.09,104,72
85,0,45486,Joaquin Niemann,59.02,144,100
86,0,34264,Hudson Swafford,58.90,86,60
87,0,20572,Rod Pampling,58.87,73,51
88,0,28679,Fabián Gómez,58.67,88,62
88,0,35506,Mackenzie Hughes,58.67,115,81
90,0,28252,Seamus Power,58.64,112,79
90,0,46501,Ollie Schniederjans,58.64,112,79
92,0,33419,Cameron Tringale,58.54,96,68
93,0,33141,Keegan Bradley,58.33,119,85
93,0,24924,Bill Haas,58.33,112,80
93,0,35461,Beau Hossler,58.33,126,90
93,0,36699,Patrick Rodgers,58.33,84,60
97,0,27644,Brian Harman,58.25,120,86
98,0,29479,Scott Brown,58.08,115,83
99,0,49771,J.T. Poston,58.04,166,120
100,0,25493,Nick Taylor,57.97,160,116
101,0,34021,Bud Cauley,57.94,135,98
102,0,39997,Corey Conners,57.77,119,87
103,0,37189,Harold Varner III,57.71,131,96
104,0,26951,Johnson Wagner,57.64,83,61
105,0,30978,Kiradech Aphibarnrat,57.58,76,56
105,0,47347,Adam Schenk,57.58,152,112
107,0,49303,Anders Albertson,57.14,96,72
108,0,40115,Adam Svensson,56.98,98,74
109,0,24138,Ian Poulter,56.72,76,58
110,0,25396,Kevin Na,56.69,72,55
111,0,29535,Brice Garnett,56.57,112,86
112,0,28259,Sangmoon Bae,56.03,65,51
113,0,30692,Scott Stallings,56.00,126,99
114,0,29478,Kevin Kisner,55.96,122,96
115,0,36852,Jim Knous,55.83,67,53
116,0,27095,Nick Watney,55.66,118,94
117,0,39954,Cody Gribble,55.62,99,79
118,0,12716,Charley Hoffman,55.41,82,66
119,0,45609,Tyler Duncan,55.38,108,87
120,0,27214,Kevin Streelman,55.36,124,100
121,0,33410,Andrew Landry,55.34,114,92
122,0,23621,Rory Sabbatini,55.28,136,110
123,0,35891,Cameron Smith,55.19,85,69
124,0,32139,Danny Willett,55.13,86,70
125,0,31557,Jim Herman,55.08,65,53
126,0,34046,Jordan Spieth,55.05,109,89
127,0,49298,Kramer Hickok,55.00,99,81
127,0,32816,Satoshi Kodaira,55.00,88,72
129,0,29518,Brendan Steele,54.71,93,77
130,0,33418,Shawn Stefani,54.64,106,88
131,0,25198,Francesco Molinari,54.62,71,59
132,0,29484,Peter Uihlein,54.55,96,80
133,0,29268,Bronson Burgoon,54.29,76,64
134,0,30110,Kyle Stanley,54.27,89,75
135,0,27649,Brandt Snedeker,54.17,130,110
136,0,32058,José de Jesús Rodríguez,53.95,82,70
137,0,45526,Abraham Ancer,53.77,114,98
138,0,23108,Matt Kuchar,53.54,106,92
139,0,27556,Ted Potter Jr.,53.37,103,90
140,0,26596,Ryan Moore,53.30,113,99
141,0,30191,Julián Etulain,53.13,85,75
142,0,34076,Joel Dahmen,52.99,124,110
143,0,26476,Chez Reavie,52.97,107,95
144,0,35449,Adam Long,52.88,110,98
145,0,22371,Aaron Baddeley,52.86,74,66
146,0,25632,Jimmy Walker,52.66,89,80
147,0,35879,Kelly Kraft,52.53,104,94
148,0,34466,Peter Malnati,52.34,123,112
149,0,29420,Billy Horschel,52.31,113,103
150,0,26329,Louis Oosthuizen,52.05,76,70
151,0,32791,K.H. Lee,51.85,98,91
152,0,40098,Matt Fitzpatrick,51.79,58,54
153,0,34563,Chesson Hadley,51.63,95,89
153,0,29908,C.T. Pan,51.63,95,89
155,0,24024,Zach Johnson,51.35,76,72
156,0,24925,Jonathan Byrd,50.86,59,57
