RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
1,0,40098,Matt Fitzpatrick,19.9,48764.000,68
2,0,31323,Gary Woodland,20.3,130677.000,179
3,0,39954,Cody Gribble,20.8,93740.000,125
4,0,27936,Martin Laird,21.0,135471.000,179
4,0,30946,Alex Prugh,21.0,100688.000,133
6,0,27095,Nick Watney,21.2,111536.000,146
7,0,28775,Nate Lashley,21.5,70450.000,91
7,0,28237,Rory McIlroy,21.5,139381.000,180
7,0,37340,Chase Wright,21.5,97515.000,126
10,0,25900,Lucas Glover,21.6,142078.000,183
10,0,26851,Marc Leishman,21.6,103493.000,133
10,0,29223,Sam Saunders,21.6,121370.000,156
13,0,31646,Emiliano Grillo,21.7,96965.000,124
14,0,47959,Bryson DeChambeau,21.8,139143.000,177
15,0,32640,Troy Merritt,21.9,99245.000,126
15,0,49964,Aaron Wise,21.9,119857.000,152
17,0,25686,Jason Dufner,22.0,80678.000,102
17,0,27129,Luke List,22.0,122742.000,155
19,0,30925,Dustin Johnson,22.1,133456.000,168
19,0,24781,Hunter Mahan,22.1,86836.000,109
19,0,23320,Ryan Palmer,22.1,100378.000,126
19,0,24502,Adam Scott,22.1,82894.000,104
19,0,35891,Cameron Smith,22.1,83716.000,105
24,0,27141,J.B. Holmes,22.2,95138.000,119
24,0,32839,Hideki Matsuyama,22.2,143125.000,179
24,0,39546,Keith Mitchell,22.2,136756.000,171
27,0,26499,Rafa Cabrera Bello,22.3,86532.000,108
27,0,34264,Hudson Swafford,22.3,80924.000,101
29,0,26758,David Hearn,22.4,44443.000,55
29,0,33122,Russell Knox,22.4,78341.000,97
29,0,29518,Brendan Steele,22.4,94177.000,117
32,0,35450,Patrick Cantlay,22.5,130270.000,161
32,0,39977,Max Homa,22.5,126610.000,156
32,0,29221,Webb Simpson,22.5,130260.000,161
35,0,45157,Cam Davis,22.7,124059.000,152
35,0,30110,Kyle Stanley,22.7,91445.000,112
37,0,28259,Sangmoon Bae,22.8,68271.000,83
37,0,24924,Bill Haas,22.8,110154.000,134
37,0,34363,Tyrrell Hatton,22.8,69853.000,85
37,0,49766,Hank Lebioda,22.8,102601.000,125
37,0,49960,Sepp Straka,22.8,122421.000,149
