RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,46970,Jon Rahm,65.33,392,6
2,0,24502,Adam Scott,67.71,474,7
3,0,32102,Rickie Fowler,67.75,542,8
4,5,34360,Patrick Reed,67.85,882,13
5,-1,28237,Rory McIlroy,67.90,679,10
6,-1,22405,Justin Rose,68.00,272,4
6,-1,33448,Justin Thomas,68.00,612,9
8,-1,35450,Patrick Cantlay,68.11,613,9
9,-1,34099,Harris English,68.19,1432,21
10,2,29221,Webb Simpson,68.33,205,3
11,0,30911,Tommy Fleetwood,68.43,479,7
12,3,40026,Daniel Berger,68.57,960,14
13,0,33204,Shane Lowry,68.70,687,10
14,0,30925,Dustin Johnson,68.75,275,4
15,6,34363,Tyrrell Hatton,68.91,758,11
16,0,27349,Alex Noren,68.93,965,14
17,14,29725,Tony Finau,69.00,966,14
18,2,29535,Brice Garnett,69.08,1658,24
19,3,47347,Adam Schenk,69.14,1452,21
20,-3,29478,Kevin Kisner,69.17,1660,24
21,3,21209,Sergio Garcia,69.20,692,10
22,3,30944,Jason Kokrak,69.22,1246,18
23,12,32839,Hideki Matsuyama,69.23,900,13
24,2,31323,Gary Woodland,69.25,831,12
25,2,34098,Russell Henley,69.27,1039,15
26,2,47504,Sam Burns,69.29,970,14
26,-9,47959,Bryson DeChambeau,69.29,485,7
28,8,46717,Viktor Hovland,69.30,1594,23
29,1,28089,Jason Day,69.31,1109,16
30,13,48822,Sebastián Muñoz,69.32,1941,28
31,0,33122,Russell Knox,69.33,1456,21
31,0,48081,Xander Schauffele,69.33,1040,15
33,1,33419,Cameron Tringale,69.35,1595,23
34,-12,45486,Joaquin Niemann,69.38,1804,26
35,2,25349,Tim Wilkinson,69.41,1180,17
36,2,30163,Henrik Norlander,69.45,1528,22
37,2,27095,Nick Watney,69.46,903,13
38,2,39971,Sungjae Im,69.50,1668,24
38,2,30692,Scott Stallings,69.50,1529,22
40,2,46442,Maverick McNealy,69.52,1599,23
41,2,34021,Bud Cauley,69.56,1739,25
41,2,36871,Matthew NeSmith,69.56,1739,25
41,2,35658,Kris Ventura,69.56,626,9
44,17,50525,Collin Morikawa,69.59,1183,17
45,2,45157,Cam Davis,69.60,1044,15
45,2,34563,Chesson Hadley,69.60,1392,20
47,2,32448,James Hahn,69.62,905,13
47,2,28252,Seamus Power,69.62,905,13
47,2,37189,Harold Varner III,69.62,1462,21
50,2,53165,Doc Redman,69.64,1950,28
51,2,23108,Matt Kuchar,69.67,1254,18
52,2,27963,Chris Stroud,69.69,906,13
53,2,36801,Mark Hubbard,69.70,2091,30
54,2,49771,J.T. Poston,69.71,1952,28
55,3,23621,Rory Sabbatini,69.75,1674,24
56,3,46402,Talor Gooch,69.79,1954,28
57,3,30110,Kyle Stanley,69.87,1048,15
58,4,27129,Luke List,69.89,1328,19
59,4,29518,Brendan Steele,69.90,1468,21
60,4,39997,Corey Conners,69.93,1958,28
60,4,45609,Tyler Duncan,69.93,2098,30
60,4,27644,Brian Harman,69.93,1888,27
63,4,24138,Ian Poulter,69.94,1189,17
64,14,46046,Scottie Scheffler,69.95,1469,21
65,4,35310,Lanto Griffin,69.96,1959,28
65,3,31560,Brian Stuard,69.96,1749,25
67,2,56762,Will Gordon,70.00,280,4
67,2,36699,Patrick Rodgers,70.00,2170,31
67,2,27649,Brandt Snedeker,70.00,700,10
67,2,29484,Peter Uihlein,70.00,840,12
71,3,32640,Troy Merritt,70.03,2101,30
72,3,32791,K.H. Lee,70.05,1401,20
73,3,19803,Ryan Armour,70.08,1682,24
74,3,23320,Ryan Palmer,70.11,1893,27
75,4,25900,Lucas Glover,70.12,1753,25
76,4,30927,Brendon Todd,70.13,1613,23
77,4,27064,Jhonattan Vegas,70.14,982,14
78,43,35506,Mackenzie Hughes,70.16,1754,25
79,3,35461,Beau Hossler,70.17,1614,23
80,3,35449,Adam Long,70.19,2246,32
81,3,29974,Branden Grace,70.20,702,10
81,3,37275,Sam Ryder,70.20,1404,20
81,3,32333,Kevin Tway,70.20,1053,15
84,3,31646,Emiliano Grillo,70.23,1545,22
85,3,29926,Danny Lee,70.24,1756,25
86,3,31420,Anirban Lahiri,70.25,562,8
87,3,33667,Carlos Ortiz,70.27,1054,15
88,3,33399,Adam Hadwin,70.28,1265,18
89,3,26329,Louis Oosthuizen,70.29,1195,17
90,3,39977,Max Homa,70.30,1617,23
91,3,34255,Joseph Bramlett,70.31,914,13
91,3,27556,Ted Potter Jr.,70.31,1125,16
