RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,46970,Jon Rahm,67.79,1288,19
2,0,32102,Rickie Fowler,68.05,1429,21
3,0,28237,Rory McIlroy,68.08,1634,24
4,0,24502,Adam Scott,68.31,1093,16
5,1,29221,Webb Simpson,68.63,1098,16
6,-1,47959,Bryson DeChambeau,68.64,1716,25
7,1,33448,Justin Thomas,68.72,1718,25
8,1,34099,Harris English,68.79,2270,33
9,2,40026,Daniel Berger,68.81,1858,27
10,0,35450,Patrick Cantlay,68.84,1308,19
11,2,31323,Gary Woodland,69.11,1935,28
12,6,29725,Tony Finau,69.17,2075,30
13,-1,29478,Kevin Kisner,69.18,2352,34
13,4,50525,Collin Morikawa,69.18,2352,34
15,0,27349,Alex Noren,69.20,2076,30
15,1,46046,Scottie Scheffler,69.20,2422,35
17,16,34360,Patrick Reed,69.29,2425,35
18,12,34363,Tyrrell Hatton,69.31,1109,16
18,4,32839,Hideki Matsuyama,69.31,2218,32
20,-6,45486,Joaquin Niemann,69.32,2634,38
21,-2,27644,Brian Harman,69.33,2704,39
21,-2,33204,Shane Lowry,69.33,1664,24
23,-2,34021,Bud Cauley,69.35,2358,34
24,-2,37189,Harold Varner III,69.37,2844,41
25,-1,28252,Seamus Power,69.39,1249,18
25,-1,29518,Brendan Steele,69.39,2290,33
27,-1,48081,Xander Schauffele,69.41,2013,29
28,-1,33122,Russell Knox,69.45,2153,31
28,-1,25349,Tim Wilkinson,69.45,2014,29
30,-1,27649,Brandt Snedeker,69.46,1806,26
31,-1,30911,Tommy Fleetwood,69.47,1320,19
32,0,56762,Will Gordon,69.50,973,14
33,0,45157,Cam Davis,69.52,1738,25
33,0,34098,Russell Henley,69.52,2155,31
35,1,29535,Brice Garnett,69.53,2225,32
36,2,23108,Matt Kuchar,69.55,2017,29
37,2,39997,Corey Conners,69.58,2783,40
38,15,48822,Sebastián Muñoz,69.59,2853,41
39,1,32448,James Hahn,69.60,1392,20
40,1,49771,J.T. Poston,69.63,2855,41
40,1,24138,Ian Poulter,69.63,1671,24
40,1,33419,Cameron Tringale,69.63,2437,35
43,9,45526,Abraham Ancer,69.64,2507,36
43,1,46402,Talor Gooch,69.64,2925,42
45,3,46717,Viktor Hovland,69.65,2786,40
45,0,39971,Sungjae Im,69.65,2995,43
45,0,36871,Matthew NeSmith,69.65,2995,43
48,-1,30927,Brendon Todd,69.69,2509,36
49,-1,47504,Sam Burns,69.72,2022,29
49,-1,27129,Luke List,69.72,2510,36
51,0,47347,Adam Schenk,69.73,3138,45
52,2,30163,Henrik Norlander,69.79,2722,39
53,2,31646,Emiliano Grillo,69.84,2584,37
53,2,24024,Zach Johnson,69.84,2165,31
53,2,33667,Carlos Ortiz,69.84,2235,32
56,2,36801,Mark Hubbard,69.86,3074,44
56,2,30110,Kyle Stanley,69.86,1956,28
56,2,29484,Peter Uihlein,69.86,1537,22
59,2,45609,Tyler Duncan,69.87,3144,45
60,2,23788,D.J. Trahan,69.88,1817,26
61,2,53165,Doc Redman,69.89,3215,46
62,2,36699,Patrick Rodgers,69.90,3425,49
63,2,33399,Adam Hadwin,69.91,2307,33
64,3,27064,Jhonattan Vegas,69.97,2029,29
65,3,35310,Lanto Griffin,69.98,3289,47
