RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,26596,Ryan Moore,88.97,920,1034
2,0,26476,Chez Reavie,88.33,1135,1285
3,0,25364,Paul Casey,87.99,923,1049
4,0,29535,Brice Garnett,87.91,1047,1191
5,0,26951,Johnson Wagner,87.55,710,811
6,0,10809,Jim Furyk,87.22,826,947
7,0,25686,Jason Dufner,87.08,876,1006
8,0,45526,Abraham Ancer,87.01,1072,1232
9,0,39997,Corey Conners,86.78,1044,1203
9,0,33410,Andrew Landry,86.78,899,1036
11,0,27214,Kevin Streelman,86.74,981,1131
12,0,26758,David Hearn,86.56,567,655
13,0,29518,Brendan Steele,86.49,749,866
14,0,19803,Ryan Armour,86.36,1108,1283
14,0,40026,Daniel Berger,86.36,798,924
16,0,31557,Jim Herman,86.12,577,670
16,0,23621,Rory Sabbatini,86.12,1117,1297
18,0,30946,Alex Prugh,86.07,853,991
19,0,25818,Scott Piercy,85.92,1037,1207
20,0,39971,Sungjae Im,85.73,1412,1647
21,0,47990,Kyle Jones,85.67,789,921
22,0,49298,Kramer Hickok,85.65,919,1073
23,0,21528,Henrik Stenson,85.63,596,696
24,0,27330,Josh Teater,85.59,802,937
25,0,29478,Kevin Kisner,85.57,1026,1199
26,0,19846,Brian Gay,85.50,1061,1241
27,0,39327,Ben Silverman,85.35,810,949
27,0,40115,Adam Svensson,85.35,798,935
29,0,25900,Lucas Glover,85.34,1071,1255
30,0,32640,Troy Merritt,85.20,731,858
31,0,45609,Tyler Duncan,85.16,987,1159
32,0,34076,Joel Dahmen,85.15,1141,1340
33,0,31560,Brian Stuard,85.13,1116,1311
34,0,34099,Harris English,85.12,1081,1270
35,0,32150,Michael Thompson,85.07,843,991
36,0,20472,Alex Cejka,85.04,591,695
37,0,27556,Ted Potter Jr.,85.03,846,995
38,0,33418,Shawn Stefani,85.00,901,1060
39,0,33399,Adam Hadwin,84.98,973,1145
40,0,33122,Russell Knox,84.95,852,1003
40,0,23325,Vaughn Taylor,84.95,1078,1269
42,0,34098,Russell Henley,84.92,828,975
43,0,31646,Emiliano Grillo,84.80,926,1092
44,0,33419,Cameron Tringale,84.79,769,907
45,0,28679,Fabián Gómez,84.78,735,867
46,0,35376,Roberto Díaz,84.75,767,905
47,0,46435,Austin Cook,84.74,755,891
48,0,27064,Jhonattan Vegas,84.72,854,1008
49,0,30786,Brady Schnell,84.71,604,713
50,0,47959,Bryson DeChambeau,84.68,857,1012
50,0,23108,Matt Kuchar,84.68,951,1123
52,0,49960,Sepp Straka,84.65,849,1003
53,0,24781,Hunter Mahan,84.57,696,823
54,0,35732,Wes Roach,84.56,745,881
55,0,36689,Brooks Koepka,84.52,879,1040
56,0,27644,Brian Harman,84.49,1051,1244
57,0,23353,J.J. Henry,84.46,614,727
58,0,29268,Bronson Burgoon,84.42,650,770
58,0,32839,Hideki Matsuyama,84.42,1040,1232
60,0,49766,Hank Lebioda,84.41,823,975
61,0,25198,Francesco Molinari,84.34,641,760
62,0,35449,Adam Long,84.29,896,1063
63,0,45157,Cam Davis,84.28,847,1005
64,0,28775,Nate Lashley,84.23,801,951
65,0,39324,J.J. Spaun,84.22,966,1147
66,0,23320,Ryan Palmer,84.18,777,923
67,0,34261,Scott Langley,84.12,869,1033
67,0,30110,Kyle Stanley,84.12,895,1064
69,0,45486,Joaquin Niemann,84.10,1127,1340
70,0,33141,Keegan Bradley,84.09,967,1150
71,0,26329,Louis Oosthuizen,83.97,749,892
72,0,29970,Dylan Frittelli,83.79,946,1129
73,0,33667,Carlos Ortiz,83.77,960,1146
74,0,49771,J.T. Poston,83.76,1124,1342
75,0,29420,Billy Horschel,83.75,1082,1292
76,0,30911,Tommy Fleetwood,83.69,749,895
77,0,30944,Jason Kokrak,83.68,1051,1256
78,0,29221,Webb Simpson,83.64,915,1094
79,0,32139,Danny Willett,83.60,734,878
80,0,28237,Rory McIlroy,83.58,799,956
81,0,32816,Satoshi Kodaira,83.48,748,896
82,0,46402,Talor Gooch,83.44,630,755
83,0,29479,Scott Brown,83.41,955,1145
84,0,37455,Si Woo Kim,83.35,956,1147
85,0,24138,Ian Poulter,83.33,680,816
86,0,40098,Matt Fitzpatrick,83.31,594,713
87,0,46970,Jon Rahm,83.30,793,952
88,0,27936,Martin Laird,83.29,932,1119
