RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,45526,Abraham Ancer,1.51,15,991,E
2,0,25364,Paul Casey,1.69,13,769,+0.62
3,0,26758,David Hearn,1.91,9,472,+0.56
4,0,47990,Kyle Jones,1.99,15,754,+0.87
5,0,26476,Chez Reavie,2.15,21,975,+0.33
6,0,10809,Jim Furyk,2.27,18,794,+0.50
7,0,40115,Adam Svensson,2.36,18,764,-0.06
8,0,33122,Russell Knox,2.44,20,820,+0.70
8,0,24138,Ian Poulter,2.44,15,614,+0.67
10,0,35732,Wes Roach,2.49,17,682,+0.59
11,0,27958,Ryan Blaum,2.51,25,997,+0.20
12,0,29535,Brice Garnett,2.53,23,910,+0.13
13,0,26951,Johnson Wagner,2.58,17,658,+0.12
14,0,30110,Kyle Stanley,2.61,20,767,+0.50
15,0,31560,Brian Stuard,2.62,28,1070,+0.43
16,0,45609,Tyler Duncan,2.65,24,907,+0.67
17,0,20472,Alex Cejka,2.70,15,555,+0.20
18,0,39997,Corey Conners,2.80,27,966,+0.41
19,0,28679,Fabián Gómez,2.83,19,672,+0.37
19,0,29478,Kevin Kisner,2.83,28,988,+0.54
21,0,26596,Ryan Moore,2.84,25,880,+0.32
22,0,29479,Scott Brown,2.85,27,948,+0.67
23,0,31646,Emiliano Grillo,2.86,22,768,+0.23
24,0,28775,Nate Lashley,2.88,22,765,+0.55
25,0,21961,Charles Howell III,2.94,30,1021,+0.40
26,0,23353,J.J. Henry,2.97,17,573,+0.59
27,0,34261,Scott Langley,3.03,27,892,+0.78
28,0,27644,Brian Harman,3.04,30,987,+0.53
29,0,49298,Kramer Hickok,3.05,25,821,+0.36
30,0,23325,Vaughn Taylor,3.07,35,1140,+0.57
31,0,24781,Hunter Mahan,3.08,20,650,+0.85
31,0,39327,Ben Silverman,3.08,24,780,+0.46
33,0,40098,Matt Fitzpatrick,3.09,16,517,+0.38
34,0,40009,Dominic Bozzelli,3.11,21,676,+0.52
35,0,34431,Robert Streb,3.13,26,831,+0.62
36,0,25686,Jason Dufner,3.14,25,795,+0.68
37,0,39971,Sungjae Im,3.24,45,1389,+0.47
37,0,23108,Matt Kuchar,3.24,30,927,+0.47
39,0,32200,Roberto Castro,3.25,28,861,+0.46
39,0,35376,Roberto Díaz,3.25,23,707,+0.48
39,0,32791,K.H. Lee,3.25,28,861,+0.50
39,0,32839,Hideki Matsuyama,3.25,33,1016,+0.61
43,0,26300,Matt Jones,3.28,30,915,+0.23
44,0,26329,Louis Oosthuizen,3.30,22,667,+0.55
45,0,34098,Russell Henley,3.31,28,847,+0.36
45,0,31420,Anirban Lahiri,3.31,27,816,+0.67
47,0,29221,Webb Simpson,3.32,32,963,+0.34
48,0,46402,Talor Gooch,3.33,22,660,+0.32
48,0,45486,Joaquin Niemann,3.33,37,1110,+0.41
50,0,25818,Scott Piercy,3.36,33,981,+0.24
51,0,27330,Josh Teater,3.38,25,739,+0.40
52,0,31557,Jim Herman,3.40,18,529,+0.89
52,0,24024,Zach Johnson,3.40,25,736,+0.32
54,0,47347,Adam Schenk,3.42,39,1140,+0.49
55,0,29420,Billy Horschel,3.43,33,963,+0.18
56,0,26499,Rafa Cabrera Bello,3.44,23,668,+0.39
56,0,34363,Tyrrell Hatton,3.44,20,581,+0.45
58,0,33448,Justin Thomas,3.45,27,783,+0.30
59,0,30911,Tommy Fleetwood,3.46,24,694,+0.08
59,0,34360,Patrick Reed,3.46,35,1013,+0.26
61,0,35879,Kelly Kraft,3.47,31,894,+0.61
61,0,29908,C.T. Pan,3.47,29,835,+0.48
63,0,27895,Jonas Blixt,3.48,31,890,+0.65
64,0,46523,Joey Garber,3.51,21,599,+0.52
64,0,20572,Rod Pampling,3.51,20,569,+0.40
66,0,46435,Austin Cook,3.54,26,735,+0.62
67,0,19803,Ryan Armour,3.55,37,1043,+0.65
68,0,24502,Adam Scott,3.59,22,612,+0.59
69,0,23621,Rory Sabbatini,3.60,38,1057,+0.29
70,0,21528,Henrik Stenson,3.61,21,582,+0.24
71,0,28237,Rory McIlroy,3.64,29,796,E
72,0,30946,Alex Prugh,3.66,29,793,+0.55
73,0,22405,Justin Rose,3.67,25,682,+0.48
74,0,25493,Nick Taylor,3.68,44,1197,+0.30
75,0,19846,Brian Gay,3.69,37,1002,+0.54
75,0,33419,Cameron Tringale,3.69,26,704,+0.27
77,0,47959,Bryson DeChambeau,3.70,34,920,+0.68
78,0,25198,Francesco Molinari,3.72,22,591,+0.55
79,0,33141,Keegan Bradley,3.74,35,936,+0.49
79,0,31323,Gary Woodland,3.74,34,908,+0.41
81,0,32150,Michael Thompson,3.76,34,905,+0.56
82,0,34306,John Chin,3.79,20,528,+0.75
82,0,46970,Jon Rahm,3.79,28,739,+0.36
84,0,29518,Brendan Steele,3.81,27,709,+0.63
85,0,29268,Bronson Burgoon,3.82,25,655,+0.88
86,0,33410,Andrew Landry,3.85,35,908,+0.43
87,0,39977,Max Homa,3.88,37,954,+0.59
88,0,27649,Brandt Snedeker,3.94,44,1118,+0.41
89,0,49766,Hank Lebioda,3.98,32,805,+0.63
90,0,30786,Brady Schnell,4.04,22,545,+1.00
91,0,24924,Bill Haas,4.05,34,840,+0.41
91,0,37340,Chase Wright,4.05,32,790,+0.56
93,0,48822,Sebastián Muñoz,4.06,36,887,+0.31
94,0,32816,Satoshi Kodaira,4.08,29,710,+0.45
94,0,47993,Denny McCarthy,4.08,39,956,+0.44
96,0,33667,Carlos Ortiz,4.12,41,994,+0.54
97,0,30978,Kiradech Aphibarnrat,4.16,26,625,+0.50
97,0,28259,Sangmoon Bae,4.16,23,553,+0.48
99,0,33399,Adam Hadwin,4.17,36,863,+0.75
100,0,25900,Lucas Glover,4.18,47,1124,+0.40
101,0,24361,Pat Perez,4.21,24,570,+0.67
102,0,35449,Adam Long,4.22,40,948,+0.68
102,0,35891,Cameron Smith,4.22,31,735,+0.39
104,0,29970,Dylan Frittelli,4.25,40,942,+0.25
104,0,27064,Jhonattan Vegas,4.25,36,847,+0.25
106,0,49771,J.T. Poston,4.33,53,1225,+0.45
107,0,32640,Troy Merritt,4.36,34,779,+0.47
108,0,49964,Aaron Wise,4.37,33,756,+0.52
109,0,47856,Seth Reeves,4.38,32,730,+0.41
109,0,27214,Kevin Streelman,4.38,42,959,+0.33
111,0,35450,Patrick Cantlay,4.41,35,794,+0.14
112,0,27974,Sung Kang,4.43,43,971,+0.56
