RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,24357,K.J. Choi,72.09,93,129,-95,-8.00
2,0,23325,Vaughn Taylor,66.14,84,127,-90,+1.00
3,0,23108,Matt Kuchar,65.93,60,91,-61,-20.00
3,0,01810,Phil Mickelson,65.93,89,135,-98,-5.00
5,0,06527,Steve Stricker,65.43,53,81,-56,-36.00
6,0,25345,Carl Pettersson,64.40,123,191,-131,-12.00
7,0,22371,Aaron Baddeley,63.09,94,149,-98,-19.00
8,0,25396,Kevin Na,62.96,102,162,-109,-2.00
9,0,24502,Adam Scott,62.86,88,140,-92,E
10,0,01320,Bob Estes,62.75,64,102,-66,-41.00
11,0,22405,Justin Rose,62.69,42,67,-44,-4.00
12,0,23353,J.J. Henry,62.68,89,142,-94,-13.00
13,0,19824,Craig Barlow,62.65,52,83,-53,-1.00
14,0,21731,Freddie Jacobson,62.62,67,107,-68,-25.00
15,0,20160,Charlie Wi,62.59,92,147,-99,-18.00
16,0,06567,Vijay Singh,61.75,113,183,-122,-8.00
17,0,21961,Charles Howell III,61.59,85,138,-92,-3.00
18,0,20572,Rod Pampling,61.11,99,162,-108,-1.00
19,0,01941,Tom Pernice Jr.,60.99,86,141,-92,-20.00
20,0,19846,Brian Gay,60.98,50,82,-52,-54.00
21,0,24980,Scott Gutschewski,60.87,84,138,-89,+14.00
22,0,01157,Tom Byrum,60.78,31,51,-33,-6.00
23,0,20859,Anders Hansen,60.71,34,56,-36,+3.00
24,0,23322,Brett Wetterich,60.61,100,165,-110,+14.00
25,0,24781,Hunter Mahan,60.43,84,139,-89,-5.00
26,0,21350,Ryuji Imada,60.28,85,141,-89,-32.00
27,0,24507,Jason Bohn,60.19,62,103,-69,-11.00
28,0,23621,Rory Sabbatini,60.16,77,128,-82,-10.00
29,0,12660,Jesper Parnevik,60.14,83,138,-85,-6.00
30,0,20645,John Senden,60.00,102,170,-106,-15.00
31,0,20850,Daniel Chopra,59.79,113,189,-116,-4.00
32,0,01948,Tim Petrovic,59.78,110,184,-115,-13.00
33,0,22295,Darron Stiles,59.49,47,79,-54,-8.00
34,0,01473,Todd Hamilton,59.21,45,76,-50,+4.00
35,0,23983,Luke Donald,59.15,42,71,-42,-5.00
36,0,27060,John Mallinger,59.06,75,127,-79,-16.00
37,0,01249,John Daly,58.96,79,134,-86,+11.00
