RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,46717,Viktor Hovland,40' 0",120.083,3,53,25' 2"
2,0,60767,Blaine Hale Jr.,35' 3",105.750,3,62,15' 1"
3,0,27139,David Skinns,34' 3",137.000,4,77,5' 3"
4,0,33399,Adam Hadwin,31' 5",125.500,4,54,3' 5"
5,0,50095,Austin Smotherman,30' 7",122.333,4,53,2' 10"
6,0,28775,Nate Lashley,29' 9",208.500,7,79,11' 6"
7,0,12716,Charley Hoffman,29' 5",117.750,4,47,16' 9"
8,0,29420,Billy Horschel,28' 10",86.417,3,48,4' 1"
9,0,48319,Tom Whitney,27' 2",54.333,2,45,9' 6"
10,0,40026,Daniel Berger,27' 1",54.083,2,42,12' 1"
11,0,46113,Ryan McCormick,25' 11",103.667,4,45,4' 0"
11,0,28237,Rory McIlroy,25' 11",129.667,5,51,9' 2"
13,0,52374,Brandon Wu,25' 10",129.083,5,48,9' 4"
14,0,36884,Ben Kohles,25' 7",76.750,3,54,11' 0"
15,0,46441,Robby Shelton,25' 6",51.000,2,26,24' 11"
16,0,29936,Ryan Fox,25' 5",152.250,6,89,2' 4"
16,0,30927,Brendon Todd,25' 5",126.917,5,51,6' 0"
18,0,27330,Josh Teater,25' 3",75.667,3,34,12' 3"
19,0,47591,Eric Cole,24' 4",194.333,8,52,7' 11"
20,0,48153,Matthieu Pavon,23' 10",214.667,9,48,4' 5"
21,0,33204,Shane Lowry,23' 7",94.167,4,57,3' 0"
22,0,49960,Sepp Straka,23' 5",46.833,2,26,20' 9"
23,0,39975,Michael Kim,23' 4",46.667,2,43,3' 11"
24,0,59143,Mac Meissner,23' 1",138.500,6,45,8' 11"
25,0,36326,David Lipsky,21' 11",87.667,4,34,6' 3"
26,0,34255,Joseph Bramlett,21' 10",174.667,8,40,6' 0"
26,0,30163,Henrik Norlander,21' 10",65.500,3,44,6' 6"
28,0,47679,Victor Perez,21' 7",107.917,5,40,10' 9"
29,0,22371,Aaron Baddeley,21' 4",42.667,2,34,8' 11"
30,0,35506,Mackenzie Hughes,20' 9",187.083,9,67,5' 6"
30,0,40250,Taylor Pendrith,20' 9",83.000,4,49,6' 2"
32,0,55182,Tom Kim,20' 6",143.750,7,33,3' 3"
33,0,54783,Dylan Wu,20' 2",20.167,1,20,20' 2"
34,0,33968,Thorbjørn Olesen,20' 1",40.083,2,29,11' 2"
35,0,51766,Wyndham Clark,20' 0",279.667,14,45,3' 4"
35,0,32791,K.H. Lee,20' 0",239.667,12,46,5' 3"
35,0,47347,Adam Schenk,20' 0",139.917,7,47,8' 10"
35,0,55893,Sam Stevens,20' 0",100.083,5,35,6' 0"
39,0,27214,Kevin Streelman,19' 11",99.500,5,32,10' 7"
40,0,51287,Ryo Hisatsune,19' 10",118.750,6,48,3' 0"
41,0,32070,Rafael Campos,19' 9",39.500,2,20,19' 1"
41,0,51696,Rico Hoey,19' 9",157.667,8,38,9' 0"
41,0,37275,Sam Ryder,19' 9",79.083,4,28,4' 6"
44,0,34563,Chesson Hadley,19' 5",135.667,7,34,6' 6"
44,0,27644,Brian Harman,19' 5",136.000,7,46,4' 7"
46,0,54591,Ben Griffin,19' 3",192.667,10,57,2' 10"
46,0,52215,Robert MacIntyre,19' 3",134.833,7,43,6' 1"
48,0,55789,Taylor Montgomery,19' 1",57.250,3,29,14' 4"
48,0,48699,Callum Tarren,19' 1",171.750,9,39,3' 5"
50,0,34256,Andrew Putnam,19' 0",19.000,1,19,19' 0"
51,0,35450,Patrick Cantlay,18' 9",112.417,6,47,7' 7"
52,0,45242,Kevin Yu,18' 7",92.917,5,40,5' 9"
53,0,34098,Russell Henley,18' 6",55.583,3,20,15' 3"
54,0,36871,Matt NeSmith,18' 4",146.917,8,45,8' 4"
55,0,32333,Kevin Tway,18' 1",144.417,8,75,1' 10"
56,0,48867,Matti Schmid,18' 0",143.833,8,53,4' 5"
57,0,24502,Adam Scott,17' 10",107.000,6,43,3' 0"
58,0,48084,Wesley Bryan,17' 8",70.667,4,30,6' 4"
58,0,30911,Tommy Fleetwood,17' 8",88.417,5,42,3' 9"
58,0,35532,Tom Hoge,17' 8",141.167,8,45,2' 9"
61,0,39997,Corey Conners,17' 7",211.417,12,63,4' 8"
