RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
1,0,47959,Bryson DeChambeau,75.8,1440,19
2,0,45157,Cam Davis,84.6,1692,20
3,0,21209,Sergio Garcia,88.8,1332,15
4,0,56278,Matthew Wolff,90.0,990,11
5,0,33448,Justin Thomas,94.5,1512,16
6,0,33667,Carlos Ortiz,97.4,1656,17
7,0,47483,Will Zalatoris,97.9,1566,16
8,0,34213,Grayson Murray,98.0,882,9
9,0,27554,Scott Harrington,101.6,1422,14
10,0,52372,Cameron Champ,103.8,1350,13
11,0,35658,Kris Ventura,105.0,1260,12
12,0,48081,Xander Schauffele,105.2,1368,13
13,0,34046,Jordan Spieth,105.6,1584,15
14,0,34255,Joseph Bramlett,108.0,1404,13
14,0,36689,Brooks Koepka,108.0,1188,11
16,0,23320,Ryan Palmer,111.0,1332,12
17,0,24781,Hunter Mahan,114.0,1026,9
18,0,27129,Luke List,114.4,1602,14
19,0,29725,Tony Finau,115.7,1620,14
20,0,39997,Corey Conners,117.0,1872,16
21,0,30925,Dustin Johnson,117.8,1296,11
22,0,34099,Harris English,118.3,1656,14
23,0,26331,Charl Schwartzel,119.1,1548,13
24,0,32839,Hideki Matsuyama,119.6,1674,14
25,0,26329,Louis Oosthuizen,121.1,1332,11
26,0,22405,Justin Rose,121.5,972,8
27,0,32757,Patton Kizzire,122.4,1836,15
27,0,31420,Anirban Lahiri,122.4,1224,10
27,0,27556,Ted Potter Jr.,122.4,1224,10
30,0,34264,Hudson Swafford,123.0,1476,12
31,0,39975,Michael Kim,124.2,1242,10
32,0,19846,Brian Gay,126.0,1260,10
32,0,49771,J.T. Poston,126.0,1512,12
32,0,46970,Jon Rahm,126.0,1386,11
32,0,27649,Brandt Snedeker,126.0,1512,12
36,0,34360,Patrick Reed,127.6,1404,11
37,0,33597,Harry Higgs,130.9,1440,11
38,0,56762,Will Gordon,132.0,1584,12
39,0,35617,Martin Trainer,132.8,1062,8
40,0,29221,Webb Simpson,133.2,1332,10
41,0,30110,Kyle Stanley,135.0,1620,12
41,0,25493,Nick Taylor,135.0,1620,12
43,0,32791,K.H. Lee,136.3,1908,14
44,0,47504,Sam Burns,137.5,1512,11
44,0,30163,Henrik Norlander,137.5,1512,11
46,0,25804,Bubba Watson,138.0,1242,9
47,0,32333,Kevin Tway,139.5,1116,8
48,0,51766,Wyndham Clark,140.4,1404,10
49,0,33141,Keegan Bradley,140.7,1548,11
49,0,39977,Max Homa,140.7,1548,11
49,0,30927,Brendon Todd,140.7,1548,11
49,0,47128,Richy Werenski,140.7,1548,11
53,0,36699,Patrick Rodgers,141.2,1836,13
54,0,33490,Bo Hoag,142.4,1566,11
55,0,27936,Martin Laird,144.0,1440,10
55,0,35230,Nelson Ledesma,144.0,864,6
55,0,27330,Josh Teater,144.0,864,6
55,0,51894,Vince Whaley,144.0,1440,10
59,0,39971,Sungjae Im,146.4,2196,15
60,0,32640,Troy Merritt,147.0,1764,12
61,0,35891,Cameron Smith,147.6,1476,10
62,0,25632,Jimmy Walker,148.0,1332,9
63,0,40098,Matt Fitzpatrick,148.5,1188,8
64,0,28420,Ryan Brehm,149.1,1044,7
65,0,26851,Marc Leishman,152.0,1368,9
65,0,29518,Brendan Steele,152.0,1368,9
67,0,27770,Camilo Villegas,154.0,1386,9
68,0,37275,Sam Ryder,154.8,1548,10
69,0,23325,Vaughn Taylor,156.0,1404,9
70,0,49960,Sepp Straka,157.1,1728,11
71,0,49964,Aaron Wise,160.0,1440,9
72,0,22371,Aaron Baddeley,162.0,972,6
72,0,25364,Paul Casey,162.0,1296,8
72,0,46402,Talor Gooch,162.0,1620,10
72,0,49766,Hank Lebioda,162.0,1296,8
72,0,24502,Adam Scott,162.0,1296,8
77,0,27644,Brian Harman,163.6,1800,11
78,0,34431,Robert Streb,164.0,1476,9
79,0,26499,Rafa Cabrera Bello,166.5,1332,8
79,0,32150,Michael Thompson,166.5,1332,8
81,0,40026,Daniel Berger,168.0,1512,9
81,0,34363,Tyrrell Hatton,168.0,1008,6
83,0,37455,Si Woo Kim,169.2,1692,10
84,0,31557,Jim Herman,169.7,1188,7
85,0,30692,Scott Stallings,171.0,1368,8
86,0,29420,Billy Horschel,172.0,1548,9
87,0,31646,Emiliano Grillo,172.8,1728,10
88,0,29478,Kevin Kisner,175.5,1404,8
88,0,46442,Maverick McNealy,175.5,1404,8
90,0,25818,Scott Piercy,177.8,1422,8
91,0,12716,Charley Hoffman,178.2,1782,10
92,0,29479,Scott Brown,180.0,1440,8
92,0,32662,Michael Gligic,180.0,1440,8
92,0,35310,Lanto Griffin,180.0,1620,9
92,0,32448,James Hahn,180.0,1260,7
92,0,48119,Ben Taylor,180.0,900,5
92,0,37189,Harold Varner III,180.0,1620,9
98,0,29535,Brice Garnett,184.0,1656,9
99,0,40006,Erik van Rooyen,187.7,1314,7
100,0,39546,Keith Mitchell,189.0,1512,8
101,0,27095,Nick Watney,194.4,972,5
102,0,28775,Nate Lashley,195.4,1368,7
103,0,25396,Kevin Na,195.8,1566,8
104,0,46046,Scottie Scheffler,196.0,1764,9
105,0,33399,Adam Hadwin,198.0,1584,8
105,0,30944,Jason Kokrak,198.0,1584,8
