RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,47959,Bryson DeChambeau,26.32,379,1440,63
2,0,46970,Jon Rahm,25.83,358,1386,2
3,0,35891,Cameron Smith,25.54,377,1476,103
4,0,47504,Sam Burns,25.33,383,1512,52
5,0,28237,Rory McIlroy,25.30,337,1332,99
6,0,33448,Justin Thomas,25.00,378,1512,52
7,0,46046,Scottie Scheffler,24.89,439,1764,45
8,0,29221,Webb Simpson,24.85,331,1332,21
9,0,46717,Viktor Hovland,24.83,371,1494,34
10,0,34046,Jordan Spieth,24.81,393,1584,139
11,0,48081,Xander Schauffele,24.71,338,1368,33
12,0,34099,Harris English,24.52,406,1656,100
13,0,30925,Dustin Johnson,24.46,317,1296,79
14,0,45157,Cam Davis,24.35,412,1692,120
15,0,36689,Brooks Koepka,24.33,289,1188,47
16,0,30944,Jason Kokrak,24.31,385,1584,24
17,0,35450,Patrick Cantlay,24.29,341,1404,10
17,0,32757,Patton Kizzire,24.29,446,1836,55
19,0,40026,Daniel Berger,24.07,364,1512,7
20,0,29725,Tony Finau,23.95,388,1620,66
21,0,50525,Collin Morikawa,23.93,336,1404,5
22,0,12716,Charley Hoffman,23.91,426,1782,51
23,0,45526,Abraham Ancer,23.64,417,1764,22
24,0,23320,Ryan Palmer,23.57,314,1332,110
25,0,45486,Joaquin Niemann,23.47,431,1836,35
25,0,49964,Aaron Wise,23.47,338,1440,9
27,0,32839,Hideki Matsuyama,23.42,392,1674,69
28,0,31646,Emiliano Grillo,23.38,404,1728,3
29,0,39971,Sungjae Im,23.36,513,2196,27
30,0,33597,Harry Higgs,23.33,336,1440,163
31,0,31420,Anirban Lahiri,23.20,284,1224,137
32,0,48822,Sebastián Muñoz,23.15,425,1836,79
33,0,52375,Doug Ghim,23.13,358,1548,16
33,0,33419,Cameron Tringale,23.13,383,1656,58
35,0,21209,Sergio Garcia,23.12,308,1332,11
36,0,39997,Corey Conners,23.02,431,1872,13
37,0,34360,Patrick Reed,23.01,323,1404,184
38,0,27064,Jhonattan Vegas,22.98,364,1584,30
39,0,24502,Adam Scott,22.84,296,1296,117
40,0,25396,Kevin Na,22.73,356,1566,152
41,0,46442,Maverick McNealy,22.72,319,1404,85
42,0,52372,Cameron Champ,22.67,306,1350,91
43,0,33667,Carlos Ortiz,22.64,375,1656,69
44,0,49960,Sepp Straka,22.63,391,1728,75
45,0,28252,Seamus Power,22.61,236,1044,40
46,0,39977,Max Homa,22.55,349,1548,158
47,0,32448,James Hahn,22.54,284,1260,30
48,0,40098,Matt Fitzpatrick,22.47,267,1188,147
49,0,27214,Kevin Streelman,22.45,388,1728,23
50,0,56278,Matthew Wolff,22.42,222,990,128
51,0,27129,Luke List,22.41,359,1602,36
52,0,23621,Rory Sabbatini,22.37,302,1350,130
53,0,20229,Stewart Cink,22.35,362,1620,18
53,0,56762,Will Gordon,22.35,354,1584,60
55,0,27644,Brian Harman,22.33,402,1800,149
55,0,22405,Justin Rose,22.33,217,972,93
57,0,34363,Tyrrell Hatton,22.32,225,1008,158
58,0,25364,Paul Casey,22.30,289,1296,29
58,0,26329,Louis Oosthuizen,22.30,297,1332,57
60,0,37455,Si Woo Kim,22.22,376,1692,97
60,0,40006,Erik van Rooyen,22.22,292,1314,148
60,0,47483,Will Zalatoris,22.22,348,1566,17
63,0,34076,Joel Dahmen,22.09,326,1476,121
63,0,34264,Hudson Swafford,22.09,326,1476,50
65,0,34466,Peter Malnati,22.08,318,1440,173
66,0,35532,Tom Hoge,21.99,380,1728,176
67,0,33204,Shane Lowry,21.93,300,1368,38
68,0,47347,Adam Schenk,21.90,402,1836,59
69,0,27330,Josh Teater,21.88,189,864,72
70,0,39546,Keith Mitchell,21.83,330,1512,137
71,0,46402,Talor Gooch,21.73,352,1620,96
72,0,27942,Rob Oppenheim,21.70,289,1332,162
73,0,33141,Keegan Bradley,21.64,335,1548,12
73,0,24361,Pat Perez,21.64,374,1728,88
75,0,49766,Hank Lebioda,21.60,280,1296,26
76,0,33486,Roger Sloan,21.54,318,1476,32
77,0,25900,Lucas Glover,21.53,372,1728,77
78,0,19803,Ryan Armour,21.51,302,1404,71
79,0,27649,Brandt Snedeker,21.49,325,1512,143
80,0,36699,Patrick Rodgers,21.46,394,1836,66
81,0,25493,Nick Taylor,21.42,347,1620,105
81,0,37189,Harold Varner III,21.42,347,1620,54
83,0,29974,Branden Grace,21.40,312,1458,144
84,0,32070,Rafael Campos,21.39,231,1080,164
85,0,25818,Scott Piercy,21.38,304,1422,106
85,0,37275,Sam Ryder,21.38,331,1548,44
87,0,27556,Ted Potter Jr.,21.32,261,1224,178
88,0,36871,Matthew NeSmith,21.28,337,1584,4
89,0,27349,Alex Noren,21.27,314,1476,167
90,0,34255,Joseph Bramlett,21.23,298,1404,28
90,0,29478,Kevin Kisner,21.23,298,1404,127
92,0,34098,Russell Henley,21.16,320,1512,18
93,0,32816,Satoshi Kodaira,21.13,289,1368,122
94,0,30926,Chris Kirk,21.12,327,1548,38
95,0,31323,Gary Woodland,21.11,266,1260,171
96,0,34563,Chesson Hadley,21.06,273,1296,139
96,0,29420,Billy Horschel,21.06,326,1548,86
96,0,26331,Charl Schwartzel,21.06,326,1548,74
99,0,31560,Brian Stuard,21.05,394,1872,77
100,0,29479,Scott Brown,21.04,303,1440,135
101,0,32791,K.H. Lee,20.96,400,1908,150
102,0,35230,Nelson Ledesma,20.95,181,864,116
103,0,26300,Matt Jones,20.92,384,1836,101
103,0,32139,Danny Willett,20.92,177,846,192
105,0,32333,Kevin Tway,20.88,233,1116,65
106,0,32102,Rickie Fowler,20.87,293,1404,156
107,0,35310,Lanto Griffin,20.86,338,1620,124
108,0,22056,Cameron Percy,20.85,289,1386,1
109,0,35506,Mackenzie Hughes,20.80,337,1620,145
109,0,01810,Phil Mickelson,20.80,277,1332,169
109,0,30927,Brendon Todd,20.80,322,1548,129
112,0,35461,Beau Hossler,20.71,328,1584,118
113,0,25804,Bubba Watson,20.69,257,1242,49
114,0,24024,Zach Johnson,20.63,312,1512,73
114,0,27770,Camilo Villegas,20.63,286,1386,107
114,0,51894,Vince Whaley,20.63,297,1440,123
117,0,31557,Jim Herman,20.62,245,1188,79
118,0,49298,Kramer Hickok,20.61,256,1242,46
119,0,27936,Martin Laird,20.56,296,1440,18
120,0,36801,Mark Hubbard,20.54,355,1728,126
121,0,49771,J.T. Poston,20.50,310,1512,182
122,0,24138,Ian Poulter,20.45,265,1296,190
123,0,32150,Michael Thompson,20.42,272,1332,110
124,0,35658,Kris Ventura,20.40,257,1260,186
125,0,26851,Marc Leishman,20.39,279,1368,103
126,0,29268,Bronson Burgoon,20.37,264,1296,37
126,0,39953,Chase Seiffert,20.37,286,1404,76
128,0,29535,Brice Garnett,20.35,337,1656,43
129,0,40042,Tyler McCumber,20.34,249,1224,133
