RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
1,0,24024,Zach Johnson,+.609,46,+28.00
2,0,46717,Viktor Hovland,+.653,49,+32.00
3,0,27349,Alex Noren,+.660,47,+31.00
4,0,30927,Brendon Todd,+.670,106,+71.00
5,0,29908,C.T. Pan,+.672,64,+43.00
6,0,29420,Billy Horschel,+.675,77,+52.00
7,0,46442,Maverick McNealy,+.679,84,+57.00
8,0,29535,Brice Garnett,+.682,44,+30.00
9,0,33204,Shane Lowry,+.689,61,+42.00
10,0,45522,Christiaan Bezuidenhout,+.693,88,+61.00
11,0,51349,Nico Echavarria,+.694,72,+50.00
12,0,37455,Si Woo Kim,+.696,69,+48.00
13,0,35506,Mackenzie Hughes,+.700,110,+77.00
14,0,32367,Jorge Campillo,+.703,37,+26.00
15,0,25493,Nick Taylor,+.709,79,+56.00
16,0,35450,Patrick Cantlay,+.712,52,+37.00
17,0,33948,Byeong Hun An,+.721,68,+49.00
17,0,39971,Sungjae Im,+.721,68,+49.00
17,0,36884,Ben Kohles,+.721,61,+44.00
20,0,59143,Mac Meissner,+.722,54,+39.00
20,0,46046,Scottie Scheffler,+.722,36,+26.00
22,0,32839,Hideki Matsuyama,+.724,58,+42.00
23,0,29725,Tony Finau,+.734,64,+47.00
24,0,52375,Doug Ghim,+.736,53,+39.00
25,0,51977,Max Greyserman,+.739,88,+65.00
26,0,27649,Brandt Snedeker,+.743,70,+52.00
27,0,47483,Will Zalatoris,+.750,64,+48.00
28,0,48081,Xander Schauffele,+.756,45,+34.00
29,0,55182,Tom Kim,+.757,74,+56.00
29,0,47983,Chad Ramey,+.757,74,+56.00
29,0,48887,Matt Wallace,+.757,70,+53.00
32,0,52215,Robert MacIntyre,+.759,54,+41.00
32,0,34466,Peter Malnati,+.759,116,+88.00
34,0,27644,Brian Harman,+.760,100,+76.00
35,0,54591,Ben Griffin,+.763,80,+61.00
36,0,59442,Parker Coody,+.764,55,+42.00
36,0,48117,Kurt Kitayama,+.764,55,+42.00
38,0,31646,Emiliano Grillo,+.765,81,+62.00
39,0,28237,Rory McIlroy,+.766,64,+49.00
39,0,34256,Andrew Putnam,+.766,64,+49.00
41,0,56630,Akshay Bhatia,+.768,95,+73.00
41,0,52513,Carson Young,+.768,69,+53.00
43,0,34098,Russell Henley,+.772,57,+44.00
44,0,51634,Sahith Theegala,+.775,71,+55.00
44,0,40006,Erik van Rooyen,+.775,71,+55.00
46,0,40250,Taylor Pendrith,+.776,107,+83.00
47,0,47993,Denny McCarthy,+.777,94,+73.00
48,0,40026,Daniel Berger,+.778,54,+42.00
49,0,28775,Nate Lashley,+.779,68,+53.00
50,0,51766,Wyndham Clark,+.780,82,+64.00
51,0,47591,Eric Cole,+.782,133,+104.00
52,0,34076,Joel Dahmen,+.783,60,+47.00
53,0,51287,Ryo Hisatsune,+.785,65,+51.00
54,0,50525,Collin Morikawa,+.787,61,+48.00
54,0,57900,Chandler Phillips,+.787,75,+59.00
56,0,59095,Chris Gotterup,+.789,76,+60.00
57,0,47679,Victor Perez,+.792,72,+57.00
58,0,32757,Patton Kizzire,+.800,50,+40.00
58,0,49771,J.T. Poston,+.800,85,+68.00
58,0,50095,Austin Smotherman,+.800,35,+28.00
58,0,49960,Sepp Straka,+.800,60,+48.00
62,0,54783,Dylan Wu,+.804,92,+74.00
63,0,33486,Roger Sloan,+.806,67,+54.00
64,0,32102,Rickie Fowler,+.810,84,+68.00
64,0,27936,Martin Laird,+.810,58,+47.00
64,0,24502,Adam Scott,+.810,58,+47.00
64,0,39327,Ben Silverman,+.810,58,+47.00
68,0,48119,Ben Taylor,+.812,85,+69.00
69,0,32366,Kevin Chappell,+.818,55,+45.00
69,0,32333,Kevin Tway,+.818,44,+36.00
71,0,27129,Luke List,+.820,89,+73.00
72,0,36801,Mark Hubbard,+.824,85,+70.00
72,0,32791,K.H. Lee,+.824,68,+56.00
72,0,37378,Min Woo Lee,+.824,68,+56.00
75,0,32070,Rafael Campos,+.825,63,+52.00
75,0,52372,Cameron Champ,+.825,40,+33.00
77,0,23108,Matt Kuchar,+.830,88,+73.00
78,0,28089,Jason Day,+.831,59,+49.00
79,0,30163,Henrik Norlander,+.833,36,+30.00
79,0,46414,Aaron Rai,+.833,54,+45.00
81,0,33141,Keegan Bradley,+.835,85,+71.00
