RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF PUTTS,# OF HOLES
1,0,25834,Daniel Summerhays,1.546,1252,810
2,0,25396,Kevin Na,1.559,2414,1548
3,0,34466,Peter Malnati,1.560,2330,1494
4,0,48084,Wesley Bryan,1.561,1883,1206
5,0,01810,Phil Mickelson,1.562,2446,1566
6,0,40009,Dominic Bozzelli,1.566,1832,1170
7,0,28089,Jason Day,1.569,1920,1224
7,0,19846,Brian Gay,1.569,2853,1818
9,0,24846,Ricky Barnes,1.570,1667,1062
10,0,20593,Greg Chalmers,1.573,1472,936
11,0,34360,Patrick Reed,1.574,2436,1548
11,0,33448,Justin Thomas,1.574,2323,1476
11,0,25632,Jimmy Walker,1.574,2182,1386
14,0,35891,Cameron Smith,1.575,2212,1404
15,0,27556,Ted Potter Jr.,1.580,2475,1566
15,0,46501,Ollie Schniederjans,1.580,2474,1566
17,0,31416,Derek Fathauer,1.581,2277,1440
17,0,35532,Tom Hoge,1.581,2646,1674
17,0,28237,Rory McIlroy,1.581,1736,1098
20,0,30925,Dustin Johnson,1.582,2107,1332
20,0,29221,Webb Simpson,1.582,2619,1656
22,0,34409,David Lingmerth,1.583,2223,1404
22,0,08793,Tiger Woods,1.583,1937,1224
24,0,32876,Martin Piller,1.584,2196,1386
25,0,20472,Alex Cejka,1.585,1968,1242
26,0,39975,Michael Kim,1.586,1998,1260
27,0,29926,Danny Lee,1.587,2456,1548
28,0,34021,Bud Cauley,1.588,1515,954
28,0,33413,Ben Martin,1.588,1829,1152
30,0,24024,Zach Johnson,1.590,2490,1566
31,0,29461,Jamie Lovemark,1.591,2520,1584
31,0,34358,Jonathan Randolph,1.591,1861,1170
31,0,27649,Brandt Snedeker,1.591,2348,1476
34,0,26951,Johnson Wagner,1.592,1977,1242
35,0,28252,Seamus Power,1.593,2237,1404
35,0,22405,Justin Rose,1.593,1892,1188
37,0,23541,Ben Crane,1.594,1693,1062
37,0,37454,Whee Kim,1.594,2554,1602
39,0,46435,Austin Cook,1.596,3073,1926
39,0,10809,Jim Furyk,1.596,1379,864
39,0,29223,Sam Saunders,1.596,2126,1332
42,0,32640,Troy Merritt,1.597,2443,1530
42,0,26331,Charl Schwartzel,1.597,1667,1044
42,0,39327,Ben Silverman,1.597,2414,1512
45,0,34099,Harris English,1.598,2243,1404
45,0,36689,Brooks Koepka,1.598,1783,1116
47,0,27963,Chris Stroud,1.599,2101,1314
48,0,34174,John Huh,1.601,2594,1620
49,0,27936,Martin Laird,1.602,1874,1170
50,0,22371,Aaron Baddeley,1.603,2250,1404
50,0,23108,Matt Kuchar,1.603,2308,1440
52,0,39954,Cody Gribble,1.604,1877,1170
52,0,35421,Brandon Harkins,1.604,2742,1710
54,0,30926,Chris Kirk,1.605,3063,1908
55,0,45526,Abraham Ancer,1.606,2775,1728
55,0,29478,Kevin Kisner,1.606,2255,1404
55,0,27942,Rob Oppenheim,1.606,1966,1224
58,0,30978,Kiradech Aphibarnrat,1.607,1331,828
58,0,35461,Beau Hossler,1.607,3008,1872
58,0,35879,Kelly Kraft,1.607,2661,1656
58,0,23320,Ryan Palmer,1.607,1822,1134
62,0,46402,Talor Gooch,1.608,2084,1296
62,0,26851,Marc Leishman,1.608,2605,1620
62,0,34213,Grayson Murray,1.608,2084,1296
65,0,40058,Zac Blair,1.609,1680,1044
65,0,33410,Andrew Landry,1.609,2317,1440
65,0,27349,Alex Noren,1.609,1738,1080
65,0,24140,Sean O'Hair,1.609,1825,1134
65,0,24138,Ian Poulter,1.609,1854,1152
70,0,32102,Rickie Fowler,1.610,2145,1332
70,0,31420,Anirban Lahiri,1.610,2377,1476
70,0,28132,Tyrone Van Aswegen,1.610,2695,1674
73,0,34563,Chesson Hadley,1.611,2870,1782
73,0,37455,Si Woo Kim,1.611,3016,1872
75,0,27141,J.B. Holmes,1.612,2176,1350
75,0,26300,Matt Jones,1.612,1799,1116
75,0,24781,Hunter Mahan,1.612,1828,1134
78,0,29725,Tony Finau,1.613,2845,1764
79,0,31646,Emiliano Grillo,1.614,2672,1656
80,0,25364,Paul Casey,1.615,2064,1278
80,0,49771,J.T. Poston,1.615,2064,1278
80,0,23621,Rory Sabbatini,1.615,2587,1602
83,0,29222,Billy Hurley III,1.616,1862,1152
83,0,36699,Patrick Rodgers,1.616,2706,1674
83,0,34046,Jordan Spieth,1.616,2211,1368
86,0,27895,Jonas Blixt,1.617,1775,1098
86,0,29479,Scott Brown,1.617,2852,1764
86,0,25240,D.A. Points,1.617,1775,1098
86,0,31560,Brian Stuard,1.617,2824,1746
90,0,47125,Matt Atkins,1.618,1514,936
90,0,27958,Ryan Blaum,1.618,2272,1404
90,0,20157,Retief Goosen,1.618,1514,936
90,0,46601,Trey Mullinax,1.618,2010,1242
90,0,26476,Chez Reavie,1.618,2504,1548
95,0,46970,Jon Rahm,1.619,1923,1188
95,0,39328,Conrad Shindler,1.619,1632,1008
95,0,30692,Scott Stallings,1.619,2623,1620
95,0,49964,Aaron Wise,1.619,2565,1584
99,0,26596,Ryan Moore,1.620,2275,1404
99,0,23325,Vaughn Taylor,1.620,2303,1422
99,0,32333,Kevin Tway,1.620,3032,1872
102,0,47959,Bryson DeChambeau,1.621,2714,1674
102,0,48081,Xander Schauffele,1.621,2714,1674
104,0,24358,Robert Garrigus,1.622,2219,1368
104,0,34363,Tyrrell Hatton,1.622,1577,972
104,0,12716,Charley Hoffman,1.622,2335,1440
104,0,25572,Graeme McDowell,1.622,1723,1062
108,0,35376,Roberto Díaz,1.623,1986,1224
108,0,32839,Hideki Matsuyama,1.623,2103,1296
110,0,28307,Matt Every,1.624,2193,1350
110,0,24924,Bill Haas,1.624,2163,1332
110,0,27974,Sung Kang,1.624,2485,1530
110,0,26329,Louis Oosthuizen,1.624,1579,972
114,0,34076,Joel Dahmen,1.625,2487,1530
114,0,33399,Adam Hadwin,1.625,2604,1602
114,0,37278,Nicholas Lindheim,1.625,2018,1242
114,0,27095,Nick Watney,1.625,2633,1620
118,0,33418,Shawn Stefani,1.626,2166,1332
119,0,27644,Brian Harman,1.627,2636,1620
119,0,31202,William McGirt,1.627,2284,1404
119,0,24361,Pat Perez,1.627,2197,1350
119,0,25892,Steve Wheatcroft,1.627,1699,1044
123,0,33948,Byeong Hun An,1.628,2462,1512
123,0,19803,Ryan Armour,1.628,3136,1926
123,0,30911,Tommy Fleetwood,1.628,1934,1188
123,0,20572,Rod Pampling,1.628,1700,1044
127,0,28775,Nate Lashley,1.629,1378,846
127,0,25804,Bubba Watson,1.629,2317,1422
129,0,29535,Brice Garnett,1.630,2787,1710
129,0,29974,Branden Grace,1.630,1878,1152
131,0,28500,Martin Flores,1.631,2525,1548
131,0,22056,Cameron Percy,1.631,1468,900
131,0,34256,Andrew Putnam,1.631,2613,1602
131,0,47128,Richy Werenski,1.631,2701,1656
135,0,28679,Fabián Gómez,1.632,2468,1512
135,0,35506,Mackenzie Hughes,1.632,2232,1368
137,0,35310,Lanto Griffin,1.634,2177,1332
137,0,47993,Denny McCarthy,1.634,1853,1134
137,0,29484,Peter Uihlein,1.634,2294,1404
140,0,40026,Daniel Berger,1.635,2236,1368
140,0,27064,Jhonattan Vegas,1.635,2619,1602
142,0,27129,Luke List,1.636,2798,1710
142,0,47287,Ethan Tracy,1.636,2002,1224
144,0,26499,Rafa Cabrera Bello,1.637,2063,1260
144,0,29420,Billy Horschel,1.637,2416,1476
146,0,29485,Brett Stegmaier,1.638,1798,1098
146,0,25493,Nick Taylor,1.638,2653,1620
148,0,24925,Jonathan Byrd,1.639,1829,1116
148,0,32448,James Hahn,1.639,2419,1476
148,0,21961,Charles Howell III,1.639,2950,1800
151,0,20229,Stewart Cink,1.640,2569,1566
151,0,32757,Patton Kizzire,1.640,2628,1602
151,0,34431,Robert Streb,1.640,2184,1332
154,0,29268,Bronson Burgoon,1.642,2039,1242
154,0,50526,Tom Lovelady,1.642,2394,1458
154,0,37189,Harold Varner III,1.642,2631,1602
157,0,25686,Jason Dufner,1.643,1893,1152
158,0,26758,David Hearn,1.644,1775,1080
158,0,30944,Jason Kokrak,1.644,2929,1782
160,0,36799,Stephan Jaeger,1.645,2221,1350
160,0,22582,Kyle Thompson,1.645,1362,828
162,0,32366,Kevin Chappell,1.646,2193,1332
162,0,25198,Francesco Molinari,1.646,2074,1260
162,0,39324,J.J. Spaun,1.646,2341,1422
162,0,32150,Michael Thompson,1.646,1718,1044
166,0,25900,Lucas Glover,1.647,1808,1098
166,0,39546,Keith Mitchell,1.647,2876,1746
168,0,35545,Blayne Barber,1.648,1987,1206
168,0,29908,C.T. Pan,1.648,2907,1764
168,0,32254,Xinjun Zhang,1.648,2225,1350
171,0,33141,Keegan Bradley,1.649,2760,1674
171,0,27214,Kevin Streelman,1.649,2730,1656
173,0,33122,Russell Knox,1.650,2673,1620
174,0,12510,Chad Campbell,1.653,2350,1422
175,0,34098,Russell Henley,1.655,2205,1332
176,0,35450,Patrick Cantlay,1.656,2384,1440
176,0,33419,Cameron Tringale,1.656,1878,1134
178,0,39997,Corey Conners,1.658,2775,1674
179,0,25818,Scott Piercy,1.659,2389,1440
180,0,32816,Satoshi Kodaira,1.660,1434,864
180,0,37275,Sam Ryder,1.660,2390,1440
180,0,30110,Kyle Stanley,1.660,2630,1584
183,0,21528,Henrik Stenson,1.663,1676,1008
183,0,31323,Gary Woodland,1.663,2724,1638
185,0,47347,Adam Schenk,1.664,2396,1440
186,0,37338,Zecheng Dou,1.667,1470,882
187,0,34264,Hudson Swafford,1.668,2012,1206
188,0,33204,Shane Lowry,1.669,1682,1008
189,0,24502,Adam Scott,1.675,2352,1404
190,0,45609,Tyler Duncan,1.677,2808,1674
191,0,35544,Andrew Yun,1.678,1359,810
192,0,23353,J.J. Henry,1.687,2278,1350
192,0,29518,Brendan Steele,1.687,2034,1206
