RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
118,0,02214,Kirk Triplett,20' 6",1519.000,74,E
121,0,01706,Davis Love III,20' 7",2387.917,116,-7
121,0,01928,Corey Pavin,20' 7",1337.500,65,-4
123,0,23353,J.J. Henry,20' 8",2650.500,128,-10
123,0,26596,Ryan Moore,20' 8",2043.750,99,-15
123,0,22348,Nick O'Hern,20' 8",2834.333,137,+2
126,0,20850,Daniel Chopra,20' 9",2738.583,132,-19
126,0,25686,Jason Dufner,20' 9",2096.000,101,-18
126,0,20766,Padraig Harrington,20' 9",1327.000,64,-8
126,0,26851,Marc Leishman,20' 9",2326.000,112,-5
126,0,28620,Aron Price,20' 9",2053.417,99,-12
126,0,27770,Camilo Villegas,20' 9",1849.083,89,-1
132,0,01941,Tom Pernice Jr.,20' 11",1819.583,87,-7
133,0,27466,Spencer Levin,21' 0",2082.500,99,-15
133,0,24361,Pat Perez,21' 0",1638.667,78,-7
135,0,06004,Stephen Ames,21' 1",1599.500,76,-9
135,0,10117,Bob Heintz,21' 1",1559.500,74,-7
135,0,25345,Carl Pettersson,21' 1",2196.250,104,+1
135,0,26497,Casey Wittenberg,21' 1",1368.833,65,-4
135,0,31323,Gary Woodland,21' 1",1076.333,51,-6
140,0,01161,Mark Calcavecchia,21' 2",1757.250,83,-7
140,0,21731,Freddie Jacobson,21' 2",1966.667,93,-9
140,0,27936,Martin Laird,21' 2",1460.500,69,-9
140,0,21959,Ted Purdy,21' 2",2836.667,134,-18
140,0,28118,Peter Tomasulo,21' 2",1482.250,70,-2
140,0,27095,Nick Watney,21' 2",1968.250,93,-12
146,0,20593,Greg Chalmers,21' 3",1830.250,86,-16
146,0,26695,Michael Letzig,21' 3",2192.750,103,+1
146,0,26881,Jarrod Lyle,21' 3",1489.417,70,-7
146,0,22913,John Rollins,21' 3",2637.833,124,-14
150,0,28087,Kris Blanks,21' 4",1620.250,76,-6
150,0,09011,David Duval,21' 4",937.917,44,E
150,0,21878,Mark Wilson,21' 4",2219.333,104,-13
153,0,21949,Joe Ogilvie,21' 5",2159.833,101,-18
154,0,28780,Nicholas Thompson,21' 6",2603.833,121,-4
155,0,20229,Stewart Cink,21' 8",1816.917,84,-14
155,0,26420,Richard Johnson,21' 8",2296.750,106,-12
155,0,08075,Jerry Kelly,21' 8",2190.500,101,-17
155,0,26668,Marc Turnesa,21' 8",2123.000,98,-9
159,0,23778,Brad Adamonis,21' 9",2026.583,93,-6
159,0,24924,Bill Haas,21' 9",2416.833,111,-10
161,0,20691,Greg Owen,21' 10",2621.000,120,-15
161,0,26289,Boo Weekley,21' 10",1834.250,84,-12
163,0,28475,Jeff Overton,22' 0",2221.750,101,-17
164,0,20157,Retief Goosen,22' 1",1811.250,82,-13
165,0,27120,Troy Matteson,22' 3",3133.750,141,-19
166,0,01577,Lee Janzen,22' 4",1965.250,88,-19
166,0,27683,Leif Olson,22' 4",1361.417,61,+4
168,0,25240,D.A. Points,22' 6",2540.250,113,-16
169,0,01329,Brad Faxon,22' 7",1331.250,59,E
169,0,23623,Bo Van Pelt,22' 7",2781.083,123,-8
171,0,24449,Parker McLachlin,22' 8",1770.333,78,+1
172,0,20848,Ángel Cabrera,22' 9",955.167,42,-5
172,0,07457,Steve Flesch,22' 9",2410.000,106,-8
172,0,25818,Scott Piercy,22' 9",2135.167,94,-12
175,0,24502,Adam Scott,22' 10",1349.000,59,-9
176,0,25919,Brian Vranesh,23' 0",1267.083,55,-3
177,0,10585,Scott McCarron,23' 5",2368.083,101,-11
177,0,06539,Rick Price,23' 5",1007.667,43,-1
179,0,20070,Matt Bettencourt,23' 6",2960.583,126,-9
180,0,22405,Justin Rose,24' 1",1515.000,63,-1
181,0,23718,Nathan Green,24' 8",2764.000,112,-9
182,0,01707,Steve Lowery,25' 3",3252.167,129,-5
183,0,25562,Andres Romero,26' 1",1410.083,54,-5
184,0,26300,Matt Jones,26' 10",1743.250,65,-4
