RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
1,0,30925,Dustin Johnson,+2.13,69.48,71.61
2,0,28089,Jason Day,+2.12,69.71,71.83
3,0,28237,Rory McIlroy,+1.77,69.97,71.74
4,0,34046,Jordan Spieth,+1.65,69.72,71.37
5,0,01810,Phil Mickelson,+1.60,69.97,71.57
6,0,24502,Adam Scott,+1.59,69.80,71.39
7,0,21209,Sergio Garcia,+1.26,70.39,71.65
7,0,22405,Justin Rose,+1.26,70.66,71.92
9,0,25364,Paul Casey,+1.24,70.20,71.44
10,0,32839,Hideki Matsuyama,+1.23,70.15,71.38
11,0,36689,Brooks Koepka,+1.20,70.13,71.33
12,0,23108,Matt Kuchar,+1.18,70.04,71.22
13,0,32102,Rickie Fowler,+1.15,70.17,71.32
14,0,34360,Patrick Reed,+1.11,70.15,71.26
15,0,26331,Charl Schwartzel,+1.02,70.30,71.32
16,0,29974,Branden Grace,+.97,70.78,71.75
17,0,27649,Brandt Snedeker,+.96,70.22,71.18
18,0,31323,Gary Woodland,+.91,70.19,71.10
19,0,23320,Ryan Palmer,+.89,70.33,71.22
19,0,06527,Steve Stricker,+.89,69.98,70.87
21,0,40026,Daniel Berger,+.87,70.42,71.29
21,0,25804,Bubba Watson,+.87,70.54,71.41
23,0,21961,Charles Howell III,+.83,70.07,70.90
24,0,27141,J.B. Holmes,+.82,70.85,71.67
24,0,33122,Russell Knox,+.82,70.40,71.22
26,0,26596,Ryan Moore,+.79,70.23,71.02
26,0,25396,Kevin Na,+.79,70.27,71.06
28,0,20472,Alex Cejka,+.78,70.04,70.82
28,0,31202,William McGirt,+.78,70.39,71.17
30,0,24924,Bill Haas,+.74,70.71,71.45
31,0,32366,Kevin Chappell,+.71,70.55,71.26
31,0,10809,Jim Furyk,+.71,70.58,71.29
31,0,25900,Lucas Glover,+.71,70.33,71.04
31,0,29420,Billy Horschel,+.71,71.01,71.72
31,0,26329,Louis Oosthuizen,+.71,70.89,71.60
36,0,25686,Jason Dufner,+.70,70.27,70.97
37,0,25632,Jimmy Walker,+.69,70.55,71.24
38,0,32200,Roberto Castro,+.68,70.12,70.80
39,0,24024,Zach Johnson,+.66,70.41,71.07
40,0,25198,Francesco Molinari,+.62,70.69,71.31
40,0,29221,Webb Simpson,+.62,70.44,71.06
42,0,37455,Si Woo Kim,+.60,70.34,70.94
43,0,31646,Emiliano Grillo,+.59,70.74,71.33
43,0,26851,Marc Leishman,+.59,70.53,71.12
45,0,20157,Retief Goosen,+.58,70.91,71.49
45,0,30944,Jason Kokrak,+.58,70.60,71.18
47,0,29478,Kevin Kisner,+.57,70.49,71.06
48,0,34099,Harris English,+.56,70.66,71.22
49,0,33448,Justin Thomas,+.53,70.72,71.25
50,0,12510,Chad Campbell,+.52,70.29,70.81
50,0,26476,Chez Reavie,+.52,70.31,70.83
52,0,33399,Adam Hadwin,+.51,70.47,70.98
53,0,33204,Shane Lowry,+.49,71.50,71.99
54,0,34098,Russell Henley,+.48,70.34,70.82
54,0,29518,Brendan Steele,+.48,70.89,71.37
54,0,27064,Jhonattan Vegas,+.48,70.55,71.03
57,0,12716,Charley Hoffman,+.45,71.07,71.52
57,0,27129,Luke List,+.45,70.60,71.05
59,0,20645,John Senden,+.44,70.55,70.99
60,0,29461,Jamie Lovemark,+.43,70.70,71.13
60,0,24140,Sean O'Hair,+.43,70.39,70.82
62,0,29725,Tony Finau,+.42,70.75,71.17
63,0,25834,Daniel Summerhays,+.41,70.79,71.20
64,0,22371,Aaron Baddeley,+.40,70.53,70.93
64,0,26758,David Hearn,+.40,70.52,70.92
64,0,23800,Bryce Molder,+.40,70.69,71.09
67,0,36699,Patrick Rodgers,+.39,70.59,70.98
68,0,27214,Kevin Streelman,+.38,71.18,71.56
69,0,24846,Ricky Barnes,+.37,70.34,70.71
70,0,21731,Freddie Jacobson,+.36,70.62,70.98
70,0,27936,Martin Laird,+.36,70.64,71.00
70,0,26951,Johnson Wagner,+.36,70.50,70.86
73,0,33141,Keegan Bradley,+.35,70.77,71.12
73,0,30711,Colt Knost,+.35,70.85,71.20
73,0,25818,Scott Piercy,+.35,70.85,71.20
76,0,25349,Tim Wilkinson,+.34,70.41,70.75
77,0,46440,Smylie Kaufman,+.33,70.92,71.25
78,0,23983,Luke Donald,+.32,70.88,71.20
79,0,27644,Brian Harman,+.31,70.67,70.98
80,0,34264,Hudson Swafford,+.30,70.53,70.83
81,0,30926,Chris Kirk,+.28,70.86,71.14
82,0,29476,Kyle Reifers,+.27,70.72,70.99
83,0,24358,Robert Garrigus,+.26,70.37,70.63
83,0,27466,Spencer Levin,+.26,70.63,70.89
85,0,24357,K.J. Choi,+.24,70.93,71.17
85,0,32757,Patton Kizzire,+.24,71.06,71.30
85,0,34409,David Lingmerth,+.24,70.94,71.18
85,0,02206,David Toms,+.24,70.95,71.19
89,0,29222,Billy Hurley III,+.23,70.85,71.08
89,0,08075,Jerry Kelly,+.23,70.62,70.85
91,0,23541,Ben Crane,+.22,70.75,70.97
91,0,27436,Graham DeLaet,+.22,71.02,71.24
93,0,37189,Harold Varner III,+.21,71.08,71.29
94,0,25572,Graeme McDowell,+.20,71.20,71.40
95,0,20229,Stewart Cink,+.16,70.49,70.65
95,0,27974,Sung Kang,+.16,70.76,70.92
97,0,29926,Danny Lee,+.15,71.31,71.46
97,0,30692,Scott Stallings,+.15,70.81,70.96
99,0,29479,Scott Brown,+.13,70.91,71.04
99,0,26289,Boo Weekley,+.13,70.69,70.82
99,0,34265,Will Wilcox,+.13,70.97,71.10
102,0,23325,Vaughn Taylor,+.12,71.14,71.26
102,0,33419,Cameron Tringale,+.12,71.00,71.12
104,0,31420,Anirban Lahiri,+.11,71.30,71.41
104,0,30163,Henrik Norlander,+.11,70.66,70.77
106,0,20766,Padraig Harrington,+.09,70.93,71.02
106,0,27963,Chris Stroud,+.09,70.78,70.87
108,0,20098,Stuart Appleby,+.07,70.65,70.72
109,0,27895,Jonas Blixt,+.06,71.05,71.11
109,0,30110,Kyle Stanley,+.06,70.88,70.94
111,0,24507,Jason Bohn,+.05,70.72,70.77
111,0,34174,John Huh,+.05,70.80,70.85
111,0,29485,Brett Stegmaier,+.05,70.71,70.76
114,0,34262,Jon Curran,+.04,70.88,70.92
114,0,34431,Robert Streb,+.04,71.26,71.30
116,0,31557,Jim Herman,+.03,71.31,71.34
116,0,25493,Nick Taylor,+.03,70.85,70.88
118,0,35545,Blayne Barber,+.01,70.73,70.74
118,0,31416,Derek Fathauer,+.01,71.10,71.11
120,0,29268,Bronson Burgoon,-.01,70.95,70.94
120,0,32448,James Hahn,-.01,71.33,71.32
120,0,32150,Michael Thompson,-.01,70.79,70.78
123,0,35879,Kelly Kraft,-.02,70.81,70.79
123,0,06567,Vijay Singh,-.02,71.32,71.30
125,0,29289,S.Y. Noh,-.04,70.94,70.90
126,0,26300,Matt Jones,-.06,71.16,71.10
126,0,33410,Andrew Landry,-.06,70.92,70.86
