RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,30925,Dustin Johnson,53.12,477,898,-0.161
2,0,27141,J.B. Holmes,48.83,418,856,-0.079
3,0,25804,Bubba Watson,48.11,382,794,-0.191
4,0,25562,Andres Romero,46.70,283,606,-0.187
5,0,29718,Anthony Kim,45.02,380,844,-0.176
6,0,20848,Ángel Cabrera,44.92,239,532,-0.146
7,0,01810,Phil Mickelson,44.35,298,672,-0.114
8,0,27095,Nick Watney,44.08,417,946,-0.223
9,0,31323,Gary Woodland,43.88,226,515,-0.071
10,0,24358,Robert Garrigus,42.97,431,1003,-0.169
11,0,23497,Tag Ridings,41.93,239,570,-0.180
12,0,12716,Charley Hoffman,40.10,486,1212,-0.216
13,0,27936,Martin Laird,38.11,330,866,-0.209
14,0,27120,Troy Matteson,37.17,455,1224,-0.176
15,0,21805,Harrison Frazar,35.33,413,1169,-0.184
16,0,25818,Scott Piercy,35.07,371,1058,-0.218
17,0,20850,Daniel Chopra,34.68,404,1165,-0.136
18,0,24781,Hunter Mahan,34.10,358,1050,-0.251
19,0,26851,Marc Leishman,33.87,397,1172,-0.179
20,0,24140,Sean O'Hair,33.78,275,814,-0.196
20,0,23349,Charles Warren,33.78,250,740,-0.192
22,0,01706,Davis Love III,33.46,362,1082,-0.166
23,0,28089,Jason Day,33.09,231,698,-0.212
24,0,23621,Rory Sabbatini,33.08,309,934,-0.269
25,0,28475,Jeff Overton,32.64,346,1060,-0.225
26,0,01226,Fred Couples,32.25,189,586,-0.159
27,0,06567,Vijay Singh,32.17,231,718,-0.108
28,0,21209,Sergio Garcia,31.49,194,616,-0.175
29,0,22046,Geoff Ogilvy,31.13,254,816,-0.185
30,0,27214,Kevin Streelman,31.11,377,1212,-0.172
31,0,08793,Tiger Woods,31.10,209,672,-0.383
32,0,22913,John Rollins,30.88,340,1101,-0.203
33,0,27770,Camilo Villegas,30.84,243,788,-0.239
34,0,28158,Steve Marino,30.72,360,1172,-0.150
35,0,25900,Lucas Glover,30.22,333,1102,-0.153
36,0,26300,Matt Jones,30.19,189,626,-0.243
37,0,27683,Leif Olson,29.88,179,599,-0.128
