RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,12,01682,Wayne Levi,1.74,337,194
2,12,02146,Payne Stewart,1.72,331,192
3,12,02159,Curtis Strange,1.69,299,177
4,14,01226,Fred Couples,1.64,356,217
5,14,01042,Paul Azinger,1.61,363,225
6,14,02100,Tim Simpson,1.59,395,249
7,14,02133,Craig Stadler,1.58,311,197
8,14,02033,Dave Rummells,1.56,375,241
9,16,01633,Tom Kite,1.55,326,211
10,16,01331,Rick Fehr,1.54,274,178
11,17,01072,Chip Beck,1.50,293,195
11,17,01161,Mark Calcavecchia,1.50,322,214
11,17,01385,Jim Gallagher Jr.,1.50,391,260
11,17,01876,Greg Norman,1.50,250,167
15,19,01837,Gil Morgan,1.49,313,210
16,19,02170,Hal Sutton,1.48,356,240
17,21,02118,J.C. Snead,1.45,289,199
18,22,01475,Donnie Hammond,1.44,339,235
19,22,01527,Scott Hoch,1.43,333,233
19,22,02067,Ted Schulz,1.43,421,294
21,23,01690,Bruce Lietzke,1.42,258,182
21,23,01771,Blaine McCallister,1.42,385,271
23,23,01599,Steve Jones,1.41,357,254
24,23,01887,Mark O'Meara,1.40,328,234
25,24,02087,Don Shirey Jr.,1.39,305,220
26,25,01098,Jay Don Blake,1.38,325,236
26,25,01175,Jim Carter,1.38,366,265
26,25,02185,Lance Ten Broeck,1.38,267,194
29,26,01133,Billy Ray Brown,1.37,321,234
30,26,01129,Bill Britton,1.36,374,276
30,26,01557,John Inman,1.36,305,225
30,26,01968,Nick Price,1.36,353,259
33,26,01549,Mike Hulbert,1.34,415,310
33,26,01725,John Mahaffey,1.34,364,272
33,26,01926,Steve Pate,1.34,389,291
33,26,02010,Loren Roberts,1.34,374,280
37,26,01060,Dave Barr,1.33,316,237
37,26,01797,Rocco Mediate,1.33,357,269
37,26,02049,Gene Sauers,1.33,291,219
40,29,01143,Brad Bryant,1.32,380,287
40,29,01569,Peter Jacobsen,1.32,299,226
40,29,01938,David Peoples,1.32,218,165
43,29,01346,Ed Fiori,1.31,329,251
43,29,02242,Lanny Wadkins,1.31,286,219
45,29,01035,Tommy Armour III,1.30,378,291
45,29,01706,Davis Love III,1.30,309,237
47,30,01783,Mark McCumber,1.29,214,166
48,32,02279,Mark Wiebe,1.28,335,262
49,32,01154,Bill Buttner,1.27,279,220
49,32,01639,Kenny Knox,1.27,386,305
49,32,01715,Mark Lye,1.27,309,243
