RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S
1,0,10809,Jim Furyk,2980,3,7
2,0,23108,Matt Kuchar,2728,1,11,252
3,0,23983,Luke Donald,2700,0,7,280
4,0,12716,Charley Hoffman,2500,1,5,480
5,0,30925,Dustin Johnson,2493,2,7,487
6,0,25364,Paul Casey,2250,0,7,730
7,0,06527,Steve Stricker,2028,2,9,952
8,0,28089,Jason Day,1660,1,5,1320
9,0,06522,Ernie Els,1438,2,7,1542
10,0,20157,Retief Goosen,1360,0,10,1620
11,0,27936,Martin Laird,1005,0,3,1975
12,0,27095,Nick Watney,880,0,7,2100
13,0,01810,Phil Mickelson,843,1,6,2137
14,0,22046,Geoff Ogilvy,753,1,2,2227
15,0,24357,K.J. Choi,718,0,4,2262
15,0,22405,Justin Rose,718,2,4,2262
17,0,24024,Zach Johnson,683,1,3,2297
18,0,24781,Hunter Mahan,678,2,3,2302
19,0,24502,Adam Scott,640,1,4,2340
20,0,27770,Camilo Villegas,623,1,7,2357
21,0,26596,Ryan Moore,613,0,6,2367
22,0,25804,Bubba Watson,600,1,4,2380
23,0,23320,Ryan Palmer,595,1,4,2385
24,0,23135,Tim Clark,593,1,6,2387
25,0,27214,Kevin Streelman,583,0,5,2397
26,0,25396,Kevin Na,570,0,4,2410
27,0,23541,Ben Crane,550,1,5,2430
28,0,10885,Robert Allenby,500,0,4,2480
29,0,28475,Jeff Overton,480,0,6,2500
30,0,23623,Bo Van Pelt,445,0,6,2535
31,0,24924,Bill Haas,1565,1,2,3370
32,0,32102,Rickie Fowler,1564,0,5,3371
33,0,20160,Charlie Wi,1560,0,4,3375
34,0,27141,J.B. Holmes,1501,0,3,3434
35,0,23325,Vaughn Taylor,1495,0,6,3440
36,0,28237,Rory McIlroy,1489,1,5,3446
37,0,27649,Brandt Snedeker,1470,0,5,3465
38,0,20229,Stewart Cink,1448,0,3,3487
39,0,24138,Ian Poulter,1396,1,2,3539
40,0,25345,Carl Pettersson,1332,1,4,3603
41,0,29718,Anthony Kim,1328,1,4,3607
42,0,08793,Tiger Woods,1300,0,2,3635
43,0,08725,Tom Gillis,1276,0,3,3659
44,0,26851,Marc Leishman,1268,0,2,3667
45,0,26882,Michael Sim,1244,0,3,3691
46,0,22293,Heath Slocum,1222,0,4,3713
47,0,24140,Sean O'Hair,1206,0,3,3729
48,0,23621,Rory Sabbatini,1197,0,3,3738
49,0,23788,D.J. Trahan,1195,0,6,3740
50,0,20645,John Senden,1192,0,1,3743
51,0,23638,Brendon de Jonge,1170,0,6,3765
52,0,20098,Stuart Appleby,1157,1,3,3778
53,0,21753,Brian Davis,1149,0,2,3786
54,0,19846,Brian Gay,1142,0,2,3793
55,0,02206,David Toms,1118,0,1,3817
56,0,20593,Greg Chalmers,1113,0,2,3822
57,0,06567,Vijay Singh,1108,0,2,3827
58,0,21731,Freddie Jacobson,1101,0,3,3834
59,0,10860,Justin Leonard,1096,0,1,3839
60,0,23800,Bryce Molder,1088,0,6,3847
61,0,20848,Ángel Cabrera,1082,0,2,3853
62,0,24507,Jason Bohn,1079,1,2,3856
63,0,26300,Matt Jones,1035,0,5,3900
64,0,24846,Ricky Barnes,1027,0,6,3908
65,0,25686,Jason Dufner,1000,0,2,3935
66,0,01948,Tim Petrovic,937,0,2,3998
67,0,24663,Y.E. Yang,923,0,2,4012
68,0,06004,Stephen Ames,866,0,1,4069
69,0,25562,Andres Romero,853,0,2,4082
70,0,02239,Scott Verplank,813,0,3,4122
71,0,28087,Kris Blanks,794,0,3,4141
72,0,28158,Steve Marino,778,0,2,4157
73,0,20766,Padraig Harrington,772,0,5,4163
74,0,25900,Lucas Glover,770,0,3,4165
75,0,21961,Charles Howell III,764,0,4,4171
76,0,27330,Josh Teater,754,0,2,4181
77,0,22913,John Rollins,736,0,2,4199
78,0,21350,Ryuji Imada,720,0,2,4215
79,0,11123,Chris Couch,709,0,2,4226
80,0,01706,Davis Love III,708,0,3,4227
81,0,27466,Spencer Levin,673,0,1,4262
82,0,25240,D.A. Points,654,0,3,4281
83,0,08537,J.P. Hayes,652,0,3,4283
84,0,25632,Jimmy Walker,642,0,2,4293
85,0,29221,Webb Simpson,628,0,1,4307
86,0,23353,J.J. Henry,603,0,2,4332
87,0,06643,Paul Goydos,602,0,3,4333
88,0,06515,Shaun Micheel,600,0,3,4335
89,0,12510,Chad Campbell,598,0,2,4337
90,0,24361,Pat Perez,581,0,3,4354
91,0,27120,Troy Matteson,575,0,2,4360
92,0,01313,Steve Elkington,571,0,3,4364
93,0,01945,Kenny Perry,565,0,1,4370
94,0,22371,Aaron Baddeley,559,0,1,4376
95,0,29910,Blake Adams,556,0,2,4379
96,0,25720,Chad Collins,540,0,3,4395
97,0,30946,Alex Prugh,526,0,3,4409
98,0,26289,Boo Weekley,526,0,3,4409
99,0,20436,Garrett Willis,517,0,1,4418
100,0,20127,Chris Riley,512,0,3,4423
101,0,06595,Kevin Sutherland,499,0,1,4436
102,0,08075,Jerry Kelly,493,0,1,4442
103,0,20472,Alex Cejka,489,0,4,4446
104,0,27797,Derek Lamely,487,1,1,4448
105,0,24925,Jonathan Byrd,483,0,2,4452
106,0,20070,Matt Bettencourt,472,1,1,4463
107,0,24358,Robert Garrigus,469,0,2,4466
108,0,01724,Jeff Maggert,463,0,2,4472
109,0,21209,Sergio Garcia,461,0,1,4474
110,0,27933,John Merrick,459,0,1,4476
111,0,20498,Briny Baird,458,0,1,4477
112,0,21949,Joe Ogilvie,454,0,1,4481
113,0,23548,Bill Lunde,449,1,3,4486
114,0,12602,Dean Wilson,434,0,1,4501
115,0,01928,Corey Pavin,433,0,2,4502
116,0,01320,Bob Estes,432,0,2,4503
117,0,09011,David Duval,431,0,1,4504
118,0,12652,Cameron Beckman,427,1,2,4508
119,0,22621,Ben Curtis,416,0,1,4519
120,0,26695,Michael Letzig,415,0,1,4520
121,0,23718,Nathan Green,414,0,1,4521
122,0,26679,Kevin Stadler,394,0,4,4541
123,0,07867,Woody Austin,394,0,3,4541
124,0,27436,Graham DeLaet,393,0,1,4542
125,0,25818,Scott Piercy,380,0,2,4555
126,0,25190,Jeff Quinney,378,0,1,4557
127,0,27963,Chris Stroud,369,0,2,4566
128,0,10423,Mike Weir,360,0,1,4575
129,0,28620,Aron Price,358,0,2,4577
130,0,10585,Scott McCarron,354,0,1,4581
131,0,21878,Mark Wilson,343,0,1,4592
132,0,27060,John Mallinger,342,0,1,4593
133,0,23409,James Driscoll,340,0,1,4595
134,0,26301,James Nitties,338,0,1,4597
135,0,24490,George McNeill,338,0,1,4597
136,0,07749,Brett Quigley,336,0,1,4599
137,0,01941,Tom Pernice Jr.,331,0,1,4604
138,0,32640,Troy Merritt,331,0,1,4604
139,0,26420,Richard Johnson,323,0,2,4612
140,0,28307,Matt Every,322,0,1,4613
141,0,21528,Henrik Stenson,321,0,1,4614
142,0,06621,Joe Durant,321,0,1,4614
143,0,01766,Billy Mayfair,314,0,2,4621
144,0,23673,Michael Connell,314,0,1,4621
145,0,01116,Michael Bradley,306,0,4629
146,0,08375,Paul Stankowski,296,0,2,4639
147,0,06251,Chris DiMarco,286,0,1,4649
148,0,28780,Nicholas Thompson,284,0,1,4651
149,0,10425,Jay Williamson,280,0,1,4655
150,0,01577,Lee Janzen,280,0,1,4655
