RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,0,20396,Lee Westwood,1600,85
2,0,27408,Martin Kaymer,1053,242
3,0,25572,Graeme McDowell,794,113
4,0,26331,Charl Schwartzel,772,394
5,0,26329,Louis Oosthuizen,672,72
6,0,19970,Robert Karlsson,536,60
7,0,21407,Arjun Atwal,500,0
8,0,23814,Edoardo Molinari,387,48
9,0,22896,Grégory Havret,330,0
10,0,22792,Peter Hanson,279,155
11,0,25198,Francesco Molinari,275,113
12,0,27072,Alvaro Quiros,272,143
13,0,30852,Ryo Ishikawa,224,86
14,0,27506,Oliver Wilson,208,141
15,0,10117,Bob Heintz,188,0
16,0,24511,Thongchai Jaidee,184,115
17,0,19958,Miguel Angel Jiménez,184,74
18,0,22986,Søren Kjeldsen,177,34
19,0,24748,WC Liang,169,38
20,0,26908,Yuta Ikeda,145,72
21,0,24512,Simon Dyson,132,42
22,0,27896,Ross Fisher,132,69
23,0,30004,Ross McGowan,129,100
24,0,20376,Stephen Gallacher,98,0
25,0,26539,Robert Rock,91,0
26,0,25336,Alistair Presnell,90,90
27,0,23624,Soren Hansen,75,75
28,0,29223,Sam Saunders,71,0
29,0,20859,Anders Hansen,71,71
30,0,29289,S.Y. Noh,69,0
31,0,25191,Gonzalo Fernandez-Castaño,66,31
32,0,24957,Simon Khan,60,1
33,0,24494,Erik Compton,56,0
34,0,20473,Ignacio Garrido,55,0
35,0,20104,Ken Duke,47,0
36,0,19825,Darren Clarke,46,0
37,0,26500,Alejandro Cañizares,45,0
38,0,30909,David Horsey,42,1
39,0,30110,Kyle Stanley,42,0
40,0,28258,K.T. Kim,40,0
40,0,27349,Alex Noren,40,40
42,0,22983,Bradley Dredge,40,0
42,0,23481,Marcel Siem,40,0
44,0,20213,Katsumasa Miyamoto,36,36
45,0,06573,Brandt Jobe,35,0
46,0,23497,Tag Ridings,34,0
47,0,28486,Michael Putnam,32,0
48,0,33204,Shane Lowry,31,0
48,0,25734,Colm Moriarty,31,0
50,0,32495,Rob Grube,29,0
50,0,33399,Adam Hadwin,29,0
50,0,27768,Brock Mackenzie,29,0
53,0,32698,Bobby Gates,28,0
54,0,07707,Mike Small,27,0
55,0,31114,Drew Weaver,27,0
56,0,21633,Steve Allan,26,0
57,0,20121,Todd Fischer,24,0
58,0,22000,Chris Wood,23,23
59,0,32416,Benjamin Fox,22,0
60,0,29461,Jamie Lovemark,22,0
60,0,27064,Jhonattan Vegas,22,0
62,0,25842,Jon Mills,21,0
62,0,34478,Jerry Richardson Jr.,21,0
64,0,23540,Jason Allred,19,0
64,0,26499,Rafa Cabrera Bello,19,0
64,0,31557,Jim Herman,19,0
67,0,08635,Colin Montgomerie,18,0
68,0,23699,Danny Chia,14,0
68,0,23984,Zane Scotland,14,0
70,0,27324,Seungsu Han,14,0
70,0,12662,Thomas Levet,14,0
70,0,19985,Santiago Luna,14,0
73,0,26525,Grégory Bourdy,13,2
73,0,20935,Toru Taniguchi,13,0
75,0,28860,Daniel Barbetti,11,0
75,0,24083,Marcus Fraser,11,11
75,0,21284,Hiroyuki Fujita,11,0
75,0,23465,Peter Gustafsson,11,0
75,0,32532,Manuel Villegas,11,0
80,0,30924,Rhys Davies,10,1
81,0,33451,Matt Hill,10,0
82,0,20367,Fredrik Andersson Hed,10,0
83,0,24786,Jeff Burns,10,0
84,0,25457,Alexandre Rocha,9,0
85,0,20669,James Kingston,8,8
85,0,02076,Peter Senior,8,0
87,0,21660,Jason Schultz,7,0
88,0,31141,Gareth Maybin,6,0
88,0,31437,Chris Rogers,6,0
90,0,22400,Hennie Otto,5,5
91,0,29222,Billy Hurley III,4,0
92,0,25431,Rob Labritz,3,0
92,0,25398,Ryuichi Oda,3,0
94,0,32874,Erick Justesen,2,0
95,0,12682,Hirofumi Miyase,2,0
95,0,27821,Steven Tiley,2,0
97,0,26497,Casey Wittenberg,1,0
98,0,19905,Andrew Coltart,1,0
98,0,23633,Phil Schmitt,1,0
100,0,32831,Aaron Goldberg,1,0
101,0,24461,Thomas Aiken,1,0
102,0,33168,Michael O'Neal,1,0
102,0,28302,Matthew Richardson,1,0
102,0,33788,Blake Trimble,1,0
105,0,20596,Michael Jonzon,1,1
106,0,29425,Andrew Svoboda,1,0
107,0,20567,Kevin Hayashi,1,0
108,0,25450,Ty Tryon,1,0
109,0,33120,Mark Anderson,1,0
110,0,25972,Pablo Martin Benavides,1,0
110,0,34257,Jason Preeo,1,0
