RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
1,0,30978,Kiradech Aphibarnrat,$1275484,48473383,79075000
2,0,45486,Joaquin Niemann,$1209957,120995739
3,0,40098,Matt Fitzpatrick,$830394,44821500,38217857
4,0,33968,Thorbjørn Olesen,$759067,17706666,58200000
5,0,45478,Julian Suri,$562166,48473717,7742857
6,0,35947,John Oda,$559685,55968500
7,0,35296,Haotong Li,$544006,32363057,22037500
8,0,47504,Sam Burns,$495916,49591628
9,0,46567,Paul Dunne,$468938,29793750,17100000
10,0,29970,Dylan Frittelli,$454677,33117666,12350000
11,0,29454,Bernd Wiesberger,$428632,9377500,33485714
12,0,39113,Shubhankar Sharma,$370607,9135683,27925000
13,0,35225,Brandon Stone,$364939,21306414,15187500
14,0,34709,Eddie Pepperell,$348317,34831666
15,0,34414,Chris Paisley,$289900,21690000,7300000
16,0,52330,Dylan Meyer,$275109,27510880
17,0,35541,John Peterson,$251925,25192488
18,0,29936,Ryan Fox,$217903,16040325,5750000
19,0,26908,Yuta Ikeda,$208922,6399300,14492857
20,0,36326,David Lipsky,$194950,8120000,11375000
21,0,39953,Chase Seiffert,$189000,18900000
22,0,29378,Daisuke Kataoka,$183363,7546286,10790000
23,0,47574,Scott Strohmeyer,$177733,17773333
24,0,31273,Gavin Kyle Green,$175285,5928450,11600000
25,0,51394,A.J. McInerney,$164923,16492333
26,0,23821,Yusaku Miyazato,$156336,4862200,10771428
27,0,39384,Alex Kang,$150733,15073334
28,0,47989,Sam Horsfield,$137950,13795000
29,0,34579,Alexander Levy,$137500,0,13750000
30,0,27324,Seungsu Han,$132603,13260333
31,0,26341,Wade Ormsby,$129750,0,12975000
32,0,52375,Doug Ghim,$116527,11652700
33,0,26418,Adam Bland,$114500,0,11450000
34,0,48887,Matt Wallace,$113125,11312500
35,0,39480,T.J. Vogel,$110021,11002084
36,0,40006,Erik van Rooyen,$109714,10971400
37,0,33974,Dean Burmester,$106854,2542560,8142857
38,0,35174,Matthew Southgate,$103750,2425000,7950000
39,0,46442,Maverick McNealy,$103624,10362370
40,0,34541,Poom Saksansin,$101900,2240000,7950000
41,0,32367,Jorge Campillo,$91000,0,9100000
42,0,21498,Hideto Tanihara,$90250,0,9025000
42,0,33870,Ashun Wu,$90250,0,9025000
44,0,25203,SSP Chawrasia,$86280,1428000,7200000
45,0,47239,Phachara Khongwatmai,$86200,2870000,5750000
46,0,32139,Danny Willett,$84000,8400000
47,0,33227,Hyun-woo Ryu,$79500,0,7950000
48,0,48153,Matthieu Pavon,$79200,7920028
49,0,23797,Brett Rumford,$77817,2531700,5250000
50,0,22000,Chris Wood,$73953,7395300
51,0,28300,Joost Luiten,$73000,0,7300000
52,0,51766,Wyndham Clark,$68800,6880000
53,0,37249,Ryuko Tokimatsu,$66250,0,6625000
54,0,29772,Michael Lorenzo-Vera,$65725,2010000,4562500
55,0,24748,WC Liang,$64500,0,6450000
55,0,35912,Haydn Porteous,$64500,0,6450000
55,0,24459,Richard Sterne,$64500,0,6450000
58,0,28258,K.T. Kim,$62900,6290000
59,0,29531,Richie Ramsay,$60500,0,6050000
60,0,23063,Scott Hend,$60400,1365000,4675000
61,0,34310,Alexander Björk,$59250,0,5925000
62,0,29939,Fabrizio Zanotti,$59180,730500,5187500
63,0,45157,Cam Davis,$56555,5655500
64,0,30261,Ryan Yip,$55889,5588857
65,0,47988,Nick Hardy,$54120,5412000
66,0,30736,Oscar Fraustro,$50804,5080444
67,0,34587,Chan Kim,$48250,0,4825000
67,0,46464,Jordan L Smith,$48250,0,4825000
69,0,24321,Kodai Ichihara,$47000,0,4700000
70,0,29334,Jaco Ahlers,$46500,0,4650000
71,0,29930,Mike Hendry,$46125,0,4612500
72,0,31670,Matthew Griffin,$45625,0,4562500
73,0,23969,Graeme Storm,$44625,0,4462500
74,0,33115,Jinho Choi,$44516,4451563
75,0,36528,Yanwei Liu,$44250,0,4425000
76,0,37452,Ashley Hall,$44000,0,4400000
77,0,25349,Tim Wilkinson,$43927,4392683
78,0,28751,Andrew Dodt,$43750,0,4375000
79,0,34697,Yi Cao,$43250,0,4325000
80,0,32815,Masahiro Kawamura,$41375,4137500
81,0,27330,Josh Teater,$40040,4004000
82,0,40042,Tyler McCumber,$39000,3900000
83,0,54926,George Cunningham,$37743,3774250
84,0,20396,Lee Westwood,$37637,3763700
85,0,53165,Doc Redman,$36841,3684112
86,0,39251,Ryan Ruffels,$33394,3339350
87,0,39971,Sungjae Im,$33281,3328125
87,0,55752,Ben Kern,$33281,3328125
89,0,39524,Sean Crocker,$31000,3100000
89,0,35104,Tom Lewis,$31000,3100000
91,0,34554,Jung-gon Hwang,$30525,3052500
92,0,47238,Jazz Janewattananond,$28700,2870000
93,0,39004,Dru Love,$27305,2730500
94,0,39058,Lucas Herbert,$27161,2716100
95,0,33486,Roger Sloan,$26040,2604000
96,0,55412,Mickey DeMorat,$25426,2542560
96,0,39537,Chris Naegel,$25426,2542560
98,0,46404,Marcus Kinhult,$25317,2531700
98,0,26328,Shaun Norris,$25317,2531700
100,0,46046,Scottie Scheffler,$25080,2508000
101,0,48126,Calum Hill,$24692,2469200
102,0,36852,Jim Knous,$24480,2448000
102,0,51600,Jimmy Stanger,$24480,2448000
104,0,30907,Rhys Enoch,$24250,2425000
104,0,37447,Zander Lombard,$24250,2425000
106,0,36685,Cameron Wilson,$23959,2395900
107,0,32791,K.H. Lee,$23759,2375928
108,0,22080,Prayad Marksaeng,$22400,2240000
109,0,55573,John VanDerLaan,$21700,2170000
110,0,33667,Carlos Ortiz,$20789,2078880
111,0,27081,Seunghyuk Kim,$20628,2062750
111,0,36521,Young-han Song,$20628,2062750
113,0,35834,Hyungjoon Lee,$20350,2035000
114,0,34575,Adrian Otaegui,$20100,2010000
115,0,37380,Curtis Luck,$19491,1949100
116,0,46458,Andrew Dorn,$19046,1904600
117,0,47443,Junghwan Lee,$18038,1803750
118,0,48822,Sebastián Muñoz,$17675,1767500
119,0,39958,Jeunghun Wang,$17575,1757500
120,0,31109,Richard Lee,$16847,1684667
121,0,32698,Bobby Gates,$16083,1608250
122,0,26444,Juvic Pagunsan,$15540,1554000
123,0,51890,Greyson Sigg,$15302,1530160
124,0,51922,Sulman Raza,$15300,1530000
125,0,28593,Jesse Mueller,$15028,1502800
126,0,23409,James Driscoll,$14910,1491000
127,0,47483,Will Zalatoris,$14874,1487400
128,0,51997,Andrew Novak,$14850,1485000
129,0,23699,Danny Chia,$14770,1477000
130,0,50092,Zach Wright,$14632,1463200
131,0,24155,Ryan Hogue,$14348,1434800
132,0,28114,Dawie van der Walt,$14210,1421000
133,0,32775,Shugo Imahira,$14198,1419800
134,0,54781,Grant Hirschman,$14190,1419000
135,0,30163,Henrik Norlander,$14012,1401200
136,0,28420,Ryan Brehm,$13856,1385625
137,0,26497,Casey Wittenberg,$13464,1346400
138,0,32105,Nicholas Fung,$13160,1316000
139,0,39436,Joshua Creel,$12958,1295800
140,0,21633,Steve Allan,$12338,1233800
141,0,48319,Tom Whitney,$12095,1209500
142,0,52372,Cameron Champ,$11966,1196600
143,0,10375,Sean McCarty,$10730,1073000
144,0,49947,Taylor Moore,$9861,986133
144,0,27139,David Skinns,$9861,986133
146,0,27466,Spencer Levin,$9331,933100
147,0,28780,Nicholas Thompson,$8944,894400
148,0,35237,Santiago Rivas,$8784,878400
149,0,26392,Chris Wilson,$8733,873250
150,0,49403,Grady Brame,$8686,868600
151,0,51567,Will Cannon,$7840,784000
151,0,55420,Cooper Musselman,$7840,784000
153,0,55421,Chip McDaniel,$7595,759500
154,0,35819,Vince India,$7305,730500
155,0,54871,Grant Booth,$7174,717400
156,0,36724,Augusto Núñez,$6480,648000
157,0,33951,Julio Santos,$5760,576000
