RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,06621,Joe Durant,4.27,43,1007,+0.93
2,0,01219,John Cook,4.95,50,1011,+1.20
3,0,01381,Fred Funk,5.19,74,1426,+1.49
3,0,02239,Scott Verplank,5.19,56,1080,+1.79
5,0,01724,Jeff Maggert,5.44,54,993,+1.30
6,0,01014,Fulton Allem,5.49,46,838,+2.17
7,0,10809,Jim Furyk,5.81,58,999,+0.69
8,0,22293,Heath Slocum,5.96,65,1090,+1.08
9,0,01928,Corey Pavin,5.98,55,919,+2.18
10,0,12660,Jesper Parnevik,6.04,56,927,+2.86
11,0,01226,Fred Couples,6.06,44,726,+1.82
12,0,06078,Esteban Toledo,6.09,80,1314,+2.13
13,0,01766,Billy Mayfair,6.18,69,1117,+2.17
14,0,01677,Tom Lehman,6.25,49,784,+0.41
15,0,06643,Paul Goydos,6.42,53,826,+2.08
15,0,02214,Kirk Triplett,6.42,58,904,+1.03
17,0,02133,Craig Stadler,6.43,50,778,+2.80
18,0,01569,Peter Jacobsen,6.53,57,873,+0.70
19,0,01139,Olin Browne,6.60,90,1364,+1.56
20,0,08931,Glen Day,6.63,90,1358,+2.22
21,0,06004,Stephen Ames,6.70,73,1090,+0.14
22,0,01361,Dan Forsman,6.92,74,1070,+0.41
23,0,23338,David Gossett,6.94,85,1225,+0.71
24,0,01666,Bernhard Langer,6.95,37,532,+1.35
25,0,01968,Nick Price,7.01,51,728,+1.96
26,0,07721,Pat Bates,7.03,86,1223,+0.58
27,0,08545,Glen Hnatiuk,7.09,89,1256,+1.46
28,0,22913,John Rollins,7.10,111,1564,+1.35
29,0,08553,Lee Porter,7.13,81,1136,+3.33
30,0,01553,John Huston,7.17,88,1227,-0.68
31,0,20566,Kaname Yokoo,7.18,68,947,+1.03
32,0,02170,Hal Sutton,7.26,64,881,+0.47
33,0,10860,Justin Leonard,7.32,78,1066,+2.05
34,0,20498,Briny Baird,7.37,107,1452,+1.03
35,0,23108,Matt Kuchar,7.38,70,948,+0.71
36,0,24361,Pat Perez,7.46,78,1045,+1.03
37,0,07457,Steve Flesch,7.48,97,1297,+2.37
38,0,01175,Jim Carter,7.50,88,1174,+0.45
39,0,01771,Blaine McCallister,7.51,72,959,+1.53
39,0,02002,John Riegger,7.51,84,1118,+0.60
41,0,08633,Per-Ulrik Johansson,7.53,87,1156,+1.26
42,0,01457,Jay Haas,7.58,77,1016,+2.73
43,0,02257,Brian Watts,7.59,57,751,+1.05
44,0,06251,Chris DiMarco,7.62,94,1234,+0.53
45,0,01475,Donnie Hammond,7.63,57,747,+2.11
46,0,20634,Peter Lonard,7.65,84,1098,+0.95
