RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
1,0,06140,Sean Murphy,2.000,4,2
2,0,20593,Greg Chalmers,2.333,14,6
3,0,25083,Jeremy Anderson,2.500,10,4
3,0,20433,Mark Hensby,2.500,5,2
5,0,01666,Bernhard Langer,2.615,34,13
6,0,06527,Steve Stricker,2.625,21,8
7,0,22051,Ben Ferguson,2.667,8,3
7,0,06514,Kevin Johnson,2.667,8,3
9,0,01527,Scott Hoch,2.700,27,10
10,0,02110,Jerry Smith,2.727,30,11
11,0,10809,Jim Furyk,2.733,41,15
12,0,06350,Bob May,2.750,22,8
12,0,01920,Craig Parry,2.750,22,8
14,0,10457,Frank Nobilo,2.769,36,13
15,0,01619,Skip Kendall,2.773,61,22
16,0,01035,Tommy Armour III,2.789,53,19
16,0,09011,David Duval,2.789,53,19
18,0,10962,Bradley Hughes,2.800,42,15
18,0,06595,Kevin Sutherland,2.800,56,20
20,0,02206,David Toms,2.813,45,16
21,0,06004,Stephen Ames,2.818,31,11
21,0,08931,Glen Day,2.818,62,22
21,0,01374,Robin Freeman,2.818,31,11
21,0,01797,Rocco Mediate,2.818,31,11
21,0,10425,Jay Williamson,2.818,31,11
26,0,01968,Nick Price,2.824,48,17
27,0,07867,Woody Austin,2.833,34,12
27,0,01677,Tom Lehman,2.833,51,18
27,0,02010,Loren Roberts,2.833,34,12
30,0,01378,David Frost,2.846,37,13
31,0,01707,Steve Lowery,2.852,77,27
32,0,07003,David Berganio Jr.,2.857,40,14
32,0,06036,Scott Dunlap,2.857,20,7
34,0,01577,Lee Janzen,2.870,66,23
35,0,20229,Stewart Cink,2.875,92,32
36,0,10885,Robert Allenby,2.882,49,17
36,0,01042,Paul Azinger,2.882,49,17
36,0,20498,Briny Baird,2.882,49,17
39,0,06567,Vijay Singh,2.885,75,26
40,0,12760,Danny Ellis,2.889,52,18
40,0,20566,Kaname Yokoo,2.889,52,18
42,0,01685,J.L. Lewis,2.895,55,19
43,0,01132,Mark Brooks,2.900,29,10
43,0,01307,Joel Edwards,2.900,58,20
43,0,01381,Fred Funk,2.900,58,20
46,0,01706,Davis Love III,2.906,93,32
47,0,19972,José Coceres,2.909,64,22
47,0,01249,John Daly,2.909,32,11
47,0,02214,Kirk Triplett,2.909,32,11
47,0,02223,Bob Tway,2.909,64,22
51,0,12660,Jesper Parnevik,2.913,67,23
52,0,01226,Fred Couples,2.917,35,12
52,0,21209,Sergio Garcia,2.917,35,12
54,0,10423,Mike Weir,2.929,41,14
54,0,08793,Tiger Woods,2.929,41,14
56,0,01724,Jeff Maggert,2.938,47,16
57,0,12652,Cameron Beckman,2.941,50,17
57,0,20094,Jonathan Kaye,2.941,50,17
57,0,20127,Chris Riley,2.941,50,17
60,0,01203,Russ Cochran,2.944,53,18
60,0,02002,John Riegger,2.944,53,18
62,0,01098,Jay Don Blake,2.955,65,22
63,0,23621,Rory Sabbatini,2.958,71,24
64,0,06251,Chris DiMarco,2.966,86,29
65,0,21633,Steve Allan,3.000,9,3
65,0,01024,Billy Andrade,3.000,21,7
65,0,23614,Rich Beem,3.000,6,2
65,0,01139,Olin Browne,3.000,51,17
65,0,06809,Bob Burns,3.000,51,17
65,0,24357,K.J. Choi,3.000,15,5
65,0,01219,John Cook,3.000,51,17
65,0,21584,Richie Coughlan,3.000,9,3
65,0,19881,Robert Damron,3.000,39,13
65,0,06522,Ernie Els,3.000,42,14
65,0,12823,Carlos Franco,3.000,36,12
65,0,21805,Harrison Frazar,3.000,33,11
65,0,01388,Robert Gamez,3.000,6,2
65,0,12645,Brent Geiberger,3.000,30,10
65,0,01418,Bill Glasson,3.000,42,14
65,0,20574,Mathew Goggin,3.000,48,16
65,0,21806,Paul Gow,3.000,18,6
65,0,10963,Jimmy Green,3.000,48,16
65,0,08063,Kelly Grunewald,3.000,12,4
65,0,24604,Hunter Haas,3.000,12,4
