RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,30911,Tommy Fleetwood,67.98,259,381
2,0,29221,Webb Simpson,66.88,321,480
3,0,35450,Patrick Cantlay,66.12,281,425
4,0,22371,Aaron Baddeley,65.84,239,363
5,0,25900,Lucas Glover,64.73,334,516
6,0,26300,Matt Jones,64.55,326,505
7,0,39971,Sungjae Im,64.53,444,688
8,0,06522,Ernie Els,64.38,206,320
9,0,47993,Denny McCarthy,64.31,319,496
9,0,31560,Brian Stuard,64.31,382,594
11,0,24925,Jonathan Byrd,64.17,197,307
12,0,32839,Hideki Matsuyama,64.12,311,485
13,0,10809,Jim Furyk,64.10,241,376
14,0,34021,Bud Cauley,64.05,310,484
15,0,30978,Kiradech Aphibarnrat,64.02,274,428
16,0,26851,Marc Leishman,64.00,272,425
17,0,25818,Scott Piercy,63.93,296,463
18,0,23621,Rory Sabbatini,63.90,354,554
19,0,19803,Ryan Armour,63.87,343,537
20,0,29908,C.T. Pan,63.71,337,529
21,0,23325,Vaughn Taylor,63.54,345,543
22,0,37455,Si Woo Kim,63.51,329,518
23,0,36799,Stephan Jaeger,63.45,276,435
24,0,25632,Jimmy Walker,63.40,298,470
25,0,28237,Rory McIlroy,63.38,244,385
26,0,23108,Matt Kuchar,63.04,278,441
26,0,27649,Brandt Snedeker,63.04,394,625
28,0,25198,Francesco Molinari,62.99,223,354
28,0,34360,Patrick Reed,62.99,337,535
30,0,21961,Charles Howell III,62.94,304,483
30,0,35732,Wes Roach,62.94,231,367
32,0,37275,Sam Ryder,62.89,261,415
33,0,49771,J.T. Poston,62.83,360,573
34,0,32150,Michael Thompson,62.79,275,438
35,0,34098,Russell Henley,62.69,252,402
36,0,34466,Peter Malnati,62.64,337,538
37,0,29970,Dylan Frittelli,62.63,290,463
38,0,49303,Anders Albertson,62.37,232,372
39,0,32200,Roberto Castro,62.35,255,409
40,0,47959,Bryson DeChambeau,62.33,273,438
41,0,21528,Henrik Stenson,62.30,190,305
42,0,36689,Brooks Koepka,62.25,249,400
43,0,48081,Xander Schauffele,62.23,262,421
44,0,25572,Graeme McDowell,62.22,280,450
45,0,29725,Tony Finau,62.20,306,492
46,0,33122,Russell Knox,62.09,249,401
46,0,22405,Justin Rose,62.09,244,393
48,0,28775,Nate Lashley,62.06,247,398
49,0,34046,Jordan Spieth,62.00,328,529
50,0,45526,Abraham Ancer,61.98,326,526
51,0,24024,Zach Johnson,61.95,267,431
52,0,40026,Daniel Berger,61.84,256,414
53,0,24361,Pat Perez,61.76,239,387
54,0,46523,Joey Garber,61.74,213,345
55,0,24924,Bill Haas,61.73,271,439
56,0,19846,Brian Gay,61.65,352,571
57,0,30191,Julián Etulain,61.59,263,427
58,0,33418,Shawn Stefani,61.56,253,411
59,0,29420,Billy Horschel,61.38,329,536
60,0,33448,Justin Thomas,61.32,233,380
61,0,51766,Wyndham Clark,61.23,319,521
62,0,23353,J.J. Henry,61.22,191,312
63,0,33419,Cameron Tringale,61.13,217,355
64,0,29478,Kevin Kisner,61.06,312,511
64,0,27936,Martin Laird,61.06,265,434
66,0,35506,Mackenzie Hughes,61.05,290,475
66,0,32333,Kevin Tway,61.05,290,475
68,0,28252,Seamus Power,61.02,299,490
69,0,35376,Roberto Díaz,60.87,238,391
70,0,32102,Rickie Fowler,60.77,268,441
70,0,25493,Nick Taylor,60.77,333,548
72,0,35891,Cameron Smith,60.74,294,484
73,0,29479,Scott Brown,60.73,300,494
74,0,47347,Adam Schenk,60.71,343,565
75,0,40115,Adam Svensson,60.70,224,369
76,0,28679,Fabián Gómez,60.67,216,356
76,0,30944,Jason Kokrak,60.67,307,506
78,0,27958,Ryan Blaum,60.54,313,517
79,0,26329,Louis Oosthuizen,60.47,231,382
80,0,34099,Harris English,60.41,328,543
81,0,34431,Robert Streb,60.36,265,439
82,0,45486,Joaquin Niemann,60.33,333,552
82,0,37189,Harold Varner III,60.33,292,484
84,0,49298,Kramer Hickok,60.31,275,456
84,0,47128,Richy Werenski,60.31,307,509
86,0,32058,José de Jesús Rodríguez,60.29,252,418
87,0,46402,Talor Gooch,60.27,176,292
87,0,33410,Andrew Landry,60.27,264,438
89,0,45157,Cam Davis,60.25,244,405
90,0,27644,Brian Harman,60.10,345,574
91,0,27974,Sung Kang,59.96,307,512
92,0,34261,Scott Langley,59.88,303,506
93,0,27214,Kevin Streelman,59.86,264,441
94,0,24138,Ian Poulter,59.83,207,346
95,0,24502,Adam Scott,59.82,204,341
96,0,27963,Chris Stroud,59.81,247,413
97,0,27895,Jonas Blixt,59.75,285,477
98,0,26476,Chez Reavie,59.70,317,531
99,0,20472,Alex Cejka,59.69,191,320
100,0,34563,Chesson Hadley,59.66,281,471
101,0,46970,Jon Rahm,59.63,226,379
102,0,47504,Sam Burns,59.60,295,495
102,0,28089,Jason Day,59.60,208,349
104,0,31420,Anirban Lahiri,59.57,274,460
105,0,39324,J.J. Spaun,59.53,278,467
106,0,39327,Ben Silverman,59.51,244,410
107,0,27095,Nick Watney,59.49,279,469
108,0,37380,Curtis Luck,59.40,237,399
109,0,23320,Ryan Palmer,59.31,223,376
110,0,33948,Byeong Hun An,59.28,265,447
110,0,29223,Sam Saunders,59.28,278,469
112,0,27330,Josh Teater,59.27,211,356
113,0,34256,Andrew Putnam,59.23,276,466
114,0,35532,Tom Hoge,59.21,328,554
115,0,26596,Ryan Moore,59.20,251,424
116,0,26499,Rafa Cabrera Bello,59.16,268,453
117,0,33141,Keegan Bradley,59.14,275,465
118,0,29926,Danny Lee,58.97,286,485
119,0,33667,Carlos Ortiz,58.95,280,475
120,0,47990,Kyle Jones,58.91,238,404
121,0,33486,Roger Sloan,58.90,311,528
122,0,28259,Sangmoon Bae,58.89,202,343
123,0,25396,Kevin Na,58.85,226,384
124,0,32640,Troy Merritt,58.77,201,342
125,0,32139,Danny Willett,58.75,225,383
126,0,35449,Adam Long,58.74,279,475
127,0,29484,Peter Uihlein,58.70,280,477
128,0,25364,Paul Casey,58.67,230,392
129,0,40009,Dominic Bozzelli,58.65,234,399
129,0,30110,Kyle Stanley,58.65,261,445
