RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,10809,Jim Furyk,31.62,86,272
2,0,24361,Pat Perez,30.25,49,162
3,0,24502,Adam Scott,30.05,64,213
4,0,08537,J.P. Hayes,29.96,77,257
5,0,23325,Vaughn Taylor,29.91,102,341
6,0,08793,Tiger Woods,29.23,38,130
7,0,20766,Padraig Harrington,28.85,45,156
8,0,02110,Jerry Smith,27.84,103,370
9,0,22378,Trevor Immelman,27.42,85,310
10,0,06643,Paul Goydos,27.31,74,271
11,0,20628,Arron Oberholser,26.91,67,249
12,0,10505,Shane Bertsch,26.84,113,421
13,0,23135,Tim Clark,26.74,69,258
14,0,02214,Kirk Triplett,26.70,59,221
15,0,20691,Greg Owen,26.64,61,229
16,0,24138,Ian Poulter,26.59,46,173
17,0,21350,Ryuji Imada,26.55,94,354
18,0,24357,K.J. Choi,26.44,87,329
19,0,06012,Greg Kraft,26.30,86,327
19,0,21470,Daisuke Maruyama,26.30,76,289
21,0,01810,Phil Mickelson,26.27,57,217
22,0,20472,Alex Cejka,26.23,85,324
23,0,20498,Briny Baird,26.16,79,302
23,0,20121,Todd Fischer,26.16,96,367
25,0,23621,Rory Sabbatini,26.07,67,257
26,0,02239,Scott Verplank,26.03,76,292
27,0,22621,Ben Curtis,25.95,68,262
28,0,21209,Sergio Garcia,25.90,43,166
29,0,23048,Eric Axley,25.81,88,341
30,0,01381,Fred Funk,25.71,99,385
31,0,20631,David McKenzie,25.70,83,323
32,0,11123,Chris Couch,25.68,76,296
33,0,11032,Frank Lickliter II,25.62,93,363
34,0,01941,Tom Pernice Jr.,25.41,77,303
35,0,06527,Steve Stricker,25.40,63,248
36,0,07867,Woody Austin,25.13,98,390
37,0,19846,Brian Gay,25.11,110,438
38,0,20645,John Senden,24.93,89,357
39,0,10860,Justin Leonard,24.92,75,301
40,0,25900,Lucas Glover,24.87,97,390
40,0,21949,Joe Ogilvie,24.87,97,390
42,0,23718,Nathan Green,24.84,80,322
42,0,01887,Mark O'Meara,24.84,40,161
44,0,20382,Stephen Leaney,24.75,73,295
45,0,01577,Lee Janzen,24.73,68,275
46,0,06522,Ernie Els,24.69,40,162
47,0,20572,Rod Pampling,24.67,74,300
48,0,08385,Omar Uresti,24.49,60,245
48,0,12755,Vance Veazey,24.49,60,245
50,0,23673,Michael Connell,24.48,47,192
50,0,02206,David Toms,24.48,70,286
52,0,01142,Bart Bryant,24.43,75,307
53,0,20850,Daniel Chopra,24.42,94,385
54,0,01666,Bernhard Langer,24.37,58,238
55,0,27095,Nick Watney,24.35,75,308
56,0,22405,Justin Rose,24.33,91,374
57,0,01320,Bob Estes,24.26,74,305
58,0,21731,Freddie Jacobson,24.15,57,236
59,0,10885,Robert Allenby,24.10,47,195
60,0,20229,Stewart Cink,23.92,72,301
61,0,26596,Ryan Moore,23.73,56,236
61,0,02104,Jeff Sluman,23.73,84,354
63,0,23623,Bo Van Pelt,23.70,96,405
64,0,01619,Skip Kendall,23.67,67,283
65,0,24912,Will MacKenzie,23.58,79,335
66,0,12760,Danny Ellis,23.48,62,264
67,0,20127,Chris Riley,23.42,74,316
68,0,01219,John Cook,23.41,59,252
69,0,01553,John Huston,23.38,72,308
70,0,08075,Jerry Kelly,23.36,82,351
71,0,20098,Stuart Appleby,23.33,63,270
72,0,06004,Stephen Ames,23.32,45,193
73,0,21753,Brian Davis,23.30,82,352
74,0,01226,Fred Couples,23.19,32,138
75,0,01139,Olin Browne,23.18,86,371
76,0,01035,Tommy Armour III,23.11,55,238
77,0,07749,Brett Quigley,23.06,89,386
78,0,23541,Ben Crane,22.93,61,266
78,0,06515,Shaun Micheel,22.93,72,314
80,0,06197,Michael Allen,22.89,76,332
81,0,27141,J.B. Holmes,22.85,77,337
82,0,24925,Jonathan Byrd,22.81,52,228
