RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,10809,Jim Furyk,74.50,406,545
2,0,19803,Ryan Armour,73.86,599,811
3,0,31560,Brian Stuard,71.84,814,1133
4,0,30927,Brendon Todd,71.36,862,1208
5,0,30110,Kyle Stanley,71.29,529,742
6,0,45609,Tyler Duncan,69.87,814,1165
7,0,26476,Chez Reavie,69.73,751,1077
8,0,30163,Henrik Norlander,69.57,720,1035
9,0,33404,Chris Baker,69.49,476,685
10,0,31557,Jim Herman,69.28,584,843
11,0,26596,Ryan Moore,68.63,420,612
12,0,26758,David Hearn,68.44,488,713
13,0,53165,Doc Redman,68.27,783,1147
13,0,25349,Tim Wilkinson,68.27,439,643
15,0,27330,Josh Teater,68.24,391,573
16,0,23325,Vaughn Taylor,67.84,576,849
17,1,29479,Scott Brown,67.37,603,895
18,-1,29221,Webb Simpson,67.31,490,728
19,0,49298,Kramer Hickok,67.15,460,685
20,0,39997,Corey Conners,67.08,695,1036
21,0,46435,Austin Cook,66.75,560,839
22,0,34563,Chesson Hadley,66.71,541,811
23,0,21407,Arjun Atwal,66.51,288,433
24,0,25686,Jason Dufner,66.44,576,867
25,0,31646,Emiliano Grillo,66.11,599,906
26,1,27214,Kevin Streelman,65.88,670,1017
27,1,23108,Matt Kuchar,65.82,518,787
28,1,28679,Fabián Gómez,65.80,506,769
29,2,33410,Andrew Landry,65.72,579,881
30,2,34098,Russell Henley,65.65,579,882
31,2,50525,Collin Morikawa,65.54,734,1120
32,2,32150,Michael Thompson,65.40,567,867
33,-8,29478,Kevin Kisner,65.23,666,1021
34,1,32791,K.H. Lee,64.98,655,1008
35,1,32102,Rickie Fowler,64.84,402,620
36,2,23788,D.J. Trahan,64.69,425,657
37,2,25900,Lucas Glover,64.63,603,933
38,2,34076,Joel Dahmen,64.58,711,1101
38,2,40098,Matt Fitzpatrick,64.58,485,751
40,3,33399,Adam Hadwin,64.53,584,905
41,3,32640,Troy Merritt,64.52,611,947
42,6,39971,Sungjae Im,64.48,846,1312
43,-1,45526,Abraham Ancer,64.44,665,1032
44,1,33413,Ben Martin,64.41,324,503
45,1,29535,Brice Garnett,64.36,522,811
46,3,25493,Nick Taylor,64.24,530,825
47,3,36871,Matthew NeSmith,64.14,610,951
48,-11,40026,Daniel Berger,63.86,569,891
49,3,27936,Martin Laird,63.74,348,546
49,3,49771,J.T. Poston,63.74,696,1092
51,3,52375,Doug Ghim,63.69,356,559
52,3,25364,Paul Casey,63.60,498,783
53,3,27644,Brian Harman,63.28,691,1092
54,3,46717,Viktor Hovland,63.24,652,1031
55,2,33490,Bo Hoag,63.18,592,937
56,-9,46970,Jon Rahm,63.11,515,816
