RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,10809,Jim Furyk,73.96,372,503,-0.16
2,0,19803,Ryan Armour,73.77,464,629,-0.14
3,0,30927,Brendon Todd,71.84,755,1051,-0.16
4,0,33404,Chris Baker,70.56,326,462,-0.16
5,0,31560,Brian Stuard,70.28,629,895,-0.16
6,0,30110,Kyle Stanley,69.88,420,601,-0.20
7,0,26476,Chez Reavie,69.84,558,799,-0.16
8,0,49298,Kramer Hickok,69.58,350,503,-0.12
9,0,45609,Tyler Duncan,69.28,681,983,-0.16
10,0,31557,Jim Herman,69.23,504,728,-0.11
11,0,30163,Henrik Norlander,69.01,541,784,-0.15
12,0,25349,Tim Wilkinson,68.90,308,447,-0.19
13,1,53165,Doc Redman,68.16,668,980,-0.21
14,1,46435,Austin Cook,68.11,455,668,-0.19
15,1,29479,Scott Brown,67.82,472,696,-0.12
16,1,39997,Corey Conners,67.66,588,869,-0.21
16,1,26758,David Hearn,67.66,341,504,-0.12
18,1,29221,Webb Simpson,67.42,480,712,-0.30
19,1,27330,Josh Teater,67.20,252,375,-0.17
20,1,34563,Chesson Hadley,67.08,428,638,-0.26
21,1,33413,Ben Martin,66.78,205,307,-0.17
22,2,23108,Matt Kuchar,66.08,454,687,-0.18
23,3,26596,Ryan Moore,65.97,314,476,-0.18
24,3,23325,Vaughn Taylor,65.96,405,614,-0.13
25,3,40098,Matt Fitzpatrick,65.85,403,612,-0.17
26,3,32150,Michael Thompson,65.77,513,780,-0.12
27,3,27214,Kevin Streelman,65.66,522,795,-0.17
28,3,25686,Jason Dufner,65.60,511,779,-0.14
29,3,28679,Fabián Gómez,65.56,354,540,-0.18
30,3,34098,Russell Henley,65.43,530,810,-0.20
31,3,33410,Andrew Landry,65.42,509,778,-0.14
32,-9,29478,Kevin Kisner,65.36,515,788,-0.19
33,2,50525,Collin Morikawa,65.33,650,995,-0.22
34,3,39971,Sungjae Im,65.27,716,1097,-0.22
35,1,25900,Lucas Glover,65.19,455,698,-0.18
36,-11,40026,Daniel Berger,65.04,506,778,-0.25
37,1,32102,Rickie Fowler,65.03,372,572,-0.23
38,1,32448,James Hahn,64.89,244,376,-0.19
39,1,21407,Arjun Atwal,64.87,181,279,-0.11
40,1,34076,Joel Dahmen,64.81,569,878,-0.20
41,1,25364,Paul Casey,64.78,401,619,-0.19
42,1,33399,Adam Hadwin,64.49,485,752,-0.24
43,1,52375,Doug Ghim,64.45,252,391,-0.16
44,1,27936,Martin Laird,64.44,261,405,-0.23
45,2,31646,Emiliano Grillo,64.23,431,671,-0.15
46,2,35732,Wes Roach,63.84,196,307,-0.10
47,2,27644,Brian Harman,63.71,632,992,-0.25
48,2,23788,D.J. Trahan,63.70,293,460,-0.12
49,2,49771,J.T. Poston,63.68,561,881,-0.17
50,2,32640,Troy Merritt,63.62,488,767,-0.17
51,3,36801,Mark Hubbard,63.46,646,1018,-0.22
