RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,0,01876,Greg Norman,1.87,118,63
2,0,01320,Bob Estes,1.97,187,95
3,0,01783,Mark McCumber,2.00,152,76
4,0,02010,Loren Roberts,2.13,164,77
5,0,01690,Bruce Lietzke,2.14,126,59
6,0,02321,Fuzzy Zoeller,2.15,157,73
7,0,01418,Bill Glasson,2.17,163,75
8,0,01219,John Cook,2.18,174,80
8,0,01226,Fred Couples,2.18,111,51
8,0,01837,Gil Morgan,2.18,142,65
11,0,01677,Tom Lehman,2.19,177,81
11,0,02214,Kirk Triplett,2.19,197,90
13,0,01475,Donnie Hammond,2.23,185,83
14,0,01201,Lennie Clements,2.26,190,84
15,0,01928,Corey Pavin,2.28,155,68
16,0,01306,David Edwards,2.29,188,82
17,0,01527,Scott Hoch,2.31,217,94
17,0,01553,John Huston,2.31,194,84
19,0,01810,Phil Mickelson,2.32,151,65
19,0,01968,Nick Price,2.32,139,60
21,0,01549,Mike Hulbert,2.33,240,103
22,0,01235,Ben Crenshaw,2.34,201,86
23,0,01116,Michael Bradley,2.38,212,89
23,0,01569,Peter Jacobsen,2.38,162,68
23,0,01701,Bob Lohr,2.38,209,88
26,0,01457,Jay Haas,2.39,244,102
26,0,02159,Curtis Strange,2.39,198,83
28,0,01203,Russ Cochran,2.41,227,94
28,0,01633,Tom Kite,2.41,188,78
28,0,02239,Scott Verplank,2.41,154,64
31,0,01381,Fred Funk,2.42,254,105
32,0,01143,Brad Bryant,2.43,265,109
33,0,06214,Guy Boros,2.44,227,93
33,0,01824,Yoshinori Mizumaki,2.44,149,61
35,0,01378,David Frost,2.46,192,78
36,0,01196,Brian Claar,2.47,245,99
37,0,01060,Dave Barr,2.48,233,94
37,0,01266,Clark Dennis,2.48,243,98
39,0,01098,Jay Don Blake,2.49,217,87
39,0,02133,Craig Stadler,2.49,172,69
41,0,01331,Rick Fehr,2.51,193,77
41,0,01559,Hale Irwin,2.51,186,74
41,0,01971,Dillard Pruitt,2.51,221,88
41,0,02101,Joey Sindelar,2.51,163,65
41,0,02170,Hal Sutton,2.51,243,97
46,0,01132,Mark Brooks,2.54,285,112
46,0,06577,John Wilson,2.54,213,84
48,0,07235,John Morse,2.55,194,76
48,0,01926,Steve Pate,2.55,237,93
50,0,01161,Mark Calcavecchia,2.57,216,84
50,0,10809,Jim Furyk,2.57,244,95
50,0,01682,Wayne Levi,2.57,213,83
50,0,02256,Tom Watson,2.57,139,54
54,0,02294,Willie Wood,2.58,199,77
55,0,01093,Ronnie Black,2.59,207,80
56,0,01724,Jeff Maggert,2.60,229,88
56,0,06657,Steve Rintoul,2.60,208,80
56,0,06527,Steve Stricker,2.60,242,93
59,0,01313,Steve Elkington,2.61,162,62
59,0,02190,Doug Tewell,2.61,219,84
61,0,01414,Bob Gilder,2.62,215,82
61,0,02218,Ted Tryba,2.62,283,108
63,0,01723,Andrew Magee,2.63,234,89
63,0,01938,David Peoples,2.63,231,88
63,0,06078,Esteban Toledo,2.63,205,78
66,0,01072,Chip Beck,2.64,227,86
66,0,01156,Curt Byrum,2.64,214,81
66,0,01823,Larry Mize,2.64,198,75
66,0,06140,Sean Murphy,2.64,224,85
66,0,01891,David Ogrin,2.64,238,90
71,0,06809,Bob Burns,2.65,183,69
71,0,02095,Larry Silveira,2.65,204,77
73,0,01024,Billy Andrade,2.66,231,87
73,0,01388,Robert Gamez,2.66,202,76
73,0,06567,Vijay Singh,2.66,178,67
73,0,02146,Payne Stewart,2.66,202,76
73,0,02322,Richard Zokol,2.66,197,74
78,0,06643,Paul Goydos,2.67,278,104
78,0,01887,Mark O'Meara,2.67,243,91
78,0,02201,Jim Thorpe,2.67,203,76
81,0,08931,Glen Day,2.68,252,94
81,0,01353,Bruce Fleisher,2.68,220,82
81,0,02167,Mike Sullivan,2.68,190,71
84,0,01444,Ken Green,2.69,231,86
84,0,01771,Blaine McCallister,2.69,256,95
86,0,02246,Duffy Waldorf,2.70,216,80
87,0,01329,Brad Faxon,2.71,249,92
87,0,02099,Scott Simpson,2.71,190,70
87,0,02100,Tim Simpson,2.71,247,91
90,0,01006,John Adams,2.72,223,82
90,0,01385,Jim Gallagher Jr.,2.72,226,83
90,0,01577,Lee Janzen,2.72,239,88
90,0,02104,Jeff Sluman,2.72,250,92
94,0,06020,Steve Brodie,2.73,232,85
94,0,01288,Ed Dougherty,2.73,268,98
94,0,06332,Neal Lancaster,2.73,259,95
97,0,01495,Morris Hatalsky,2.74,208,76
97,0,01706,Davis Love III,2.74,249,91
97,0,01707,Steve Lowery,2.74,258,94
100,0,06090,Jim McGovern,2.76,262,95
100,0,02241,Bobby Wadkins,2.76,185,67
102,0,06128,Steve Lamontagne,2.77,219,79
102,0,01920,Craig Parry,2.77,172,62
104,0,01766,Billy Mayfair,2.78,275,99
104,0,02135,Mike Standly,2.78,259,93
106,0,01557,John Inman,2.79,282,101
106,0,01996,Mike Reid,2.79,187,67
106,0,02223,Bob Tway,2.79,223,80
109,0,01139,Olin Browne,2.81,256,91
109,0,01725,John Mahaffey,2.81,211,75
109,0,01755,Dick Mast,2.81,236,84
109,0,06350,Bob May,2.81,219,78
113,0,08337,Mike Heinen,2.82,223,79
113,0,06315,Pete Jordan,2.82,248,88
113,0,01607,Brian Kamm,2.82,265,94
116,0,06197,Michael Allen,2.83,277,98
116,0,01945,Kenny Perry,2.83,280,99
116,0,02131,Mike Springer,2.83,238,84
116,0,02267,D.A. Weibring,2.83,178,63
120,0,01905,Joe Ozaki,2.84,173,61
120,0,02230,Stan Utley,2.84,207,73
122,0,01185,Brandel Chamblee,2.85,245,86
122,0,01361,Dan Forsman,2.85,194,68
122,0,06012,Greg Kraft,2.85,245,86
122,0,01864,Larry Nelson,2.85,157,55
122,0,02033,Dave Rummells,2.85,285,100
122,0,02049,Gene Sauers,2.85,234,82
128,0,06609,Rob Boldt,2.86,169,59
