RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL RIGHT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,01381,Fred Funk,6.35,86,1354,+0.15
2,0,23983,Luke Donald,6.45,74,1148,+0.07
3,0,02170,Hal Sutton,6.61,66,999,-0.05
4,0,01139,Olin Browne,7.48,105,1403,+0.22
5,0,01569,Peter Jacobsen,8.14,78,958,+0.27
6,0,12705,Cliff Kresge,8.29,103,1242,+0.10
7,0,20099,Doug Barron,8.36,100,1196,+0.22
8,0,10860,Justin Leonard,8.37,76,908,+0.08
8,0,01887,Mark O'Meara,8.37,58,693,+0.24
10,0,08931,Glen Day,8.40,111,1322,+0.06
10,0,02049,Gene Sauers,8.40,95,1131,+0.21
12,0,22913,John Rollins,8.44,78,924,+0.23
13,0,10809,Jim Furyk,8.66,101,1166,+0.12
14,0,23108,Matt Kuchar,8.67,72,830,+0.32
15,0,20628,Arron Oberholser,8.75,94,1074,+0.07
16,0,08075,Jerry Kelly,8.77,110,1254,+0.03
17,0,08545,Glen Hnatiuk,8.84,108,1222,+0.15
18,0,12602,Dean Wilson,8.92,91,1020,+0.32
19,0,12680,Shigeki Maruyama,8.95,94,1050,+0.17
20,0,22293,Heath Slocum,8.96,122,1361,+0.13
21,0,02101,Joey Sindelar,8.97,111,1238,+0.09
22,0,20095,Carl Paulson,8.99,124,1379,+0.13
23,0,08375,Paul Stankowski,9.09,80,880,+0.19
24,0,07941,Mike Grob,9.24,99,1072,+0.29
25,0,08339,Spike McRoy,9.31,126,1354,+0.24
26,0,19881,Robert Damron,9.35,117,1252,+0.20
26,0,06643,Paul Goydos,9.35,103,1102,+0.14
28,0,20436,Garrett Willis,9.40,118,1255,+0.18
29,0,12652,Cameron Beckman,9.48,110,1160,+0.01
30,0,01797,Rocco Mediate,9.51,85,894,+0.34
31,0,20771,Steven Alker,9.57,108,1128,+0.12
32,0,01157,Tom Byrum,9.62,110,1144,+0.21
33,0,08547,John Maginnes,9.69,105,1084,+0.13
33,0,20548,Hidemichi Tanaka,9.69,146,1507,+0.21
35,0,01098,Jay Don Blake,9.72,88,905,+0.30
36,0,07721,Pat Bates,9.84,141,1433,+0.11
37,0,08537,J.P. Hayes,9.89,101,1021,+0.22
38,0,07223,Brian Bateman,9.95,86,864,+0.15
38,0,08337,Mike Heinen,9.95,115,1156,+0.03
40,0,01175,Jim Carter,10.00,124,1240,+0.10
40,0,06078,Esteban Toledo,10.00,142,1420,+0.03
42,0,12510,Chad Campbell,10.03,120,1197,+0.11
42,0,06621,Joe Durant,10.03,120,1196,+0.19
44,0,23338,David Gossett,10.04,123,1225,+0.10
45,0,26420,Richard Johnson,10.07,115,1142,+0.10
46,0,01724,Jeff Maggert,10.10,101,1000,+0.13
