RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 240-260,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,31560,Brian Stuard,14.04,25,178,+0.24
2,0,32816,Satoshi Kodaira,11.70,11,94,+0.18
3,0,24980,Scott Gutschewski,10.71,12,112,-0.08
4,0,29974,Branden Grace,10.42,10,96,+0.10
5,0,33490,Bo Hoag,10.20,10,98,-0.30
6,0,35879,Kelly Kraft,10.14,14,138,+0.07
7,0,39436,Joshua Creel,9.57,9,94,E
8,0,47128,Richy Werenski,9.52,12,126,+0.17
9,0,30927,Brendon Todd,9.49,15,158,+0.13
10,0,23325,Vaughn Taylor,9.43,10,106,+0.10
11,0,22056,Cameron Percy,9.09,8,88,E
12,0,46435,Austin Cook,8.70,12,138,+0.08
13,0,30978,Kiradech Aphibarnrat,8.49,9,106,+0.44
14,0,26476,Chez Reavie,8.24,14,170,+0.07
15,0,23983,Luke Donald,8.21,11,134,+0.09
16,0,32139,Danny Willett,8.06,10,124,+0.40
17,0,36884,Ben Kohles,7.94,10,126,+0.30
18,0,39953,Chase Seiffert,7.84,8,102,+0.13
19,0,34256,Andrew Putnam,7.78,14,180,+0.07
20,0,24361,Pat Perez,7.76,9,116,+0.33
21,0,30911,Tommy Fleetwood,7.69,8,104,+0.13
22,0,32640,Troy Merritt,7.47,13,174,+0.15
23,0,36801,Mark Hubbard,7.35,10,136,-0.30
24,0,40162,Justin Lower,6.94,10,144,-0.20
25,0,27649,Brandt Snedeker,6.78,8,118,+0.50
26,0,33486,Roger Sloan,6.52,9,138,+0.33
26,0,27770,Camilo Villegas,6.52,9,138,+0.11
28,0,36799,Stephan Jaeger,6.47,11,170,+0.45
29,0,23621,Rory Sabbatini,6.36,7,110,E
30,0,23108,Matt Kuchar,6.34,9,142,E
31,0,24024,Zach Johnson,6.25,8,128,E
32,0,47983,Chad Ramey,6.16,9,146,-0.22
33,0,47993,Denny McCarthy,6.00,12,200,-0.08
34,0,40006,Erik van Rooyen,5.68,5,88,E
35,0,25198,Francesco Molinari,5.66,6,106,+0.83
36,0,28114,Dawie van der Walt,5.65,7,124,+0.29
37,0,29289,S.Y. Noh,5.56,7,126,E
37,0,51890,Greyson Sigg,5.56,10,180,+0.10
39,0,52374,Brandon Wu,5.41,8,148,-0.25
40,0,37275,Sam Ryder,5.36,9,168,-0.22
41,0,25818,Scott Piercy,5.19,8,154,+0.13
42,0,45526,Abraham Ancer,5.17,6,116,+0.17
43,0,35450,Patrick Cantlay,5.15,7,136,-0.29
44,0,19803,Ryan Armour,5.00,5,100,E
44,0,45522,Christiaan Bezuidenhout,5.00,8,160,+0.38
44,0,52375,Doug Ghim,5.00,8,160,-0.13
47,0,27644,Brian Harman,4.95,9,182,+0.44
48,0,36852,Jim Knous,4.90,5,102,E
49,0,31420,Anirban Lahiri,4.86,7,144,+0.57
49,0,51950,Max McGreevy,4.86,7,144,-0.14
51,0,35449,Adam Long,4.76,8,168,E
51,0,32150,Michael Thompson,4.76,8,168,+0.75
53,0,51997,Andrew Novak,4.61,7,152,-0.14
53,0,27095,Nick Watney,4.61,7,152,+0.43
55,0,49298,Kramer Hickok,4.60,8,174,+0.63
56,0,24138,Ian Poulter,4.55,4,88,+0.50
56,0,50095,Austin Smotherman,4.55,7,154,+0.57
58,0,29908,C.T. Pan,4.49,7,156,E
58,0,46414,Aaron Rai,4.49,8,178,E
60,0,48084,Wesley Bryan,4.44,4,90,+1.75
61,0,34431,Robert Streb,4.43,7,158,-0.29
62,0,40098,Matt Fitzpatrick,4.29,6,140,E
63,0,27895,Jonas Blixt,4.00,4,100,E
64,0,33122,Russell Knox,3.93,7,178,-0.71
65,0,31557,Jim Herman,3.92,4,102,+0.75
66,0,20229,Stewart Cink,3.90,6,154,E
67,0,29478,Kevin Kisner,3.79,5,132,+0.60
68,0,30163,Henrik Norlander,3.68,5,136,+0.80
68,0,48081,Xander Schauffele,3.68,5,136,-0.20
70,0,39977,Max Homa,3.66,6,164,E
71,0,32366,Kevin Chappell,3.64,4,110,+0.25
72,0,48117,Kurt Kitayama,3.57,5,140,-0.40
72,0,46442,Maverick McNealy,3.57,6,168,-0.17
72,0,34360,Patrick Reed,3.57,5,140,E
72,0,34610,Matthias Schwab,3.57,5,140,-0.20
76,0,34076,Joel Dahmen,3.53,6,170,+0.33
77,0,24925,Jonathan Byrd,3.51,4,114,+0.50
77,0,26300,Matt Jones,3.51,4,114,+0.50
79,0,35110,Brett Drewitt,3.45,4,116,-0.50
79,0,33204,Shane Lowry,3.45,4,116,+0.50
81,0,36871,Matthew NeSmith,3.41,6,176,+0.17
82,0,27974,Sung Kang,3.29,5,152,-0.20
83,0,29535,Brice Garnett,3.25,5,154,E
84,0,29970,Dylan Frittelli,3.23,6,186,+0.17
84,0,35891,Cameron Smith,3.23,4,124,-0.25
86,0,35506,Mackenzie Hughes,3.21,5,156,+0.20
87,0,37455,Si Woo Kim,3.19,6,188,-0.17
87,0,56278,Matthew Wolff,3.19,3,94,E
89,0,34363,Tyrrell Hatton,3.13,4,128,-0.25
89,0,10381,Curtis Thompson,3.13,4,128,-0.25
