RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,01876,Greg Norman,10.78,6.24,-4.09,2.70
2,0,01677,Tom Lehman,9.74,3.71,-2.54,3.70
3,0,08635,Colin Montgomerie,9.10,5.79,-3.89,3.38
4,0,06522,Ernie Els,8.60,6.17,-4.47,3.20
5,0,01226,Fred Couples,8.16,3.16,-2.11,2.46
6,0,01326,Nick Faldo,7.98,3.67,-2.54,2.46
7,0,01810,Phil Mickelson,7.77,2.23,-1.53,3.34
8,0,01906,Masashi Jumbo Ozaki,7.58,3.51,-2.38,2.28
9,0,01706,Davis Love III,7.53,2.72,-1.60,2.72
10,0,01887,Mark O'Meara,7.12,2.02,-1.09,2.70
11,0,01928,Corey Pavin,6.94,4.84,-3.09,1.72
12,0,06527,Steve Stricker,6.19,1.24,-.77,2.50
13,0,01968,Nick Price,6.12,4.94,-3.85,1.54
14,0,01313,Steve Elkington,5.84,3.46,-1.87,1.04
15,0,01527,Scott Hoch,5.44,2.92,-1.90,2.30
16,0,01666,Bernhard Langer,5.31,4.87,-3.19,.92
17,0,02256,Tom Watson,5.28,1.53,-1.08,1.66
18,0,01132,Mark Brooks,5.18,1.26,-.81,2.92
19,0,09011,David Duval,5.15,1.88,-.96,1.76
20,0,06567,Vijay Singh,5.03,3.84,-2.55,1.88
21,0,01796,Mark McNulty,4.98,1.56,-1.18,1.66
22,0,02010,Loren Roberts,4.92,3.17,-2.20,1.44
23,0,01329,Brad Faxon,4.90,2.34,-1.62,1.78
24,0,12702,Costantino Rocca,4.75,2.70,-1.53,1.68
25,0,01945,Kenny Perry,4.74,1.91,-1.16,1.62
26,0,02300,Ian Woosnam,4.58,1.40,-1.10,2.08
27,0,01724,Jeff Maggert,4.48,2.03,-1.43,1.64
28,0,01599,Steve Jones,4.33,.48,-.24,2.10
29,0,10860,Justin Leonard,4.15,1.51,-.80,1.82
30,0,01783,Mark McCumber,4.10,2.09,-1.55,1.10
31,0,10457,Frank Nobilo,4.02,1.98,-1.33,1.64
32,0,01577,Lee Janzen,3.93,3.19,-1.87,1.04
33,0,08793,Tiger Woods,3.88,.07,-.04,1.52
34,0,02146,Payne Stewart,3.82,1.81,-.97,1.26
35,0,02223,Bob Tway,3.75,1.66,-.87,1.16
36,0,01457,Jay Haas,3.57,2.44,-1.51,.96
37,0,10885,Robert Allenby,3.56,1.80,-1.30,1.60
38,0,01161,Mark Calcavecchia,3.51,2.62,-1.67,1.26
39,0,12660,Jesper Parnevik,3.42,1.90,-1.26,1.14
40,0,02207,Sam Torrance,3.39,3.34,-1.98,.64
41,0,02246,Duffy Waldorf,3.28,1.49,-.93,1.08
42,0,02133,Craig Stadler,3.25,1.55,-1.02,.90
43,0,01766,Billy Mayfair,3.21,2.44,-1.28,.70
44,0,01116,Michael Bradley,3.13,.44,-.27,1.46
45,0,01385,Jim Gallagher Jr.,3.10,2.28,-1.30,.60
46,0,01569,Peter Jacobsen,3.09,2.57,-1.41,.26
47,0,02076,Peter Senior,3.08,1.89,-1.15,1.14
48,0,06613,Tommy Tolles,3.08,.22,-.11,1.52
49,0,10809,Jim Furyk,3.07,1.50,-.84,1.40
50,0,02257,Brian Watts,3.06,1.51,-1.07,1.12
51,0,01381,Fred Funk,3.03,1.67,-1.01,1.34
52,0,01920,Craig Parry,3.03,2.36,-1.54,1.30
53,0,02104,Jeff Sluman,3.02,1.61,-.96,1.28
54,0,02099,Scott Simpson,2.76,1.76,-1.06,.68
55,0,02267,D.A. Weibring,2.75,1.15,-.68,.74
56,0,12680,Shigeki Maruyama,2.74,1.23,-.70,1.06
57,0,01378,David Frost,2.74,2.66,-1.98,.88
58,0,01235,Ben Crenshaw,2.72,2.54,-1.62,.36
59,0,08375,Paul Stankowski,2.69,.33,-.23,1.46
60,0,01219,John Cook,2.56,.87,-.72,1.26
61,0,01797,Rocco Mediate,2.51,.21,-.12,.94
62,0,19825,Darren Clarke,2.50,1.10,-.70,1.10
63,0,07867,Woody Austin,2.46,1.46,-.73,1.02
64,0,20396,Lee Westwood,2.45,.40,-.29,1.48
65,0,02271,Wayne Westner,2.42,.71,-.52,1.02
66,0,01905,Joe Ozaki,2.36,1.41,-.98,1.08
67,0,01610,Yoshinori Kaneko,2.31,.44,-.32,1.24
68,0,01553,John Huston,2.28,1.35,-1.06,.94
69,0,08633,Per-Ulrik Johansson,2.22,1.31,-.92,.70
70,0,02214,Kirk Triplett,2.22,1.67,-1.06,.52
71,0,19905,Andrew Coltart,2.20,.87,-.61,1.04
72,0,19958,Miguel Angel Jiménez,2.19,1.92,-1.41,.74
73,0,06573,Brandt Jobe,2.08,1.17,-.65,.48
74,0,11106,Frankie Minoza,2.08,.82,-.52,.74
75,0,08973,Wayne Riley,2.03,1.34,-.78,.76
76,0,20548,Hidemichi Tanaka,2.00,.76,-.38,.66
77,0,01473,Todd Hamilton,1.93,1.15,-.79,.76
78,0,20400,Michael Campbell,1.92,2.16,-1.13,.18
79,0,07235,John Morse,1.91,.91,-.50,.66
80,0,06004,Stephen Ames,1.90,.38,-.27,.86
81,0,12461,Paul McGinley,1.90,.60,-.40,.92
82,0,01201,Lennie Clements,1.88,1.10,-.78,.60
83,0,12823,Carlos Franco,1.88,.77,-.56,.54
84,0,01975,Tom Purtzer,1.86,.38,-.28,.72
85,0,01633,Tom Kite,1.83,1.13,-.97,.72
85,0,02023,Clarence Rose,1.83,0,.88
87,0,06643,Paul Goydos,1.82,.44,-.32,1.06
88,0,01823,Larry Mize,1.80,1.18,-.88,.60
89,0,02321,Fuzzy Zoeller,1.77,1.58,-1.39,.52
90,0,01143,Brad Bryant,1.76,1.63,-1.07,.46
91,0,01249,John Daly,1.75,1.85,-1.15,.42
92,0,01886,Peter O'Malley,1.74,1.34,-.76,.48
93,0,20472,Alex Cejka,1.73,1.20,-.64,.34
94,0,07269,Greg Turner,1.72,.95,-.65,.56
95,0,20766,Padraig Harrington,1.71,0,.84
95,0,20992,Kazuhiko Hosokawa,1.71,.52,-.26,.70
97,0,19965,Peter Mitchell,1.70,.83,-.63,.82
98,0,01891,David Ogrin,1.70,.36,-.25,.96
99,0,12782,Tim Herron,1.70,.02,-.02,.90
100,0,12389,Barry Lane,1.70,2.22,-1.47,.20
101,0,01837,Gil Morgan,1.68,.80,-.55,.44
102,0,19904,Paul Lawrie,1.68,.28,-.21,.72
103,0,01024,Billy Andrade,1.67,.84,-.60,.76
103,0,08191,Paul Broadhurst,1.67,.65,-.36,.76
103,0,10585,Scott McCarron,1.67,.20,-.10,.80
106,0,19972,José Coceres,1.64,.57,-.35,.60
107,0,02020,Eduardo Romero,1.64,.95,-.74,.56
108,0,01510,Nolan Henke,1.61,.76,-.50,.56
109,0,10944,Thomas Bjørn,1.58,0,.76
110,0,01051,Seve Ballesteros,1.58,2.21,-1.79,.26
111,0,20157,Retief Goosen,1.56,.82,-.55,.76
112,0,01098,Jay Don Blake,1.56,.94,-.62,.52
113,0,06431,Jean Van de Velde,1.52,.46,-.35,.74
114,0,10962,Bradley Hughes,1.51,.20,-.17,.62
115,0,19983,Andy Oldcorn,1.50,.59,-.34,.44
116,0,01864,Larry Nelson,1.48,.18,-.12,.62
117,0,01803,Hajime Meshiai,1.47,.39,-.23,.62
118,0,01659,Massy Kuramoto,1.46,1.23,-.73,.42
118,0,01707,Steve Lowery,1.46,1.64,-1.18,.46
120,0,01858,Tommy Nakajima,1.46,1.23,-.92,.52
121,0,01560,David Ishii,1.45,.65,-.54,.66
122,0,01418,Bill Glasson,1.45,1.60,-1.13,.14
123,0,01388,Robert Gamez,1.42,1.08,-.77,.54
124,0,01723,Andrew Magee,1.40,.92,-.69,.58
125,0,01042,Paul Azinger,1.40,.57,-.32,.42
126,0,20974,Masanobu Kimura,1.39,.23,-.17,.72
127,0,01320,Bob Estes,1.39,1.76,-1.33,.28
128,0,02170,Hal Sutton,1.38,1.52,-.99,.30
129,0,02077,Nobuo Serizawa,1.37,.87,-.58,.56
130,0,20259,Hisayuki Sasaki,1.37,.88,-.57,.58
131,0,01750,Miguel Angel Martin,1.37,.28,-.25,.68
132,0,11155,Katsuyoshi Tomori,1.37,1.15,-.73,.44
133,0,01409,Rick Gibson,1.36,.68,-.40,.40
133,0,06575,Dudley Hart,1.36,.22,-.16,.62
135,0,01360,Anders Forsbrand,1.36,1.38,-.87,.10
136,0,01517,Satoshi Higashi,1.35,1.51,-.81,.26
137,0,02101,Joey Sindelar,1.35,.47,-.27,.50
138,0,01572,Mark James,1.33,1.32,-.82,.14
139,0,01203,Russ Cochran,1.32,.50,-.35,.60
140,0,01040,Emlyn Aubrey,1.31,.45,-.28,.50
141,0,02159,Curtis Strange,1.31,1.21,-.85,.28
142,0,01690,Bruce Lietzke,1.30,1.12,-.80,.20
143,0,08075,Jerry Kelly,1.29,.02,-.01,.70
144,0,09071,David Gilford,1.29,1.52,-1.11,.26
145,0,02245,Grant Waite,1.28,.65,-.35,.48
146,0,01514,Eduardo Herrera,1.28,.55,-.37,.42
146,0,20869,Raymond Russell,1.28,0,.60
148,0,08931,Glen Day,1.27,.60,-.44,.64
149,0,01185,Brandel Chamblee,1.27,.49,-.31,.48
150,0,01331,Rick Fehr,1.26,.77,-.65,.46
151,0,20568,Anthony Painter,1.25,.12,-.06,.44
152,0,20827,Diego Borrego,1.21,.08,-.06,.50
153,0,11678,Peter Teravainen,1.20,.48,-.31,.50
154,0,01890,Brett Ogle,1.20,1.13,-.78,.20
155,0,20473,Ignacio Garrido,1.17,.60,-.37,.38
156,0,10569,Mike Brisky,1.17,.38,-.20,.50
157,0,02009,José Rivero,1.17,.86,-.52,.14
158,0,06034,Marco Dawson,1.17,.59,-.33,.36
159,0,20387,Jarmo Sandelin,1.17,.64,-.32,.38
160,0,20590,Paul Eales,1.15,.72,-.49,.38
161,0,20634,Peter Lonard,1.15,.12,-.06,.40
162,0,20569,Richard Green,1.15,.14,-.09,.42
163,0,20850,Daniel Chopra,1.14,.30,-.15,.42
164,0,01592,Tony Johnstone,1.14,.69,-.51,.40
165,0,01006,John Adams,1.13,.51,-.30,.38
166,0,10821,Toshi Izawa,1.13,.59,-.31,.24
167,0,02279,Mark Wiebe,1.13,.30,-.15,.38
168,0,19991,Peter Hedblom,1.13,.54,-.40,.48
169,0,06124,Patrick Burke,1.10,.62,-.48,.42
170,0,20471,Sven Struver,1.09,.70,-.48,.36
171,0,12546,Peter Baker,1.09,.82,-.55,.36
172,0,01306,David Edwards,1.09,.93,-.70,.28
173,0,01717,Sandy Lyle,1.08,.68,-.44,.32
174,0,20393,Philip Walton,1.07,1.01,-.61,.20
175,0,01549,Mike Hulbert,1.06,.72,-.44,.40
176,0,20618,Peter McWhinney,1.06,.43,-.25,.36
177,0,20772,Toru Suzuki,1.05,.66,-.38,.36
178,0,01361,Dan Forsman,1.05,.47,-.31,.30
179,0,20502,Michael Long,1.02,.03,-.02,.40
180,0,01198,Howard Clark,1.02,1.14,-.79,.08
181,0,20927,Shoichi Kuwabara,1.02,.06,-.04,.42
182,0,02239,Scott Verplank,1.02,.74,-.44,.16
183,0,20929,Katsunori Kuwabara,1.02,.43,-.22,.38
184,0,07465,Hideki Kase,1.00,.89,-.58,.34
185,0,19902,Russell Claydon,.98,.67,-.49,.36
186,0,06012,Greg Kraft,.97,.45,-.37,.52
187,0,20881,Jamie Spence,.96,.45,-.26,.32
188,0,19830,Joakim Haeggman,.96,.85,-.66,.30
189,0,11653,Paul Curry,.96,.44,-.34,.34
189,0,20467,Jean Louis Guepy,.96,.54,-.30,.20
191,0,06214,Guy Boros,.95,.76,-.47,.34
192,0,01346,Ed Fiori,.95,.15,-.11,.36
193,0,19976,Andrew Sherborne,.95,.38,-.24,.42
194,0,20761,Ross McFarlane,.93,.40,-.27,.40
195,0,20941,Hideyuki Sato,.93,.06,-.05,.38
196,0,20601,Gary Orr,.93,.49,-.36,.38
197,0,19960,Ross Drummond,.92,.15,-.11,.44
198,0,02049,Gene Sauers,.92,.73,-.45,.16
199,0,20378,Mathias Grönberg,.90,.59,-.33,.30
200,0,01118,Gordon Brand Jr.,.88,.55,-.45,.36
