RANK,MOVEMENT,PLAYER_ID,PLAYER,% UNDER THEN OVER PAR,TOTAL UNDER THEN OVER PAR,UNDER PAR
1,0,01313,Steve Elkington,9.81,31,316
2,0,01823,Larry Mize,10.19,27,265
3,0,01200,Keith Clearwater,10.28,40,389
4,0,02099,Scott Simpson,10.53,28,266
5,0,02104,Jeff Sluman,10.62,43,405
6,0,01042,Paul Azinger,10.81,36,333
7,0,01938,David Peoples,11.20,40,357
8,0,01353,Bruce Fleisher,11.29,36,319
9,0,02190,Doug Tewell,11.40,31,272
10,0,01677,Tom Lehman,11.51,45,391
11,0,01331,Rick Fehr,11.63,35,301
12,0,01418,Bill Glasson,11.66,19,163
13,0,01219,John Cook,11.67,35,300
14,0,01049,Ian Baker-Finch,11.73,23,196
15,0,01701,Bob Lohr,11.81,34,288
16,0,02111,Mike Smith,11.90,40,336
17,0,01926,Steve Pate,11.94,40,335
18,0,01766,Billy Mayfair,12.23,45,368
19,0,01510,Nolan Henke,12.24,35,286
20,0,01361,Dan Forsman,12.37,47,380
21,0,01435,Wayne Grady,12.44,27,217
22,0,01928,Corey Pavin,12.46,38,305
23,0,01968,Nick Price,12.47,45,361
24,0,01203,Russ Cochran,12.50,40,320
24,0,01690,Bruce Lietzke,12.50,29,232
26,0,01706,Davis Love III,12.57,45,358
27,0,01457,Jay Haas,12.64,45,356
28,0,07569,Mark Carnevale,12.69,33,260
29,0,01960,Don Pooley,12.83,24,187
30,0,06040,John Ross,12.88,34,264
30,0,02246,Duffy Waldorf,12.88,42,326
32,0,01072,Chip Beck,12.96,42,324
33,0,02159,Curtis Strange,13.02,28,215
34,0,02049,Gene Sauers,13.15,38,289
35,0,02100,Tim Simpson,13.16,30,228
36,0,01355,Raymond Floyd,13.18,29,220
37,0,01161,Mark Calcavecchia,13.22,46,348
38,0,01876,Greg Norman,13.24,27,204
39,0,01553,John Huston,13.28,53,399
40,0,01945,Kenny Perry,13.31,39,293
41,0,01060,Dave Barr,13.38,38,284
41,0,06128,Steve Lamontagne,13.38,40,299
43,0,01559,Hale Irwin,13.47,26,193
44,0,01329,Brad Faxon,13.53,41,303
44,0,02133,Craig Stadler,13.53,36,266
46,0,08537,J.P. Hayes,13.57,30,221
47,0,02007,Larry Rinker,13.58,36,265
48,0,01235,Ben Crenshaw,13.62,38,279
49,0,01284,Mike Donald,13.76,45,327
50,0,02010,Loren Roberts,13.78,51,370
51,0,01306,David Edwards,13.80,41,297
52,0,02135,Mike Standly,13.82,47,340
53,0,01577,Lee Janzen,13.88,49,353
54,0,01098,Jay Don Blake,14.04,41,292
55,0,01288,Ed Dougherty,14.24,47,330
56,0,01226,Fred Couples,14.25,51,358
57,0,01378,David Frost,14.29,42,294
58,0,01129,Bill Britton,14.33,42,293
59,0,01024,Billy Andrade,14.39,38,264
60,0,02303,Robert Wrenn,14.49,40,276
61,0,01887,Mark O'Meara,14.51,46,317
62,0,01444,Ken Green,14.57,44,302
63,0,01723,Andrew Magee,14.65,46,314
64,0,02267,D.A. Weibring,14.68,37,252
65,0,01346,Ed Fiori,14.72,44,299
66,0,06090,Jim McGovern,14.79,50,338
67,0,01196,Brian Claar,14.81,48,324
68,0,02313,Bruce Zabriski,14.96,38,254
69,0,01557,John Inman,15.10,45,298
70,0,02090,Tom Sieckmann,15.12,49,324
71,0,01996,Mike Reid,15.15,35,231
72,0,01724,Jeff Maggert,15.20,50,329
72,0,02311,Kim Young,15.20,26,171
74,0,02322,Richard Zokol,15.24,32,210
75,0,01374,Robin Freeman,15.26,38,249
76,0,01132,Mark Brooks,15.32,57,372
77,0,01214,Frank Conner,15.36,43,280
78,0,01133,Billy Ray Brown,15.45,38,246
