RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,01968,Nick Price,11.39,203,1782
2,0,01219,John Cook,12.52,178,1422
3,0,01331,Rick Fehr,12.68,194,1530
4,0,01457,Jay Haas,12.82,240,1872
5,0,01313,Steve Elkington,12.86,199,1548
6,0,01306,David Edwards,13.00,220,1692
7,0,01823,Larry Mize,13.17,192,1458
8,0,02010,Loren Roberts,13.18,242,1836
9,0,01042,Paul Azinger,13.24,205,1548
10,0,01928,Corey Pavin,13.30,213,1602
11,0,01677,Tom Lehman,13.40,246,1836
12,0,01200,Keith Clearwater,13.42,256,1908
13,0,01553,John Huston,13.44,254,1890
14,0,01690,Bruce Lietzke,13.47,160,1188
15,0,01226,Fred Couples,13.62,206,1512
15,0,01353,Bruce Fleisher,13.62,250,1836
17,0,02190,Doug Tewell,13.67,187,1368
18,0,01355,Raymond Floyd,13.70,148,1080
19,0,01876,Greg Norman,13.89,145,1044
20,0,01361,Dan Forsman,13.94,271,1944
21,0,02104,Jeff Sluman,13.96,279,1998
22,0,01132,Mark Brooks,13.97,269,1926
23,0,01724,Jeff Maggert,13.98,224,1602
24,0,02279,Mark Wiebe,14.19,212,1494
25,0,01577,Lee Janzen,14.32,268,1872
26,0,01706,Davis Love III,14.37,238,1656
27,0,01633,Tom Kite,14.38,233,1620
28,0,01385,Jim Gallagher Jr.,14.39,272,1890
29,0,01887,Mark O'Meara,14.40,210,1458
30,0,01510,Nolan Henke,14.41,223,1548
31,0,01060,Dave Barr,14.43,239,1656
32,0,01072,Chip Beck,14.46,229,1584
33,0,01444,Ken Green,14.47,224,1548
33,0,01766,Billy Mayfair,14.47,297,2052
35,0,02246,Duffy Waldorf,14.58,223,1530
36,0,01960,Don Pooley,14.62,150,1026
37,0,01196,Brian Claar,14.65,261,1782
38,0,01946,Peter Persons,14.74,260,1764
39,0,01926,Steve Pate,14.76,279,1890
40,0,01996,Mike Reid,14.79,205,1386
41,0,02100,Tim Simpson,14.90,185,1242
42,0,01723,Andrew Magee,14.93,258,1728
42,0,02090,Tom Sieckmann,14.93,250,1674
44,0,01549,Mike Hulbert,15.00,297,1980
45,0,02322,Richard Zokol,15.01,181,1206
46,0,02111,Mike Smith,15.04,287,1908
46,0,02133,Craig Stadler,15.04,222,1476
48,0,02049,Gene Sauers,15.10,212,1404
49,0,01235,Ben Crenshaw,15.11,223,1476
50,0,06090,Jim McGovern,15.13,275,1818
51,0,01093,Ronnie Black,15.17,243,1602
52,0,01837,Gil Morgan,15.18,235,1548
53,0,02099,Scott Simpson,15.22,200,1314
54,0,01307,Joel Edwards,15.23,148,972
54,0,02267,D.A. Weibring,15.23,222,1458
56,0,06124,Patrick Burke,15.31,248,1620
56,0,02146,Payne Stewart,15.31,226,1476
58,0,02225,Howard Twitty,15.34,232,1512
59,0,01783,Mark McCumber,15.35,221,1440
60,0,02033,Dave Rummells,15.39,266,1728
61,0,02321,Fuzzy Zoeller,15.41,172,1116
62,0,01203,Russ Cochran,15.45,267,1728
62,0,02007,Larry Rinker,15.45,228,1476
64,0,01129,Bill Britton,15.53,232,1494
65,0,01329,Brad Faxon,15.54,249,1602
66,0,01958,Dan Pohl,15.65,169,1080
66,0,02159,Curtis Strange,15.65,169,1080
68,0,01682,Wayne Levi,15.66,234,1494
69,0,01938,David Peoples,15.70,277,1764
70,0,01797,Rocco Mediate,15.71,229,1458
71,0,06040,John Ross,15.76,244,1548
72,0,06284,Jim Hallet,15.77,318,2016
73,0,01975,Tom Purtzer,15.78,230,1458
74,0,01346,Ed Fiori,15.80,273,1728
75,0,01014,Fulton Allem,15.82,279,1764
75,0,01475,Donnie Hammond,15.82,188,1188
77,0,01945,Kenny Perry,15.86,237,1494
78,0,02135,Mike Standly,15.88,283,1782
79,0,02101,Joey Sindelar,15.89,306,1926
80,0,01143,Brad Bryant,15.98,325,2034
81,0,01569,Peter Jacobsen,16.01,268,1674
82,0,02242,Lanny Wadkins,16.03,251,1566
83,0,01557,John Inman,16.04,283,1764
83,0,06128,Steve Lamontagne,16.04,254,1584
85,0,01550,Ed Humenik,16.05,286,1782
86,0,01323,Brad Fabel,16.13,273,1692
87,0,01771,Blaine McCallister,16.15,279,1728
88,0,01098,Jay Don Blake,16.17,227,1404
89,0,01142,Bart Bryant,16.20,175,1080
90,0,01559,Hale Irwin,16.24,190,1170
91,0,01261,Jay Delsing,16.25,272,1674
92,0,01378,David Frost,16.26,237,1458
93,0,01376,Bob Friend,16.27,284,1746
94,0,02167,Mike Sullivan,16.32,235,1440
95,0,01381,Fred Funk,16.36,321,1962
96,0,01435,Wayne Grady,16.43,207,1260
97,0,01388,Robert Gamez,16.46,234,1422
98,0,01049,Ian Baker-Finch,16.48,178,1080
99,0,06044,Scott Gump,16.52,330,1998
100,0,01320,Bob Estes,16.54,265,1602
100,0,01701,Bob Lohr,16.54,265,1602
102,0,01469,Dan Halldorson,16.60,257,1548
103,0,01288,Ed Dougherty,16.61,320,1926
104,0,06034,Marco Dawson,16.67,240,1440
105,0,01736,Roger Maltbie,16.75,193,1152
106,0,01846,Jodie Mudd,16.84,200,1188
107,0,01024,Billy Andrade,16.86,261,1548
108,0,02292,Bob Wolcott,16.94,311,1836
109,0,08277,Greg Lesher,17.02,239,1404
110,0,01522,Lon Hinkle,17.05,178,1044
111,0,02067,Ted Schulz,17.09,326,1908
112,0,01284,Mike Donald,17.11,311,1818
113,0,02303,Robert Wrenn,17.14,253,1476
114,0,01096,Phil Blackmar,17.15,247,1440
115,0,02313,Bruce Zabriski,17.16,244,1422
116,0,01133,Billy Ray Brown,17.19,232,1350
117,0,02224,Greg Twiggs,17.20,161,936
118,0,01971,Dillard Pruitt,17.22,282,1638
119,0,01006,John Adams,17.27,286,1656
120,0,02206,David Toms,17.31,271,1566
121,0,01458,Jerry Haas,17.33,184,1062
122,0,01527,Scott Hoch,17.42,185,1062
123,0,01418,Bill Glasson,17.52,164,936
124,0,01408,Kelly Gibson,17.56,294,1674
124,0,06012,Greg Kraft,17.56,256,1458
126,0,01390,Buddy Gardner,17.60,282,1602
127,0,01249,John Daly,17.66,248,1404
128,0,01139,Olin Browne,17.78,288,1620
129,0,01755,Dick Mast,17.88,235,1314
