RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,06567,Vijay Singh,4.40,484,110
2,0,08793,Tiger Woods,4.38,315,72
3,0,01810,Phil Mickelson,4.20,332,79
4,0,06522,Ernie Els,4.07,236,58
5,0,20157,Retief Goosen,4.05,223,55
6,0,25345,Carl Pettersson,4.00,388,97
7,0,01249,John Daly,3.99,315,79
8,0,22046,Geoff Ogilvy,3.97,345,87
9,0,07867,Woody Austin,3.96,372,94
9,0,24502,Adam Scott,3.96,206,52
9,0,02239,Scott Verplank,3.96,360,91
12,0,06004,Stephen Ames,3.95,375,95
13,0,23325,Vaughn Taylor,3.94,323,82
14,0,23623,Bo Van Pelt,3.90,406,104
15,0,24507,Jason Bohn,3.88,369,95
15,0,21805,Harrison Frazar,3.88,318,82
15,0,01677,Tom Lehman,3.88,256,66
18,0,20229,Stewart Cink,3.86,374,97
18,0,23320,Ryan Palmer,3.86,386,100
18,0,23497,Tag Ridings,3.86,193,50
21,0,11032,Frank Lickliter II,3.85,331,86
21,0,22405,Justin Rose,3.85,277,72
21,0,02206,David Toms,3.85,285,74
24,0,21731,Freddie Jacobson,3.84,307,80
24,0,01945,Kenny Perry,3.84,292,76
26,0,21949,Joe Ogilvie,3.83,391,102
27,0,01553,John Huston,3.82,214,56
28,0,24925,Jonathan Byrd,3.81,316,83
29,0,24361,Pat Perez,3.80,380,100
29,0,02010,Loren Roberts,3.80,300,79
31,0,20850,Daniel Chopra,3.79,402,106
32,0,21209,Sergio Garcia,3.78,242,64
32,0,02246,Duffy Waldorf,3.78,276,73
34,0,01161,Mark Calcavecchia,3.77,294,78
34,0,19825,Darren Clarke,3.77,181,48
34,0,24024,Zach Johnson,3.77,403,107
37,0,20098,Stuart Appleby,3.76,293,78
37,0,10585,Scott McCarron,3.76,323,86
37,0,12660,Jesper Parnevik,3.76,323,86
37,0,02214,Kirk Triplett,3.76,316,84
41,0,01226,Fred Couples,3.75,195,52
41,0,20433,Mark Hensby,3.75,349,93
41,0,08075,Jerry Kelly,3.75,409,109
41,0,12680,Shigeki Maruyama,3.75,345,92
41,0,21959,Ted Purdy,3.75,420,112
41,0,10423,Mike Weir,3.75,274,73
47,0,06251,Chris DiMarco,3.74,367,98
47,0,25900,Lucas Glover,3.74,340,91
47,0,22548,Patrick Sheehan,3.74,415,111
50,0,01042,Paul Azinger,3.73,280,75
50,0,20593,Greg Chalmers,3.73,261,70
50,0,23541,Ben Crane,3.73,343,92
50,0,01577,Lee Janzen,3.73,306,82
50,0,01927,Dennis Paulson,3.73,265,71
50,0,23621,Rory Sabbatini,3.73,321,86
56,0,12652,Cameron Beckman,3.72,357,96
57,0,01706,Davis Love III,3.71,278,75
57,0,20572,Rod Pampling,3.71,349,94
57,0,02104,Jeff Sluman,3.71,360,97
60,0,20029,Notah Begay III,3.69,247,67
60,0,07457,Steve Flesch,3.69,387,105
62,0,01388,Robert Gamez,3.68,379,103
62,0,23063,Scott Hend,3.68,291,79
62,0,20663,Brenden Pappas,3.68,397,108
65,0,10885,Robert Allenby,3.67,323,88
65,0,02106,Chris Smith,3.67,385,105
67,0,19824,Craig Barlow,3.65,285,78
68,0,26420,Richard Johnson,3.64,371,102
68,0,10107,Deane Pappas,3.64,255,70
70,0,07223,Brian Bateman,3.63,290,80
70,0,23135,Tim Clark,3.63,305,84
72,0,20498,Briny Baird,3.62,351,97
72,0,01142,Bart Bryant,3.62,250,69
72,0,10201,Matt Gogel,3.62,304,84
72,0,12602,Dean Wilson,3.62,358,99
76,0,19972,José Coceres,3.61,231,64
76,0,12823,Carlos Franco,3.61,357,99
76,0,01707,Steve Lowery,3.61,321,89
79,0,06621,Joe Durant,3.60,306,85
79,0,12645,Brent Geiberger,3.60,328,91
79,0,20645,John Senden,3.60,346,96
82,0,19846,Brian Gay,3.59,337,94
82,0,01685,J.L. Lewis,3.59,381,106
84,0,26287,Roland Thatcher,3.58,236,66
85,0,21633,Steve Allan,3.57,353,99
85,0,01024,Billy Andrade,3.57,371,104
85,0,25686,Jason Dufner,3.57,282,79
85,0,07749,Brett Quigley,3.57,350,98
89,0,06197,Michael Allen,3.56,303,85
90,0,01139,Olin Browne,3.55,312,88
90,0,24357,K.J. Choi,3.55,291,82
90,0,10733,Kent Jones,3.55,344,97
90,0,23552,Hank Kuehne,3.55,316,89
94,0,08931,Glen Day,3.54,350,99
