RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
1,0,01968,Nick Price,90.0,900,10
2,0,22046,Geoff Ogilvy,92.1,1566,17
3,0,21805,Harrison Frazar,92.3,1476,16
4,0,01249,John Daly,101.6,1422,14
5,0,23325,Vaughn Taylor,105.4,1476,14
6,0,08337,Mike Heinen,106.0,954,9
7,0,20645,John Senden,108.0,1728,16
8,0,06567,Vijay Singh,116.5,1980,17
9,0,23063,Scott Hend,118.5,1422,12
10,0,01677,Tom Lehman,118.8,1188,10
11,0,23552,Hank Kuehne,123.2,1602,13
12,0,01797,Rocco Mediate,123.4,864,7
13,0,12760,Danny Ellis,126.0,1386,11
13,0,21959,Ted Purdy,126.0,2016,16
15,0,23307,Roger Tambellini,127.6,1404,11
16,0,20628,Arron Oberholser,131.4,1314,10
17,0,06332,Neal Lancaster,132.4,1854,14
18,0,01226,Fred Couples,133.7,936,7
19,0,02106,Chris Smith,135.0,1890,14
20,0,25900,Lucas Glover,136.5,1638,12
21,0,01926,Steve Pate,138.0,1242,9
22,0,02245,Grant Waite,138.6,1386,10
23,0,19824,Craig Barlow,140.4,1404,10
24,0,20572,Rod Pampling,141.0,1692,12
25,0,11123,Chris Couch,141.4,990,7
26,0,20378,Mathias Grönberg,142.4,1566,11
27,0,12652,Cameron Beckman,144.0,1728,12
27,0,21209,Sergio Garcia,144.0,1152,8
27,0,21731,Freddie Jacobson,144.0,1440,10
30,0,02246,Duffy Waldorf,146.0,1314,9
31,0,01577,Lee Janzen,147.6,1476,10
32,0,12602,Dean Wilson,148.5,1782,12
33,0,06522,Ernie Els,149.1,1044,7
33,0,06575,Dudley Hart,149.1,1044,7
35,0,01706,Davis Love III,150.0,1350,9
36,0,06613,Tommy Tolles,150.8,1206,8
37,0,12394,Tom Carter,152.3,1980,13
38,0,22621,Ben Curtis,156.0,936,6
38,0,06373,José María Olazábal,156.0,936,6
40,0,12705,Cliff Kresge,156.6,1566,10
41,0,01928,Corey Pavin,158.0,1422,9
42,0,10733,Kent Jones,158.7,1746,11
42,0,25345,Carl Pettersson,158.7,1746,11
44,0,07223,Brian Bateman,160.0,1440,9
45,0,23320,Ryan Palmer,163.6,1800,11
46,0,06515,Shaun Micheel,163.8,1638,10
47,0,07939,Dan Olsen,164.3,1314,8
48,0,12782,Tim Herron,166.0,1494,9
49,0,20382,Stephen Leaney,168.8,1350,8
50,0,20634,Peter Lonard,169.7,1188,7
51,0,20094,Jonathan Kaye,171.0,1368,8
51,0,01945,Kenny Perry,171.0,1368,8
53,0,07457,Steve Flesch,171.8,1890,11
54,0,19825,Darren Clarke,172.8,864,5
55,0,23614,Rich Beem,173.3,1386,8
56,0,01685,J.L. Lewis,173.5,1908,11
57,0,01161,Mark Calcavecchia,175.5,1404,8
58,0,25686,Jason Dufner,177.8,1422,8
58,0,01457,Jay Haas,177.8,1422,8
60,0,12823,Carlos Franco,178.2,1782,10
61,0,25237,Kevin Muncrief,180.0,900,5
62,0,12510,Chad Campbell,186.0,1674,9
62,0,20433,Mark Hensby,186.0,1674,9
64,0,24781,Hunter Mahan,188.0,1692,9
65,0,20850,Daniel Chopra,190.8,1908,10
65,0,02002,John Riegger,190.8,954,5
65,0,20580,Andre Stolz,190.8,954,5
68,0,01042,Paul Azinger,192.9,1350,7
69,0,20663,Brenden Pappas,194.4,1944,10
70,0,20098,Stuart Appleby,200.6,1404,7
71,0,01810,Phil Mickelson,203.1,1422,7
72,0,01771,Blaine McCallister,204.0,1224,6
73,0,01024,Billy Andrade,208.0,1872,9
74,0,01127,Danny Briggs,208.3,1458,7
75,0,20472,Alex Cejka,210.0,1260,6
76,0,24357,K.J. Choi,210.9,1476,7
77,0,08835,Kris Cox,213.0,1278,6
78,0,24925,Jonathan Byrd,213.4,1494,7
79,0,01948,Tim Petrovic,214.0,1926,9
80,0,01724,Jeff Maggert,216.0,1080,5
81,0,06197,Michael Allen,218.6,1530,7
81,0,06621,Joe Durant,218.6,1530,7
83,0,12753,David Morland IV,219.0,1314,6
83,0,10423,Mike Weir,219.0,1314,6
85,0,11032,Frank Lickliter II,221.1,1548,7
86,0,02206,David Toms,222.0,1332,6
87,0,21633,Steve Allan,222.8,1782,8
87,0,08931,Glen Day,222.8,1782,8
87,0,01941,Tom Pernice Jr.,222.8,1782,8
90,0,20104,Ken Duke,223.7,1566,7
91,0,21961,Charles Howell III,227.3,1818,8
92,0,01707,Steve Lowery,228.9,1602,7
93,0,01527,Scott Hoch,229.5,918,4
94,0,06527,Steve Stricker,234.0,1404,6
95,0,06004,Stephen Ames,244.3,1710,7
96,0,01666,Bernhard Langer,247.5,990,4
97,0,23108,Matt Kuchar,249.0,1494,6
98,0,20229,Stewart Cink,249.4,1746,7
99,0,20593,Greg Chalmers,252.0,1260,5
99,0,10201,Matt Gogel,252.0,1512,6
99,0,02214,Kirk Triplett,252.0,1512,6
99,0,10425,Jay Williamson,252.0,1764,7
103,0,01619,Skip Kendall,254.6,1782,7
104,0,22371,Aaron Baddeley,255.0,1530,6
104,0,22913,John Rollins,255.0,1530,6
106,0,23338,David Gossett,256.5,1026,4
107,0,12660,Jesper Parnevik,258.0,1548,6
108,0,10912,Craig Perks,259.2,1296,5
108,0,22405,Justin Rose,259.2,1296,5
110,0,20121,Todd Fischer,262.3,1836,7
111,0,01261,Jay Delsing,262.8,1314,5
112,0,01388,Robert Gamez,264.9,1854,7
113,0,20548,Hidemichi Tanaka,267.0,1602,6
114,0,08123,Jeff Brehaut,267.4,1872,7
114,0,23623,Bo Van Pelt,267.4,1872,7
116,0,20585,Niclas Fasth,270.0,1080,4
116,0,01766,Billy Mayfair,270.0,1890,7
118,0,23541,Ben Crane,276.0,1656,6
119,0,21878,Mark Wilson,279.0,1116,4
120,0,07867,Woody Austin,282.0,1692,6
121,0,10213,Dicky Pride,283.5,1134,4
122,0,06214,Guy Boros,288.0,1152,4
