RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND
1,0,28237,Rory McIlroy,12,3,2
2,0,10809,Jim Furyk,11,4
2,0,23108,Matt Kuchar,11,1,1
4,0,32102,Rickie Fowler,10,2,2
4,0,21209,Sergio Garcia,10,3,2
4,0,24502,Adam Scott,10,1,1
4,0,25632,Jimmy Walker,10,3
8,0,29221,Webb Simpson,9,1,3
9,0,25572,Graeme McDowell,8,1
9,0,23320,Ryan Palmer,8,2
9,0,22405,Justin Rose,8,1
9,0,34046,Jordan Spieth,8,2
9,0,25804,Bubba Watson,8,2,3,1
14,0,27436,Graham DeLaet,7,2
14,0,34099,Harris English,7,1
14,0,30925,Dustin Johnson,7,1,2
14,0,26596,Ryan Moore,7,1
14,0,30927,Brendon Todd,7,1
19,0,33141,Keegan Bradley,6,1
19,0,28089,Jason Day,6,1,2
19,0,28307,Matt Every,6,1,1
19,0,27644,Brian Harman,6,1,1
19,0,21961,Charles Howell III,6,1
19,0,26851,Marc Leishman,6,1,2
19,0,24781,Hunter Mahan,6,1
19,0,25396,Kevin Na,6,2,1
27,0,24924,Bill Haas,5,1
27,0,12716,Charley Hoffman,5,1
27,0,29420,Billy Horschel,5,2,1
27,0,24024,Zach Johnson,5,1,1,1
27,0,30926,Chris Kirk,5,2,1
27,0,24912,Will MacKenzie,5,1
27,0,26331,Charl Schwartzel,5
27,0,20645,John Senden,5,1
27,0,31323,Gary Woodland,5,1
36,0,29479,Scott Brown,4,1
36,0,25686,Jason Dufner,4,1
36,0,34563,Chesson Hadley,4,1
36,0,29222,Billy Hurley III,4
36,0,21731,Freddie Jacobson,4,1,1
36,0,27408,Martin Kaymer,4,2
36,0,08075,Jerry Kelly,4,2
36,0,32839,Hideki Matsuyama,4,1,1
36,0,31202,William McGirt,4
36,0,24490,George McNeill,4,1
36,0,25345,Carl Pettersson,4,1
36,0,34360,Patrick Reed,4,2
36,0,29518,Brendan Steele,4
36,0,27963,Chris Stroud,4,2
36,0,31560,Brian Stuard,4,1
51,0,20098,Stuart Appleby,3,1
51,0,24507,Jason Bohn,3,1,1
51,0,23135,Tim Clark,3,1,1
51,0,24494,Erik Compton,3,1
51,0,23983,Luke Donald,3,1
51,0,28339,Victor Dubuisson,3,1
51,0,06522,Ernie Els,3
51,0,29740,Brad Fritsch,3
51,0,26758,David Hearn,3
51,0,34098,Russell Henley,3,1,1
51,0,25444,Justin Hicks,3,1,1
51,0,30852,Ryo Ishikawa,3,1
51,0,29478,Kevin Kisner,3
51,0,33122,Russell Knox,3,1
51,0,33413,Ben Martin,3,3
51,0,29289,S.Y. Noh,3,1
51,0,28475,Jeff Overton,3
51,0,24361,Pat Perez,3,1
51,0,23621,Rory Sabbatini,3,1
51,0,27649,Brandt Snedeker,3
51,0,26679,Kevin Stadler,3,1
51,0,21528,Henrik Stenson,3,1
51,0,33419,Cameron Tringale,3,1
51,0,25349,Tim Wilkinson,3
75,0,23540,Jason Allred,2,1
75,0,22371,Aaron Baddeley,2
75,0,24846,Ricky Barnes,2
75,0,24357,K.J. Choi,2,2
75,0,23541,Ben Crane,2,1
75,0,23638,Brendon de Jonge,2
75,0,25369,Jamie Donaldson,2,1
75,0,24358,Robert Garrigus,2
75,0,20157,Retief Goosen,2
75,0,35539,Luke Guthrie,2
75,0,32448,James Hahn,2
75,0,33461,Morgan Hoffmann,2,1
75,0,27141,J.B. Holmes,2,1
75,0,34174,John Huh,2,2
75,0,19970,Robert Karlsson,2
75,0,36689,Brooks Koepka,2,1
75,0,30944,Jason Kokrak,2
75,0,35139,Richard Lee,2
75,0,10860,Justin Leonard,2,1
75,0,34409,David Lingmerth,2
75,0,23800,Bryce Molder,2
75,0,25198,Francesco Molinari,2
75,0,22046,Geoff Ogilvy,2,1,1
75,0,24138,Ian Poulter,2,1
75,0,33418,Shawn Stefani,2,1
75,0,34431,Robert Streb,2,1
75,0,27214,Kevin Streelman,2,1,1
75,0,06527,Steve Stricker,2
75,0,25834,Daniel Summerhays,2,1
75,0,29425,Andrew Svoboda,2,1
75,0,02206,David Toms,2
75,0,27064,Jhonattan Vegas,2,1
75,0,27095,Nick Watney,2
75,0,20396,Lee Westwood,2
75,0,34265,Will Wilcox,2
110,0,30978,Kiradech Aphibarnrat,1,1
110,0,20498,Briny Baird,1,1
110,0,32334,Charlie Beljan,1
110,0,10944,Thomas Bjørn,1
110,0,27895,Jonas Blixt,1,1
110,0,25274,Steven Bowditch,1,1
110,0,24925,Jonathan Byrd,1,1
110,0,20848,Ángel Cabrera,1,1
110,0,12510,Chad Campbell,1
110,0,32200,Roberto Castro,1
110,0,34021,Bud Cauley,1
110,0,20593,Greg Chalmers,1
110,0,32366,Kevin Chappell,1
110,0,28937,George Coetzee,1
110,0,25720,Chad Collins,1
110,0,22621,Ben Curtis,1
110,0,01320,Bob Estes,1
110,0,25191,Gonzalo Fernandez-Castaño,1
110,0,28500,Martin Flores,1,1
110,0,30750,Tommy Gainey,1
110,0,20376,Stephen Gallacher,1
110,0,29535,Brice Garnett,1
110,0,19846,Brian Gay,1
110,0,22892,Jason Gore,1
110,0,39977,Max Homa,1
110,0,24956,Mikko Ilonen,1
110,0,22378,Trevor Immelman,1
110,0,24511,Thongchai Jaidee,1
110,0,19958,Miguel Angel Jiménez,1
110,0,26300,Matt Jones,1,1
110,0,27936,Martin Laird,1
110,0,01666,Bernhard Langer,1
110,0,34261,Scott Langley,1,1
110,0,29926,Danny Lee,1,1
110,0,35300,Andrew Loupe,1
110,0,33204,Shane Lowry,1
110,0,01724,Jeff Maggert,1
110,0,33199,Matteo Manassero,1
110,0,27120,Troy Matteson,1
110,0,32640,Troy Merritt,1,1
110,0,01810,Phil Mickelson,1,1
110,0,23814,Edoardo Molinari,1
110,0,24140,Sean O'Hair,1
110,0,33968,Thorbjørn Olesen,1
110,0,26329,Louis Oosthuizen,1
110,0,20572,Rod Pampling,1
110,0,10213,Dicky Pride,1
110,0,28486,Michael Putnam,1
110,0,31193,Jim Renner,1,1
110,0,35732,Wes Roach,1
110,0,25562,Andres Romero,1
110,0,06567,Vijay Singh,1,1
110,0,22293,Heath Slocum,1
110,0,30692,Scott Stallings,1,1
110,0,30110,Kyle Stanley,1
110,0,24459,Richard Sterne,1
110,0,34264,Hudson Swafford,1
110,0,21498,Hideto Tanihara,1
110,0,33448,Justin Thomas,1
110,0,32150,Michael Thompson,1
110,0,28780,Nicholas Thompson,1,1
110,0,23623,Bo Van Pelt,1
110,0,27770,Camilo Villegas,1,1
110,0,26951,Johnson Wagner,1
110,0,26289,Boo Weekley,1
110,0,10423,Mike Weir,1,1
