RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,02223,Bob Tway,69.56,1739,25
2,0,28158,Steve Marino,69.74,2929,42
3,0,01677,Tom Lehman,69.75,837,12
4,0,20104,Ken Duke,69.79,2652,38
5,0,27141,J.B. Holmes,69.89,1328,19
6,0,20498,Briny Baird,69.91,2237,32
7,0,22371,Aaron Baddeley,70.00,1610,23
7,0,20127,Chris Riley,70.00,1190,17
7,0,21878,Mark Wilson,70.00,2590,37
10,0,01724,Jeff Maggert,70.04,1821,26
11,0,06527,Steve Stricker,70.05,1401,20
12,0,01941,Tom Pernice Jr.,70.06,2382,34
13,0,23541,Ben Crane,70.08,1822,26
14,0,22892,Jason Gore,70.09,1542,22
15,0,25720,Chad Collins,70.11,1963,28
16,0,24924,Bill Haas,70.18,1544,22
17,0,12510,Chad Campbell,70.24,2318,33
18,0,12782,Tim Herron,70.28,2249,32
19,0,22621,Ben Curtis,70.30,1617,23
20,0,24358,Robert Garrigus,70.31,1828,26
20,0,20160,Charlie Wi,70.31,2461,35
20,0,25349,Tim Wilkinson,70.31,2039,29
23,0,23353,J.J. Henry,70.33,2743,39
23,0,24502,Adam Scott,70.33,1055,15
25,0,10860,Justin Leonard,70.34,2040,29
26,0,12602,Dean Wilson,70.35,2603,37
27,0,01024,Billy Andrade,70.41,1197,17
28,0,24449,Parker McLachlin,70.43,1620,23
29,0,01928,Corey Pavin,70.44,1902,27
30,0,23048,Eric Axley,70.45,2043,29
31,0,26476,Chez Reavie,70.46,1973,28
32,0,01313,Steve Elkington,70.47,2114,30
33,0,10505,Shane Bertsch,70.50,1974,28
34,0,21731,Freddie Jacobson,70.52,1763,25
34,0,29718,Anthony Kim,70.52,1481,21
34,0,22913,John Rollins,70.52,2045,29
34,0,08385,Omar Uresti,70.52,1622,23
38,0,10809,Jim Furyk,70.53,1340,19
39,0,01945,Kenny Perry,70.54,1834,26
40,0,27214,Kevin Streelman,70.56,2893,41
41,0,27936,Martin Laird,70.58,2682,38
41,0,22548,Patrick Sheehan,70.58,3176,45
41,0,06595,Kevin Sutherland,70.58,1835,26
41,0,10423,Mike Weir,70.58,1341,19
45,0,26500,Alejandro Cañizares,70.62,918,13
46,0,26289,Boo Weekley,70.63,2260,32
47,0,01320,Bob Estes,70.64,1978,28
47,0,27770,Camilo Villegas,70.64,1554,22
49,0,24357,K.J. Choi,70.65,1201,17
49,0,20663,Brenden Pappas,70.65,1625,23
49,0,07749,Brett Quigley,70.65,1837,26
49,0,23623,Bo Van Pelt,70.65,2614,37
53,0,24024,Zach Johnson,70.66,2049,29
54,0,20766,Padraig Harrington,70.67,1060,15
55,0,23409,James Driscoll,70.69,2050,29
55,0,19846,Brian Gay,70.69,1838,26
55,0,25396,Kevin Na,70.69,2474,35
58,0,06197,Michael Allen,70.72,1768,25
59,0,10585,Scott McCarron,70.73,778,11
60,0,01553,John Huston,70.76,1203,17
60,0,01706,Davis Love III,70.76,2052,29
62,0,20229,Stewart Cink,70.77,1557,22
62,0,10875,Todd Demsey,70.77,1840,26
62,0,21209,Sergio Garcia,70.77,920,13
65,0,28780,Nicholas Thompson,70.78,2831,40
66,0,20574,Mathew Goggin,70.79,2053,29
67,0,26596,Ryan Moore,70.81,1133,16
68,0,06575,Dudley Hart,70.82,1204,17
68,0,24781,Hunter Mahan,70.82,2337,33
70,0,02002,John Riegger,70.83,2054,29
71,0,06621,Joe Durant,70.84,2196,31
71,0,06012,Greg Kraft,70.84,1346,19
71,0,08845,Scott Sterling,70.84,2267,32
74,0,20634,Peter Lonard,70.87,2197,31
75,0,20623,Gavin Coles,70.88,1205,17
75,0,20105,Jeff Gove,70.88,1134,16
75,0,25345,Carl Pettersson,70.88,2339,33
75,0,26668,Marc Turnesa,70.88,1701,24
