RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,START TOURNAMENT ID
1,0,01633,Tom Kite,20,1992050
2,0,01355,Raymond Floyd,18,1991340
3,0,01690,Bruce Lietzke,15,1992090
4,0,01968,Nick Price,14,1992180
5,0,02146,Payne Stewart,13,1992200
6,0,01876,Greg Norman,11,1992210
7,0,01361,Dan Forsman,10,1992300
7,0,01599,Steve Jones,10,1991280
9,0,01378,David Frost,9,1992330
10,0,01201,Lennie Clements,8,1992080
10,0,01226,Fred Couples,8,1992250
10,0,01549,Mike Hulbert,8,1992330
10,0,01677,Tom Lehman,8,1992350
10,0,01796,Mark McNulty,8,1990330
10,0,01943,Chris Perry,8,1992350
16,0,01006,John Adams,7,1992370
16,0,01030,Isao Aoki,7,1990120
16,0,01219,John Cook,7,1992310
16,0,01837,Gil Morgan,7,1992320
16,0,02010,Loren Roberts,7,1992370
16,0,02190,Doug Tewell,7,1992300
22,0,01042,Paul Azinger,6,1992340
22,0,01864,Larry Nelson,6,1992270
22,0,01920,Craig Parry,6,1992250
22,0,08973,Wayne Riley,6,1992220
22,0,02267,D.A. Weibring,6,1992350
27,0,01278,Andy Dillard,5,1991300
27,0,01326,Nick Faldo,5,1992120
27,0,01353,Bruce Fleisher,5,1992390
27,0,01666,Bernhard Langer,5,1992110
27,0,01783,Mark McCumber,5,1992370
27,0,01945,Kenny Perry,5,1992370
33,0,01014,Fulton Allem,4,1992410
33,0,01200,Keith Clearwater,4,1992420
33,0,01385,Jim Gallagher Jr.,4,1992410
33,0,01527,Scott Hoch,4,1992380
33,0,01560,David Ishii,4,1990360
33,0,06332,Neal Lancaster,4,1992410
33,0,01706,Davis Love III,4,1992360
33,0,01736,Roger Maltbie,4,1992370
33,0,01815,Johnny Miller,4,1990050
33,0,01946,Peter Persons,4,1992410
33,0,01960,Don Pooley,4,1992400
33,0,06567,Vijay Singh,4,1992230
33,0,02167,Mike Sullivan,4,1992410
33,0,02256,Tom Watson,4,1992270
47,0,01072,Chip Beck,3,1992430
47,0,06010,Brad Bell,3,1992400
47,0,01098,Jay Don Blake,3,1992380
47,0,01129,Bill Britton,3,1992410
47,0,01306,David Edwards,3,1992430
47,0,01414,Bob Gilder,3,1992420
47,0,01475,Donnie Hammond,3,1992420
47,0,01510,Nolan Henke,3,1992400
47,0,01577,Lee Janzen,3,1992430
47,0,08635,Colin Montgomerie,3,1992150
47,0,01846,Jodie Mudd,3,1992380
47,0,01887,Mark O'Meara,3,1992380
47,0,01891,David Ogrin,3,1992400
47,0,01958,Dan Pohl,3,1992390
47,0,02076,Peter Senior,3,1991350
47,0,02084,Bob Shearer,3,1984320
47,0,02100,Tim Simpson,3,1992420
47,0,02206,David Toms,3,1992420
65,0,01001,Tommy Aaron,2,1991160
65,0,01024,Billy Andrade,2,1992420
65,0,01035,Tommy Armour III,2,1992430
65,0,01096,Phil Blackmar,2,1992430
65,0,01132,Mark Brooks,2,1992440
65,0,01156,Curt Byrum,2,1992390
65,0,01192,T.C. Chen,2,1989150
65,0,06034,Marco Dawson,2,1992430
65,0,01313,Steve Elkington,2,1992440
65,0,06522,Ernie Els,2,1992350
65,0,01346,Ed Fiori,2,1992430
65,0,06585,Jerry Foltz,2,1992040
65,0,01360,Anders Forsbrand,2,1992250
65,0,06284,Jim Hallet,2,1992420
65,0,08537,J.P. Hayes,2,1992430
65,0,01556,Joe Inman,2,1987430
65,0,01592,Tony Johnstone,2,1992350
65,0,01597,Grier Jones,2,1984400
65,0,01609,Jim Kane,2,1992250
65,0,06012,Greg Kraft,2,1992430
65,0,01723,Andrew Magee,2,1992420
65,0,01724,Jeff Maggert,2,1992430
65,0,01793,Mac McLendon,2,1980430
65,0,01810,Phil Mickelson,2,1992430
65,0,01823,Larry Mize,2,1992430
65,0,01858,Tommy Nakajima,2,1992230
65,0,01866,Jack Newton,2,1982420
65,0,01901,Jay Overton,2,1992340
65,0,01928,Corey Pavin,2,1992440
65,0,01938,David Peoples,2,1992430
65,0,01964,Greg Powers,2,1992300
65,0,01971,Dillard Pruitt,2,1992410
65,0,02007,Larry Rinker,2,1992430
65,0,06401,Marty Schiene,2,1991380
65,0,02090,Tom Sieckmann,2,1992430
65,0,02091,Charles Sifford,2,1983020
65,0,02099,Scott Simpson,2,1992430
65,0,02105,Bob Smith,2,1985280
65,0,02115,Taylor Smith,2,1991200
65,0,02159,Curtis Strange,2,1992370
65,0,02217,Dennis Trixler,2,1991150
65,0,02225,Howard Twitty,2,1992430
65,0,06577,John Wilson,2,1991445
65,0,02311,Kim Young,2,1992410
